,hash,"array_like-range(0, 3)",array_like-[1],array_like-1,array_like-array([5]),array_like-5
0,03164d2d819f9b38e1c684d6d9e128f11867dc3c,3.9453890707775734e-05,1.3941040082017377e-05,5.499085361037202e-06,6.3894478892190255e-06,6.074112866779287e-06
1,60df9b1eb6375e3decf12ba7506404c46af0469a,3.984117033806714e-05,1.3586026679867557e-05,5.123162314081114e-06,6.063201510767033e-06,5.516021077085782e-06
2,772c80b1ce1db7e30497fcf555ac9af56b0d7fce,4.052530663708846e-05,1.3627592557211323e-05,5.473117729214798e-06,6.087856924896327e-06,5.61629511886235e-06
3,66d357ae3aedcd324a1c607e037adc65d3ae1c02,4.0337724974105024e-05,1.3865015571068057e-05,5.469286849953808e-06,6.286043626948263e-06,5.734601806260398e-06
4,cec39effb1739ae0a7690e56d58d3e9432569d5f,3.980784062910211e-05,1.384159591436613e-05,5.34035639885611e-06,6.20745014810878e-06,5.5827573652713355e-06
5,8ae543cb13769a0afa6e176898824db7fd992d27,3.948048116901506e-05,1.3541815390078287e-05,5.259628135926887e-06,6.230358912197066e-06,5.612946618503151e-06
6,c890b10a8ade5df19f97b02a2b10a75f9f6075e9,4.019951345125104e-05,1.4049667672104086e-05,5.554585345274222e-06,6.206275429576635e-06,5.680739751017505e-06
7,c9a83043c0669fd17306843eb21abd236b675537,4.0333758591225855e-05,1.3856326195471265e-05,5.386330988285002e-06,5.92022402042289e-06,5.7867736774337015e-06
8,4d87d909bab7a7dd4bb570444cf35d98d551668f,3.9216760289517865e-05,1.3926686320096527e-05,5.343116341770591e-06,6.0080413577179814e-06,5.81357753761704e-06
9,a280f5e5d725de732a906b67172114b263ac3bfa,3.99359853276403e-05,1.4037911354820834e-05,5.624513873821192e-06,5.992064221742131e-06,5.927105610189104e-06
10,c303c9b77afbc7fe6f4049683c3ccaabdebe7be3,3.965854771462653e-05,1.3886424986755147e-05,5.330960277578117e-06,6.064704750914197e-06,5.878994986414909e-06
11,fdfc4807cbe2de71f74053c45ae0de383332c4e1,3.938976400565329e-05,1.3600845538373218e-05,5.231179521987902e-06,6.124320087094077e-06,5.6252877046134675e-06
12,537d35c2cf49cae0a496c37564fa282ec80e3695,3.999675819239415e-05,1.3765239128772926e-05,5.420623024746879e-06,6.316863340602073e-06,5.676089434012147e-06
13,1b6831be8dc33308e77f3d3253f5ee777e3bb178,3.965028419928706e-05,1.4094427833097235e-05,5.567163325749434e-06,6.312405874908174e-06,5.877602961845696e-06
14,7ef145115fede2c20df2cfc51ed28fcc9742b696,4.0022806179794394e-05,1.3468067783390914e-05,6.139491702498467e-06,6.242797317725198e-06,6.063720993839907e-06
15,175476fec763984573e60485a447978cbcb381c0,3.9944125380628225e-05,1.3719723470011118e-05,5.82540651482793e-06,6.330315619105214e-06,6.08073498738436e-06
16,c3c2b689cd4e1ccc24b18e764f105ed0e400ae92,4.053091440625765e-05,1.3361955272093256e-05,5.660281597708439e-06,6.127318066489547e-06,5.941041213784205e-06
17,93240e0d8ea23644a5b7874037e658c54966ff54,4.004986399984008e-05,1.372442181621279e-05,5.893560098429168e-06,6.477654330401389e-06,6.001530094807612e-06
18,e1f191c46f2eebd6cb892a4bfe14d9dd43a06c4e,4.008262562017669e-05,1.340055811167052e-05,5.622829235583606e-06,6.335108920974636e-06,5.946660027187986e-06
19,8eedd3e911b7e3f5f35961871ddb8ee1559d4225,4.057579788078163e-05,1.3742871343464682e-05,6.060814739413601e-06,6.1580497765212364e-06,6.199958840046416e-06
20,ade91ea2f28284668fbf78971538ac4827d653b8,4.068323682104029e-05,1.3602983334653207e-05,5.53158187460023e-06,6.064548824749874e-06,5.848422104296979e-06
21,b0a6e5583f2952a040c45d0d50f5e93372dc175b,3.9817725270713646e-05,1.385095141696524e-05,5.9469742390705056e-06,6.448272430640182e-06,6.07454868774098e-06
