,hash,"array_like-range(0, 3)",array_like-[1],array_like-1,array_like-array([5]),array_like-5
0,03164d2d819f9b38e1c684d6d9e128f11867dc3c,4.79E-05,2.23E-05,1.47E-05,1.19E-05,1.51E-05
1,60df9b1eb6375e3decf12ba7506404c46af0469a,4.77E-05,2.19E-05,1.39E-05,1.13E-05,1.42E-05
2,772c80b1ce1db7e30497fcf555ac9af56b0d7fce,4.80E-05,2.19E-05,1.41E-05,1.14E-05,1.45E-05
3,66d357ae3aedcd324a1c607e037adc65d3ae1c02,4.83E-05,2.18E-05,1.41E-05,1.20E-05,1.46E-05
4,cec39effb1739ae0a7690e56d58d3e9432569d5f,4.77E-05,2.18E-05,1.35E-05,1.15E-05,1.43E-05
5,8ae543cb13769a0afa6e176898824db7fd992d27,4.77E-05,2.17E-05,1.37E-05,1.15E-05,1.41E-05
6,c890b10a8ade5df19f97b02a2b10a75f9f6075e9,4.83E-05,2.21E-05,1.42E-05,1.18E-05,1.47E-05
7,c9a83043c0669fd17306843eb21abd236b675537,4.85E-05,2.23E-05,1.39E-05,1.16E-05,1.45E-05
8,4d87d909bab7a7dd4bb570444cf35d98d551668f,4.74E-05,2.20E-05,1.40E-05,1.17E-05,1.45E-05
9,a280f5e5d725de732a906b67172114b263ac3bfa,4.84E-05,2.25E-05,1.46E-05,1.22E-05,1.49E-05
10,c303c9b77afbc7fe6f4049683c3ccaabdebe7be3,4.79E-05,2.20E-05,1.38E-05,1.16E-05,1.43E-05
11,fdfc4807cbe2de71f74053c45ae0de383332c4e1,4.74E-05,2.18E-05,1.40E-05,1.18E-05,1.43E-05
12,537d35c2cf49cae0a496c37564fa282ec80e3695,4.81E-05,2.18E-05,1.38E-05,1.14E-05,1.44E-05
13,1b6831be8dc33308e77f3d3253f5ee777e3bb178,4.78E-05,2.20E-05,1.41E-05,1.16E-05,1.45E-05
14,7ef145115fede2c20df2cfc51ed28fcc9742b696,4.81E-05,2.18E-05,1.43E-05,1.22E-05,1.48E-05
15,175476fec763984573e60485a447978cbcb381c0,4.77E-05,2.20E-05,1.39E-05,1.17E-05,1.45E-05
16,c3c2b689cd4e1ccc24b18e764f105ed0e400ae92,4.83E-05,2.20E-05,1.43E-05,1.18E-05,1.48E-05
17,93240e0d8ea23644a5b7874037e658c54966ff54,4.74E-05,2.16E-05,1.41E-05,1.17E-05,1.48E-05
18,e1f191c46f2eebd6cb892a4bfe14d9dd43a06c4e,4.78E-05,2.18E-05,1.41E-05,1.17E-05,1.48E-05
19,8eedd3e911b7e3f5f35961871ddb8ee1559d4225,4.81E-05,2.18E-05,1.40E-05,1.19E-05,1.47E-05
20,ade91ea2f28284668fbf78971538ac4827d653b8,4.81E-05,2.17E-05,1.40E-05,1.18E-05,1.44E-05
21,b0a6e5583f2952a040c45d0d50f5e93372dc175b,4.77E-05,2.20E-05,1.47E-05,1.20E-05,1.50E-05
22,94b36b557ce7d88bbfe4091c59aa376764b7047d,4.75E-05,2.19E-05,1.43E-05,1.18E-05,1.48E-05
23,ce6d3ffc991c63c1a91fd806b4eb3d0008caace2,4.81E-05,2.20E-05,1.43E-05,1.18E-05,1.46E-05
24,aab7993af0f6f3b9ac0d76952933b19163d65496,4.73E-05,2.17E-05,1.45E-05,1.16E-05,1.50E-05
25,b94c2b01ff7ef5b8dc44726512cfa232e9054882,4.77E-05,2.16E-05,1.46E-05,1.17E-05,1.49E-05
