,hash,"array_like-range(0, 3)",array_like-[1],array_like-1,array_like-array([5]),array_like-5
0,3d0c041ca162d69cc5bbb4d9d051eca7933f12bd,5.776249994504092e-06,1.4738639861762267e-06,6.601603514974444e-07,8.104271828972e-07,7.608332988537667e-07
1,ce140e8d5c28f1f057db1102cf78263e48f86d61,5.677578100000885e-06,1.4659888313502107e-06,6.420994691431592e-07,8.116922955697659e-07,7.363385142826514e-07
2,c18ab2c3975c8fa8b59724fe6855c528d72fef8c,5.946031466878914e-06,1.5042627603974706e-06,6.423200726776731e-07,8.731533234594478e-07,7.059311112142182e-07
3,3d2205dfd1d28fb8106e60223cf7207a3c05dbab,5.539569482985745e-06,1.4878227139643577e-06,6.079790110169827e-07,8.153500475481039e-07,6.93943495432653e-07
4,c3fd79150bc183e8852f1330ea6e8cb4ca7ce7bc,5.977490425330977e-06,1.5502365412824365e-06,6.757302709343529e-07,9.353954096282409e-07,7.603717676308458e-07
5,71555c48be7f07833bd540dacb50deb8069b551f,5.697639868642861e-06,1.4706447830500506e-06,6.520254440438845e-07,8.905373962522939e-07,7.787079853883156e-07
6,5324067c702a41e901354a01a5f0d05ff49b6cb4,5.643172709272277e-06,1.4629242416828805e-06,6.200211719663317e-07,8.410947432235176e-07,6.764258751712669e-07
7,20cb312563b2e7c0b180db8dffbcd71d7dfd0bee,6.003675354901503e-06,1.6468929335171474e-06,6.118130387003481e-07,8.368988218891642e-07,6.963248765582887e-07
8,45ee22fa2fdd2bace756ed62685a346da91c4cb2,5.790959807344396e-06,1.5127006679896355e-06,6.275506951268698e-07,8.411502992007048e-07,6.861257994062937e-07
9,798aee26bdb9dcc0e806ca9271f0f98297188dec,5.862824787655905e-06,1.5210140078114224e-06,6.811566650794612e-07,8.959071809156783e-07,7.861981228453678e-07
10,1c50f244d4d1eba4f3f63e93a05a2b2f938685a4,5.7342817578400925e-06,1.5418920234027362e-06,6.890710993741246e-07,9.045149181392917e-07,7.450504504772077e-07
11,fca7a15f30776ebce9e6814eb927e837f567a518,5.830384472463571e-06,1.6515718203744648e-06,7.478197754067843e-07,9.249959548469633e-07,7.866458521692928e-07
12,26311ed7bf80e02c827189e80084602d72e4f284,5.6774276893798545e-06,1.5311213361446749e-06,6.669179925262478e-07,9.075584916176483e-07,7.176818567216894e-07
13,b5e01bcb668da0413170a886c258e00d2540e752,5.7804415694745046e-06,1.5958119663228608e-06,7.10283384778186e-07,9.054810413395165e-07,7.303078413470146e-07
14,ab30683fe1277a7fd471be63975a02ed8d766f94,5.782782960054858e-06,1.683488419232437e-06,7.330165951957819e-07,8.233169417305144e-07,7.194221264678327e-07
15,3c89e2f913406f55b6e998017c1149e3ba383bcc,5.889224532436628e-06,1.5920464683003979e-06,6.804611830433533e-07,9.398047735554759e-07,7.59118311413122e-07
16,590f07121dc55e6d9d9ce514887c9bbc253fb266,6.16362167992857e-06,1.798187981659496e-06,8.999317871610092e-07,9.644165589891521e-07,7.905749421370246e-07
17,872372bd56ccb5fe98faae8be7d14e4a8c69e037,5.986046362386284e-06,1.721850755318224e-06,6.512636931566737e-07,9.30789711140481e-07,7.115565708687554e-07
18,70a84c3192b4f231925e8e36f50d6a26bff3b46d,6.4804502849492145e-06,1.7248868677614732e-06,1.1048126005334778e-06,1.419224971633406e-06,1.091666175389335e-06
19,9d416356baf4a653b2c647a921ae24ba7d39e8df,5.978628516962481e-06,1.5327922472308098e-06,6.301665286972807e-07,9.342322274195877e-07,7.033650831157953e-07
20,09dd75e9e2139bc9742e6009b7babe41d4c002df,5.831000260671981e-06,1.574740636961121e-06,6.454584063507111e-07,9.029183145225259e-07,7.369846963111085e-07
21,85d64e375f53f6028519d3aaad0b421934dcbe24,5.823554162513271e-06,1.639907290684357e-06,6.918890768111716e-07,8.562275833232021e-07,7.596806447213559e-07
22,09e04dcbe3d0c836437b2d4745b353b256ec6265,5.984179049749919e-06,1.630717651308922e-06,6.621863598638605e-07,9.607169132077202e-07,7.204088737720674e-07
23,cdd7ab252988ff4254705e0a89874edeb5cea8eb,5.703140251987689e-06,1.5842095094215508e-06,6.888171594495068e-07,8.602921981069831e-07,7.165351760984131e-07
24,06da877ceae914a875bd1a55cd8e271332358803,5.92386262519552e-06,1.5556744301141896e-06,6.51592214340291e-07,9.67745253520311e-07,7.026444359060743e-07
25,8529dfaaec65248420faffe095bac03c23881735,5.776060822301139e-06,1.516363074355384e-06,6.54171720645957e-07,8.903687579859839e-07,7.293535130463836e-07
26,171a3e5811e43643788c20075be9ba52efb83b81,5.915402681329575e-06,1.608738465754418e-06,7.25749872089738e-07,9.081502178373717e-07,7.413466851069079e-07
27,5bf9ab98edd254dee1162d6f1863053e040cf828,5.9106342646212635e-06,1.5953736732288506e-06,6.49766373550041e-07,9.251959074225108e-07,7.337578633608252e-07
28,9776a73cee9eaaff6af40e971fa2bb7f8f1086c5,7.4019121426057865e-06,2.1798760907610735e-06,8.482917697742682e-07,1.0430576907053343e-06,8.595766385586125e-07
29,37a1ad069a800f5ef98286f25fb3fb632375168d,7.421383614343537e-06,1.9928153678121396e-06,7.749122721347081e-07,1.0186103480526678e-06,9.220910741089389e-07
30,1cb2230bb1bfb9b2544dab798dffeedce64ad39f,7.384286430826494e-06,1.984701685335474e-06,7.226961995368573e-07,1.0803688820216013e-06,7.809503528940739e-07
31,044f5131450f38cdfbab63d6999b60e7e3bbabe5,7.441049553143055e-06,2.05959811455739e-06,7.524063459236908e-07,1.10029855169361e-06,8.718073983248407e-07
32,dc089026b4ad0d2d9ea992c7f1b9b5e716dd82cd,7.698531663599098e-06,2.2125358522543352e-06,7.744192077079873e-07,1.1628128373381377e-06,8.5242391148373e-07
33,53adf81bc503d749b13160a27e49160c5bbe48d7,7.4134763013756995e-06,2.0507077825582855e-06,8.369827033999326e-07,9.781060204833162e-07,8.503217858543181e-07
34,49e00940a82f9590d774539cd188b634c29fc39f,7.4685820008573285e-06,1.9970789603489672e-06,8.169211751644375e-07,9.905906908071523e-07,8.400634457078583e-07
35,7b9b41a4c7dbd7b719d62f343f57f841f5809693,7.390172432065085e-06,1.949276522867123e-06,7.596856274524937e-07,1.0266580318239858e-06,7.980856994315827e-07
36,ae88e02a48c4744afd22c63be388870037f3c84c,8.135217984381382e-06,2.2199197549985824e-06,7.412054984644589e-07,1.147732764705552e-06,7.930041819351418e-07
37,0aeab48b9e914d1dc7041b7e3f3b7e575ffcbbed,6.185346131245032e-06,1.983743560805613e-06,7.96141130503599e-07,1.025293839583674e-06,8.319379600137836e-07
38,c18b3f59b5f5752ab038224fd3bdf2dadba55ecf,5.994348959192345e-06,1.8294788779965145e-06,7.726356050136556e-07,9.18616818178499e-07,8.131647167837347e-07
39,a5e5e51187d4476841503ce816924ea99936dba0,6.01279283597932e-06,1.9047227612603324e-06,7.795086998529635e-07,9.888757310679972e-07,8.391351815179585e-07
40,b69cf68a24cffea0a884a102da1797755de8f022,5.905931931061079e-06,1.8214645578412002e-06,7.904995356361605e-07,9.8863619207996e-07,7.856109957339313e-07
41,ee3e17a7c3e3efdeafe907b394de56aed01a70e0,8.143817731933175e-06,2.5319307898077086e-06,7.855353414388907e-07,1.420707090235312e-06,1.1716652491092293e-06
42,c71ce0e6dbd9ec67b3ac7fb5ac3eb609f8a56829,8.339583594649353e-06,2.5367213787253135e-06,8.686464213646507e-07,1.0068603990425419e-06,8.65098786916813e-07
43,0ce156413feb21a4f2a8eae3b1cd954d04240edd,8.31974168323025e-06,2.4149286376799836e-06,7.802260255460635e-07,1.1009488473534164e-06,9.7167874459004e-07
44,7e3fd81c039b0e22715c4e6eb63439bdf5a620bf,8.591684297040828e-06,2.5178381862144942e-06,7.597375179259695e-07,1.0749798832374664e-06,8.774091794372867e-07
45,a6b4b2bdd6baf2afde27284097426e93912452e9,8.485435411027824e-06,2.5460746569772397e-06,8.098713046278338e-07,1.1094725322581022e-06,8.657377379911302e-07
46,c8a5ff07e5bda47eab870671634b107da5ab7934,8.435188274290441e-06,2.4574093522237116e-06,8.768070659221127e-07,1.0586322498813572e-06,8.30494327417132e-07
47,fafd123410f1ad5c47341c66d8ea4cf541165e77,8.324164106846971e-06,2.375005151236395e-06,7.422576055654698e-07,9.593858609593851e-07,8.182581103507237e-07
48,9765987c2ade250c82bfeaba49d1f9301211d63a,4.404924250651096e-06,1.9009687438420879e-06,1.0433740912545048e-06,1.3369576510348286e-06,1.0129700996913016e-06
49,dbf37449935bced333a3999afa860aaf304ab1a1,3.7281490485980103e-06,1.7492084029186004e-06,8.506697889675664e-07,1.1196189010768438e-06,8.050803703048991e-07
50,e1863f3582e3e8870205f8a9d1ed1cef1bf536b4,3.7762705533111105e-06,1.6092955751407126e-06,8.208773873194255e-07,1.0645852894916194e-06,1.33131154585177e-06
51,70f4309a155808d3a60a9a71db2d9482c1ec3ad7,3.7195491464798364e-06,1.6454029937735743e-06,8.298253085966724e-07,1.0842296205539278e-06,7.759608189583742e-07
52,bb6b86e2afe88b371badfcefe298945002e47006,3.8345943389366195e-06,1.8253431492237906e-06,9.176079341256924e-07,1.1012144481186863e-06,8.956925818052264e-07
53,5c3762157a0cd7a6a036a2144a5fbfc5278a919d,3.6745833339693055e-06,1.6762630368879911e-06,8.321556098714138e-07,1.0008121786904336e-06,8.321323676159601e-07
54,e0ffe3572b37190d9da5b1d07057e4e038bd3197,6.1722769805678756e-06,2.2564004860119325e-06,1.3054629575215366e-06,1.5935858173552812e-06,1.2078041044915624e-06
55,cfb6a4d88d88307d507a86d1d70cd7d84c611406,3.6231353044755415e-06,1.4869283081329324e-06,7.305508076884658e-07,1.0040429510304882e-06,7.657279283328179e-07
56,d4f7d9e215773e979eb43a1e5a3cbb51f96bd09d,3.7478635746047336e-06,1.6585995794715265e-06,7.692876674058264e-07,9.95211409066211e-07,8.352422940308e-07
57,bec2b07db5c999721d2d2c10334f3afe78aaadd9,3.8066857414661673e-06,1.670815703856801e-06,7.599866570664234e-07,9.422860204578778e-07,8.552445922034784e-07
58,5ca0ef6272ef3eabe2feb4049b7cb05a52516495,5.867895834458042e-06,2.626854611376235e-06,1.2959245502830253e-06,1.6446333637842063e-06,1.3182078872015412e-06
59,cb557b79fa0ce467c881830f8e8e042c484ccfaa,3.7146832331017014e-06,1.5997044008334965e-06,7.590282668069595e-07,9.085914979517384e-07,7.841152408120954e-07
60,badbf70324274bdb4299d8c64d3d83a26be2d4c0,3.5758843218700614e-06,1.4867546846461233e-06,6.600953202991269e-07,8.514663937217251e-07,6.285400503371051e-07
61,4c780c2d4b35a54cf45ca7d931efcaca73d0bf24,3.4800061009883793e-06,1.5130982464938468e-06,7.394685173177578e-07,8.629360023212823e-07,6.426522467126793e-07
62,3c91a3e1704c8aa7f1258aa30892040df9d952f4,5.624197865758929e-06,2.3615166167462033e-06,1.0583944094575247e-06,1.4728796054366234e-06,1.1071066440400159e-06
63,fe3d717080e812383900507168a6bd7093c4e434,3.4176963483718324e-06,1.4777140423949608e-06,7.163503655952424e-07,8.066134068164061e-07,7.410270240322489e-07
64,0cb9f7f7aa8f4255fafb5431dcc595ce183bc376,3.64492959127093e-06,1.4675234509495033e-06,6.476183411565898e-07,8.944274376825745e-07,6.861327485191142e-07
65,e69faef03428b82f5651a5fb521610ddea2bd22a,5.892076159136457e-06,2.385202238501279e-06,1.0895542436993077e-06,1.2881389879960604e-06,1.0664932886466708e-06
66,092905febd53742d2a700322f88b652d6a5fd4fb,3.999991942545311e-06,1.7588154455293249e-06,8.951330914386716e-07,1.116062066260887e-06,9.374624196046791e-07
67,6cd4b015dfd512fb4bc9d2e06a0f0cef4503582b,4.063434855378701e-06,1.6436578690619816e-06,7.439521899011972e-07,1.0059414683108493e-06,7.557758372386523e-07
68,3544fae2859d8ecac378b9ddc8f909c69455a831,4.7095931577354264e-06,1.93930205831543e-06,9.279127597941024e-07,1.2054862156547967e-06,9.304948719080445e-07
69,05fcb6544f72ea173011a77cee14d72979ffe293,4.5407269300763105e-06,1.9394309011069686e-06,8.719088000361808e-07,1.0505384936748724e-06,8.34383454110304e-07
70,f4ef0fd5d97afc7788c46eb51889e90623f5577e,4.341464080512413e-06,1.691096696818112e-06,8.265164363440237e-07,1.027235112763625e-06,8.004595040178218e-07
71,5cc7ef066fca7a821a2160b095578384c301ae3c,3.648995477401111e-06,1.5386330311883761e-06,7.024064081250751e-07,1.0218141598184199e-06,7.270363857374715e-07
72,c6d2aae8a92371bc9f7ddda990176fb014adb0d7,5.277537369006152e-06,2.214702945146481e-06,1.2972946777608528e-06,1.7040810201739697e-06,1.4612730456891852e-06
73,e3b831cd85e2f4d73b0db8e8d501828b50a96c64,3.474120771565904e-06,1.043862607855487e-06,6.743648741141126e-07,9.644904433493524e-07,7.227281547758339e-07
74,b3a7a69a198a8385735584b88408c91a1eef5a4b,5.5236304943209296e-06,1.858582325569963e-06,1.2930985595029581e-06,1.8046689540734487e-06,1.361632744193912e-06
75,bc6a6084f6e49bd78c12508131395304a63cc6ca,3.6298922563531446e-06,1.03787751252201e-06,8.032416227797401e-07,1.0922027365347083e-06,8.744648280179133e-07
76,c0d36c88b8b525f5869eefd893d1d77ffe41903e,3.3795331057783167e-06,1.0545344097475326e-06,7.940880763806861e-07,9.937449780760075e-07,8.158324315416654e-07
77,bcdfd208a9b99036cc6e379180c3242b08dedc47,3.3799682081061096e-06,1.0618055357653741e-06,7.317526064689877e-07,9.324377648599504e-07,7.739970454601995e-07
78,49c560c22f137907ea6a240591e49b004f28444b,3.3400176758986224e-06,1.010806344770026e-06,7.018735948593443e-07,9.590759079649368e-07,7.396862117427405e-07
79,45fb3a28100d509b695f432cf100f36f0e4c2f9f,3.39633528941739e-06,1.1150279282309723e-06,7.499817894503785e-07,9.534237567554633e-07,7.351330351089481e-07
80,273b7fe0a94ae3a8ac96f4b34a396a8d3584c210,3.438248794644946e-06,1.0674475574533725e-06,7.13917436918218e-07,9.763554795349653e-07,7.499723639738054e-07
81,8840d950e0eedf2eadb96d9867d8f8341e51aaac,3.432148148101702e-06,9.784346447264465e-07,7.098469964862855e-07,9.496542267945848e-07,7.935503139967737e-07
82,9d9cc5ca473d52eeda693a254fc0a1cbd4f4f1c4,3.6585914655131193e-06,1.141457038483371e-06,7.618949704070991e-07,1.0568385965429073e-06,8.228355380250043e-07
