,hash,"array_like-range(0, 3)",array_like-[1],array_like-1,array_like-array([5]),array_like-5
0,3d0c041ca162d69cc5bbb4d9d051eca7933f12bd,1.4435090228678311e-06,1.437408227390632e-06,1.4380364167722713e-06,1.5070039676558451e-06,1.4474413592766212e-06
1,ce140e8d5c28f1f057db1102cf78263e48f86d61,1.5444564699887015e-06,1.5513067685749658e-06,1.5664627545068628e-06,1.579962139445573e-06,1.5406633955271431e-06
2,c18ab2c3975c8fa8b59724fe6855c528d72fef8c,1.4948384232771405e-06,1.5122041645877576e-06,1.5114290079338237e-06,1.5444848003024315e-06,1.5107831998782291e-06
3,3d2205dfd1d28fb8106e60223cf7207a3c05dbab,1.4352372599941988e-06,1.4331817480149564e-06,1.4294867502458535e-06,1.491876417561328e-06,1.4296584631752264e-06
4,c3fd79150bc183e8852f1330ea6e8cb4ca7ce7bc,1.5535861139302107e-06,1.555941531250971e-06,1.5473297906399318e-06,1.960772424354218e-06,1.5430773549518477e-06
5,71555c48be7f07833bd540dacb50deb8069b551f,1.447073458659486e-06,1.4404358849099e-06,1.4511480198596217e-06,1.509935658667659e-06,1.452675005949048e-06
6,5324067c702a41e901354a01a5f0d05ff49b6cb4,1.4380532029490544e-06,1.4379953693157951e-06,1.4402275790640136e-06,1.5029908872313327e-06,1.4391631042670493e-06
7,20cb312563b2e7c0b180db8dffbcd71d7dfd0bee,1.4743190356172945e-06,1.4647148385991119e-06,1.4730253607300228e-06,1.5452133089271915e-06,1.4715309941731786e-06
8,45ee22fa2fdd2bace756ed62685a346da91c4cb2,1.471050465153732e-06,1.5029839927626829e-06,1.4914056656397144e-06,1.4875829095972028e-06,1.4478844971921491e-06
9,798aee26bdb9dcc0e806ca9271f0f98297188dec,1.4413326215480766e-06,1.4356061091196552e-06,1.4367354855501217e-06,1.5010931063612385e-06,1.4396224317845714e-06
10,1c50f244d4d1eba4f3f63e93a05a2b2f938685a4,1.4592815959665586e-06,1.458262099608072e-06,1.4590506858583612e-06,1.5133607022989926e-06,1.4660311571242005e-06
11,fca7a15f30776ebce9e6814eb927e837f567a518,1.4111648829665358e-06,1.4136047838132927e-06,1.4208539395916243e-06,1.4836845931182735e-06,1.4285852697727164e-06
12,26311ed7bf80e02c827189e80084602d72e4f284,1.4205987161845606e-06,1.4431504787851686e-06,1.4251095455608302e-06,1.4642663976952545e-06,1.4219039792264988e-06
