,hash,"array_like-range(0, 3)",array_like-[1],array_like-1,array_like-array([5]),array_like-5
0,3d0c041ca162d69cc5bbb4d9d051eca7933f12bd,6.099642651333615e-06,1.8671984784465976e-06,9.687158175934614e-07,4.245297649835834e-07,1.037177358350359e-06
1,ce140e8d5c28f1f057db1102cf78263e48f86d61,6.122224944626045e-06,1.8660052590439374e-06,9.630421369696375e-07,3.996206310260116e-07,1.0429977529037625e-06
2,c18ab2c3975c8fa8b59724fe6855c528d72fef8c,6.344985733106147e-06,1.906471173234379e-06,9.944812270325864e-07,4.1704761189230485e-07,1.0062567767291113e-06
3,3d2205dfd1d28fb8106e60223cf7207a3c05dbab,5.825388531394239e-06,1.7799447538911258e-06,8.7527780844959e-07,4.059706384353546e-07,9.631875899768519e-07
4,c3fd79150bc183e8852f1330ea6e8cb4ca7ce7bc,6.2707108324087835e-06,3.0284502832063864e-06,9.137698189905761e-07,4.3436683120087983e-07,9.737639133373526e-07
5,71555c48be7f07833bd540dacb50deb8069b551f,6.030776578638626e-06,1.7966016770091352e-06,8.807635282519238e-07,4.1064275273868346e-07,9.861257739513266e-07
6,5324067c702a41e901354a01a5f0d05ff49b6cb4,6.014588353566594e-06,1.8583715377916764e-06,8.820496442377745e-07,4.1084532429854135e-07,1.0090387565523705e-06
7,20cb312563b2e7c0b180db8dffbcd71d7dfd0bee,6.418180258103349e-06,2.0095056797137226e-06,8.685570994688747e-07,4.1219743103913715e-07,9.342380905185234e-07
8,45ee22fa2fdd2bace756ed62685a346da91c4cb2,6.2031400148436e-06,1.943139998093907e-06,8.815696500977209e-07,4.1508392638851144e-07,9.456210907294668e-07
9,798aee26bdb9dcc0e806ca9271f0f98297188dec,6.250418776606255e-06,1.837475071154985e-06,8.939266234243573e-07,4.187870025926092e-07,9.917447274677794e-07
10,1c50f244d4d1eba4f3f63e93a05a2b2f938685a4,6.282962280954989e-06,1.8899891716601115e-06,9.492537726394154e-07,4.0157784496237796e-07,1.0159577251227122e-06
11,fca7a15f30776ebce9e6814eb927e837f567a518,6.229561381485739e-06,2.006235113982659e-06,9.846703503780188e-07,4.1169575042492186e-07,1.0565522085819436e-06
12,26311ed7bf80e02c827189e80084602d72e4f284,6.0351997709261476e-06,1.8701410724182687e-06,9.363273182481697e-07,3.976802084696921e-07,9.988722901851364e-07
13,b5e01bcb668da0413170a886c258e00d2540e752,6.189580460483123e-06,1.9150037925930964e-06,1.0649214397436993e-06,3.981798023929599e-07,9.872461833539367e-07
14,ab30683fe1277a7fd471be63975a02ed8d766f94,6.361257812128912e-06,2.0199266878369726e-06,1.0282413602341636e-06,4.193799306429452e-07,1.0374513003625908e-06
15,3c89e2f913406f55b6e998017c1149e3ba383bcc,6.439300790877322e-06,2.0302796880049114e-06,9.743963640754705e-07,4.137732735011566e-07,1.049579240131721e-06
16,590f07121dc55e6d9d9ce514887c9bbc253fb266,6.628525387939243e-06,2.189473972797058e-06,1.0391268637179655e-06,4.491221778940751e-07,1.0457148226280707e-06
17,872372bd56ccb5fe98faae8be7d14e4a8c69e037,7.62981285222636e-06,2.0730783363723585e-06,9.82065727426247e-07,4.17168872251847e-07,1.0459992467079258e-06
18,70a84c3192b4f231925e8e36f50d6a26bff3b46d,6.4723047805719775e-06,2.0459458648973765e-06,1.0202952346606072e-06,4.200018065205197e-07,1.0319753892766833e-06
19,9d416356baf4a653b2c647a921ae24ba7d39e8df,6.651619923204926e-06,2.0689871569316753e-06,1.0532154279538536e-06,4.121821583098543e-07,1.0233541826298298e-06
20,09dd75e9e2139bc9742e6009b7babe41d4c002df,6.468806948709176e-06,2.088979519661164e-06,9.54405909975652e-07,4.2348899872820964e-07,1.0825735279049033e-06
21,85d64e375f53f6028519d3aaad0b421934dcbe24,6.240343363376341e-06,1.962447608576719e-06,9.58817817842249e-07,4.0808610844265186e-07,1.0811236794188308e-06
22,09e04dcbe3d0c836437b2d4745b353b256ec6265,6.25790093671191e-06,1.9857136792811743e-06,9.129251358734274e-07,4.045690827379368e-07,9.941671808271413e-07
23,cdd7ab252988ff4254705e0a89874edeb5cea8eb,6.1745712673449595e-06,1.948424939414096e-06,8.878281881196673e-07,4.106290433071207e-07,1.0334234411246925e-06
24,06da877ceae914a875bd1a55cd8e271332358803,6.395635109573301e-06,1.916143099403297e-06,9.315562267808921e-07,3.9620782111253194e-07,9.64877682484009e-07
25,8529dfaaec65248420faffe095bac03c23881735,6.184246995191515e-06,1.9356344327418655e-06,9.54543456001292e-07,4.0557662869296507e-07,1.025746083576178e-06
26,171a3e5811e43643788c20075be9ba52efb83b81,6.2458112020707986e-06,1.961851815120051e-06,1.015790431263613e-06,4.09480174059904e-07,1.031426302350497e-06
27,5bf9ab98edd254dee1162d6f1863053e040cf828,6.3280771685602486e-06,1.926737715170392e-06,9.893144547643572e-07,4.216863107124902e-07,1.0653279607666779e-06
28,9776a73cee9eaaff6af40e971fa2bb7f8f1086c5,7.82809798427387e-06,2.463788657871558e-06,1.1912749949284028e-06,4.127633418954748e-07,1.1548562398383019e-06
29,37a1ad069a800f5ef98286f25fb3fb632375168d,7.880436321095857e-06,2.485295006295735e-06,1.1629143729659174e-06,4.786176300913989e-07,1.23006307488546e-06
30,1cb2230bb1bfb9b2544dab798dffeedce64ad39f,7.743599995102152e-06,2.4163622921239254e-06,1.0302567931537733e-06,3.9081847540384035e-07,1.145467548892756e-06
31,044f5131450f38cdfbab63d6999b60e7e3bbabe5,7.925084066183759e-06,2.4858260308161948e-06,1.1159039094875177e-06,3.9478152427530346e-07,1.199616758465292e-06
32,dc089026b4ad0d2d9ea992c7f1b9b5e716dd82cd,8.108476780810686e-06,2.5638720770792217e-06,1.0526267775800765e-06,4.121006037401693e-07,1.0921110361093775e-06
33,53adf81bc503d749b13160a27e49160c5bbe48d7,7.825230800848231e-06,2.454764739792716e-06,1.1280065120918327e-06,4.2299285533002165e-07,1.1939542355525387e-06
34,49e00940a82f9590d774539cd188b634c29fc39f,7.886638680723941e-06,2.456543030796141e-06,1.1695238537753905e-06,4.1082472800078453e-07,1.2408570520569902e-06
35,7b9b41a4c7dbd7b719d62f343f57f841f5809693,7.956563231980613e-06,2.3990699389527855e-06,1.1119661394429372e-06,4.032837125454558e-07,1.1437372763489643e-06
36,ae88e02a48c4744afd22c63be388870037f3c84c,8.633070864463232e-06,2.73348930886355e-06,1.1389463815127427e-06,4.0175841967225866e-07,1.2032496394111199e-06
37,0aeab48b9e914d1dc7041b7e3f3b7e575ffcbbed,6.7011214689092946e-06,2.3666902570396948e-06,1.132634007127768e-06,4.170983601733957e-07,1.1463546243142614e-06
38,c18b3f59b5f5752ab038224fd3bdf2dadba55ecf,6.421890111868744e-06,2.125007317856172e-06,1.0772819137555462e-06,4.1569293988978715e-07,1.1269332429705382e-06
39,a5e5e51187d4476841503ce816924ea99936dba0,6.540320612202777e-06,2.306695518264879e-06,1.0712162533303606e-06,4.0409777444015373e-07,1.0965606327671536e-06
40,b69cf68a24cffea0a884a102da1797755de8f022,6.3626855772168495e-06,2.226690031701229e-06,1.1292963332787599e-06,4.123203106957056e-07,1.1118316165796395e-06
41,ee3e17a7c3e3efdeafe907b394de56aed01a70e0,8.41162589148596e-06,2.915207314248564e-06,1.1797604009799238e-06,4.115214226753972e-07,1.204745051279696e-06
42,c71ce0e6dbd9ec67b3ac7fb5ac3eb609f8a56829,8.574716261270025e-06,2.794021933123785e-06,1.0744395550738958e-06,4.289745746806809e-07,1.1543819087875978e-06
43,0ce156413feb21a4f2a8eae3b1cd954d04240edd,8.813297933579444e-06,2.862343076307034e-06,1.0964606253846476e-06,4.159265692653979e-07,1.229142520297915e-06
44,7e3fd81c039b0e22715c4e6eb63439bdf5a620bf,9.053495869161715e-06,2.8013688662456746e-06,1.0664482091237165e-06,4.2336504891043473e-07,1.221929694779939e-06
45,a6b4b2bdd6baf2afde27284097426e93912452e9,9.06405620005613e-06,2.8989501072502394e-06,1.17637201314221e-06,4.274721266433738e-07,1.6953180751304847e-06
46,c8a5ff07e5bda47eab870671634b107da5ab7934,8.785741001782235e-06,2.9608333331824392e-06,1.1655722385333235e-06,4.0590834715630336e-07,1.193493141257726e-06
47,fafd123410f1ad5c47341c66d8ea4cf541165e77,8.650890389136302e-06,2.7871943808003493e-06,1.0903043113919654e-06,4.108041148668828e-07,1.195740570434357e-06
48,9765987c2ade250c82bfeaba49d1f9301211d63a,4.490357259196425e-06,2.2374982643587797e-06,1.7082626314437554e-06,6.819137018642408e-07,1.269603369786113e-06
49,dbf37449935bced333a3999afa860aaf304ab1a1,4.521192723779236e-06,2.182434126730162e-06,1.3204608209953032e-06,4.6538270121399547e-07,1.2915904635426075e-06
50,e1863f3582e3e8870205f8a9d1ed1cef1bf536b4,4.78954496220271e-06,2.2479754532361923e-06,1.410086404370929e-06,5.12266591835666e-07,1.3597619763045806e-06
51,70f4309a155808d3a60a9a71db2d9482c1ec3ad7,4.391915691137634e-06,2.0452614507070483e-06,1.7034774587220124e-06,4.502832379888416e-07,1.1336722072775294e-06
52,bb6b86e2afe88b371badfcefe298945002e47006,4.4475226112469975e-06,2.3182446659871345e-06,1.347855816129595e-06,4.17422118899751e-07,1.2199893232512508e-06
