,hash,"array_like-range(0, 3)",array_like-[1],array_like-1,array_like-array([5]),array_like-5
0,03164d2d819f9b38e1c684d6d9e128f11867dc3c,4.350130632519722e-05,1.823227203723876e-05,1.0208318101549744e-05,1.2775609861708076e-05,1.0244862391666568e-05
1,60df9b1eb6375e3decf12ba7506404c46af0469a,4.3606197821997826e-05,1.8014365416086442e-05,9.849246937868208e-06,1.2667527381723764e-05,1.0165866881020758e-05
2,772c80b1ce1db7e30497fcf555ac9af56b0d7fce,4.426898548797686e-05,1.8216729319343965e-05,1.0156329769292137e-05,1.2314606110675861e-05,1.0148511866584493e-05
3,66d357ae3aedcd324a1c607e037adc65d3ae1c02,4.4837169741734494e-05,1.8620193036124996e-05,1.0205007509203322e-05,1.2792100974851028e-05,1.0456123531160766e-05
4,cec39effb1739ae0a7690e56d58d3e9432569d5f,4.3639113722615926e-05,1.8334367785939207e-05,9.754810651594942e-06,1.2323002548884213e-05,1.0012795089506635e-05
5,8ae543cb13769a0afa6e176898824db7fd992d27,4.335259831693757e-05,1.797103401304794e-05,9.553917481945957e-06,1.1906365554930116e-05,9.912379424680364e-06
6,c890b10a8ade5df19f97b02a2b10a75f9f6075e9,4.413700189320295e-05,1.793399238363159e-05,9.721299972046505e-06,1.2013873611689928e-05,1.0241526701648627e-05
7,c9a83043c0669fd17306843eb21abd236b675537,4.477442410839683e-05,1.8290585709210227e-05,1.0151577810373778e-05,1.227535485582942e-05,9.955465537985855e-06
8,4d87d909bab7a7dd4bb570444cf35d98d551668f,4.341349989385251e-05,1.829766730150702e-05,1.021903178267432e-05,1.2450188106854025e-05,1.0577763837935337e-05
9,a280f5e5d725de732a906b67172114b263ac3bfa,4.42384485611502e-05,1.8402100252096776e-05,1.0310795387604099e-05,1.225767852163083e-05,1.0337393882141798e-05
10,c303c9b77afbc7fe6f4049683c3ccaabdebe7be3,4.4012445047678e-05,1.8260259115850444e-05,1.0133734024408776e-05,1.2347215520484106e-05,1.0231501842864449e-05
11,fdfc4807cbe2de71f74053c45ae0de383332c4e1,4.363833126732178e-05,1.807748746660828e-05,9.834648490968076e-06,1.2455320836085342e-05,1.0029735418235903e-05
12,537d35c2cf49cae0a496c37564fa282ec80e3695,4.3872455623181114e-05,1.8142256964425985e-05,9.875899942761116e-06,1.2411475458210058e-05,1.0063422384674476e-05
13,1b6831be8dc33308e77f3d3253f5ee777e3bb178,4.352133480771895e-05,1.8307941531561113e-05,9.699396111748435e-06,1.2291068161361193e-05,1.0251563480778714e-05
14,7ef145115fede2c20df2cfc51ed28fcc9742b696,4.4084721535202944e-05,1.8017366120751602e-05,1.0204746842730877e-05,1.2733632575047097e-05,1.0281031330426533e-05
15,175476fec763984573e60485a447978cbcb381c0,4.3886893295816014e-05,1.8249778394863872e-05,1.0052410990219106e-05,1.243444572571876e-05,1.0380097983332999e-05
16,c3c2b689cd4e1ccc24b18e764f105ed0e400ae92,4.427551690473723e-05,1.799243333555708e-05,1.0341742350623039e-05,1.2593912935984012e-05,1.0637264722390682e-05
17,93240e0d8ea23644a5b7874037e658c54966ff54,4.3976248849017416e-05,1.8126000201583307e-05,1.010781629062113e-05,1.2595726373404558e-05,1.0345124194801507e-05
18,e1f191c46f2eebd6cb892a4bfe14d9dd43a06c4e,4.424703519458208e-05,1.7963002682885974e-05,1.0211235272967237e-05,1.252410899393235e-05,1.046372488850639e-05
19,8eedd3e911b7e3f5f35961871ddb8ee1559d4225,4.4486404643679153e-05,1.798724269669428e-05,9.971802424826578e-06,1.23650364722856e-05,1.0282278968069606e-05
20,ade91ea2f28284668fbf78971538ac4827d653b8,4.462480728191063e-05,1.8026605827669857e-05,1.0147840590658664e-05,1.2397059135495393e-05,1.0094028920024992e-05
21,b0a6e5583f2952a040c45d0d50f5e93372dc175b,4.392316534753271e-05,1.8310265138221144e-05,1.0348576962632022e-05,1.2644618547251709e-05,1.0430280429621537e-05
22,94b36b557ce7d88bbfe4091c59aa376764b7047d,4.377761885885767e-05,1.807880016560314e-05,1.0155056626625848e-05,1.2455841634215346e-05,1.0040219189683252e-05
23,ce6d3ffc991c63c1a91fd806b4eb3d0008caace2,4.411696703458319e-05,1.7816601794655043e-05,1.0001013527164707e-05,1.2123234303934233e-05,9.881120640784501e-06
24,aab7993af0f6f3b9ac0d76952933b19163d65496,4.338436091559068e-05,1.7917396823849694e-05,1.0299675908507936e-05,1.2697028396402363e-05,1.0363068017908487e-05
25,b94c2b01ff7ef5b8dc44726512cfa232e9054882,4.377336098024478e-05,1.8012692336143063e-05,1.0222119425295616e-05,1.25462778795489e-05,1.0367558504365224e-05
26,f737b354e6ab2aef8b4c05bca0011de46a4b53b0,4.388953018332681e-05,1.800763563552849e-05,1.0023140139856488e-05,1.2240497406225564e-05,1.0326528125505614e-05
27,bbd5a7750fbed42a4aaf12f196282a9504a1e865,4.373664865497408e-05,1.801976070151125e-05,1.0117673082277178e-05,1.209302912784317e-05,1.0245953371911467e-05
28,66f1b8a5411e8265ed87ff7bf97c67960af2624d,4.437724904467662e-05,1.8100355569260856e-05,1.0221045160345196e-05,1.2701836503587741e-05,1.0589509887163251e-05
29,d9347181d825d9426e783cfeafee304735bd25aa,4.3951222977163846e-05,1.812225790544344e-05,1.003158510953707e-05,1.2339536442181652e-05,1.0284655920375426e-05
30,fc159a547f091d1d6f75db470a0b8e9b2e7acea6,4.4137542325306714e-05,1.7846306916386957e-05,9.66202129017223e-06,1.2262829524629256e-05,9.985639744328345e-06
31,857125603f3cf72e2078ed2effd0f6ce40f0ca28,4.413812156251776e-05,1.8358685350338353e-05,1.0336140207577459e-05,1.2453420534294251e-05,1.058453293223529e-05
32,847119387dedec1ce7a85c1c0f29bcf86bc0348d,4.411977431850462e-05,1.7945495425004527e-05,1.0244452315186544e-05,1.2460160904410018e-05,1.0365261735556946e-05
33,deb4be85025088553d80d6637dbc17d7f8101f41,4.514035667491508e-05,1.821656044412761e-05,1.0494066949837145e-05,1.2505919136719344e-05,1.0707622675695286e-05
34,0c06b0b8593d947c5d63b72b6d84ecf83ae5da5b,4.4186819132750595e-05,1.7929935588194998e-05,1.0079706361124275e-05,1.2275535793689726e-05,1.0164500371529787e-05
35,c003e6ef6e421d23b5bf98f01df20f1350f61ea1,4.495405726165438e-05,1.7831988383711565e-05,9.85724851489067e-06,1.2477202389042252e-05,1.0112712996334351e-05
36,a0c5f64f4f1a7f6ee80dc9b95aa813df28a87d72,4.507254793810746e-05,1.8148679907123247e-05,1.0087031989123148e-05,1.2457604917642324e-05,1.0345792153689744e-05
37,c53c89f0d8572086dd13cbe1c3c98a4e73b41d09,4.463283761144906e-05,1.7860188611513494e-05,9.845653337172487e-06,1.2347396821840792e-05,1.0311246743585182e-05
38,767744c86e1e4a27bf77f90a85f17e564c9b94ea,4.635958318063553e-05,1.8209382555155205e-05,1.0353143569891866e-05,1.2593713380413223e-05,1.039054719473835e-05
39,e657629bbc2bfb880a1b2fa24a39c5921c1f965e,4.5574125403366166e-05,1.7980098432662243e-05,9.846719913184642e-06,1.1923412910729482e-05,1.0141925175625638e-05
40,3d0c041ca162d69cc5bbb4d9d051eca7933f12bd,4.563418429203426e-05,1.790263932474461e-05,9.908877255195668e-06,1.212716652832157e-05,1.013860646843799e-05
41,ce140e8d5c28f1f057db1102cf78263e48f86d61,4.5584623846050084e-05,1.796459856753548e-05,9.955519367262576e-06,1.248084277449915e-05,1.0405825052143212e-05
42,c18ab2c3975c8fa8b59724fe6855c528d72fef8c,4.4462722323742915e-05,1.8233155306252474e-05,9.88155095414682e-06,1.2646282415395501e-05,1.0171713546030714e-05
43,3d2205dfd1d28fb8106e60223cf7207a3c05dbab,4.495936542904625e-05,1.8174506849901316e-05,1.0485703977844062e-05,1.274193060436399e-05,1.0943795103461496e-05
44,c3fd79150bc183e8852f1330ea6e8cb4ca7ce7bc,4.485740597980718e-05,1.7963306501854296e-05,9.921855872861009e-06,1.242124803748931e-05,1.0149796812008143e-05
45,71555c48be7f07833bd540dacb50deb8069b551f,4.580889625872279e-05,1.8292422250367057e-05,1.0008913834388811e-05,1.1976963705572878e-05,1.052132478113107e-05
46,5324067c702a41e901354a01a5f0d05ff49b6cb4,4.548088201006089e-05,1.8061327864415944e-05,9.738719725812023e-06,1.215521385786667e-05,1.0257165503727751e-05
47,20cb312563b2e7c0b180db8dffbcd71d7dfd0bee,4.496016164038162e-05,1.8174761190570047e-05,1.0137944348975122e-05,1.2199428304609408e-05,9.848897955775152e-06
48,45ee22fa2fdd2bace756ed62685a346da91c4cb2,4.633819452554883e-05,1.8548207024011662e-05,1.0279292837367393e-05,1.2581990881725477e-05,1.035904752122263e-05
49,798aee26bdb9dcc0e806ca9271f0f98297188dec,4.614554187756474e-05,1.8319773431680475e-05,1.0112447802447996e-05,1.2587097386064463e-05,1.0670874027602265e-05
50,1c50f244d4d1eba4f3f63e93a05a2b2f938685a4,4.494894192022972e-05,1.7847140869972378e-05,1.0246935220348914e-05,1.2133167080733933e-05,1.0620123165518201e-05
51,fca7a15f30776ebce9e6814eb927e837f567a518,4.651979444191811e-05,1.8462027365869425e-05,1.032547709060672e-05,1.2630157627511856e-05,1.0800357468442284e-05
52,26311ed7bf80e02c827189e80084602d72e4f284,4.5702531503341275e-05,1.7942075353505007e-05,9.976315054737372e-06,1.2112779066748252e-05,1.03001117560209e-05
53,b5e01bcb668da0413170a886c258e00d2540e752,4.554139820383433e-05,1.8223974232872325e-05,1.024578283859114e-05,1.264091891547044e-05,1.0381864397981322e-05
54,ab30683fe1277a7fd471be63975a02ed8d766f94,4.7150756397740145e-05,1.8060479066834962e-05,1.031079074746092e-05,1.2293621071253543e-05,1.0745033403193575e-05
55,3c89e2f913406f55b6e998017c1149e3ba383bcc,4.479493654798716e-05,1.797759606637419e-05,1.0313556367649655e-05,1.2411682665969635e-05,1.0709039872506638e-05
56,590f07121dc55e6d9d9ce514887c9bbc253fb266,4.600758471758054e-05,1.8568996516666537e-05,1.0390221638114009e-05,1.2952617399050081e-05,1.0884227884377172e-05
57,872372bd56ccb5fe98faae8be7d14e4a8c69e037,4.504273786804959e-05,1.8347610320808695e-05,1.0165141496529542e-05,1.262528916858897e-05,1.0414420606200279e-05
58,70a84c3192b4f231925e8e36f50d6a26bff3b46d,4.5110039559216044e-05,1.78467365331985e-05,1.0333179907743321e-05,1.2352836616169493e-05,1.0680156318287656e-05
59,9d416356baf4a653b2c647a921ae24ba7d39e8df,4.509672382261963e-05,1.8196014665206813e-05,1.0352260828510208e-05,1.2739841225976346e-05,1.066653903753948e-05
60,09dd75e9e2139bc9742e6009b7babe41d4c002df,4.5347229650420416e-05,1.8458768264406104e-05,1.0298155069921576e-05,1.2751134744328661e-05,1.0769821550189923e-05
61,85d64e375f53f6028519d3aaad0b421934dcbe24,4.458746301784437e-05,1.778801511549814e-05,1.0062028300897517e-05,1.2692059190600661e-05,1.0354852807378792e-05
62,09e04dcbe3d0c836437b2d4745b353b256ec6265,4.549720227563133e-05,1.8311022531346554e-05,1.0238619076765396e-05,1.2469439509933251e-05,1.0467877011531248e-05
63,cdd7ab252988ff4254705e0a89874edeb5cea8eb,4.5392737022520585e-05,1.8542529823415073e-05,1.0536535169775386e-05,1.2599742115492484e-05,1.0603624359787902e-05
64,06da877ceae914a875bd1a55cd8e271332358803,4.558766136047231e-05,1.828753434147168e-05,9.962912858163674e-06,1.2592449566425635e-05,1.04704065058229e-05
65,8529dfaaec65248420faffe095bac03c23881735,4.5605146226065213e-05,1.856558909010444e-05,1.0439441320267287e-05,1.2469952015316805e-05,1.0844582539173129e-05
66,171a3e5811e43643788c20075be9ba52efb83b81,4.597000958484436e-05,1.801857051820157e-05,1.0403377514293618e-05,1.2559100114823093e-05,1.0561411099260664e-05
67,5bf9ab98edd254dee1162d6f1863053e040cf828,4.533280922435068e-05,1.8535042524639634e-05,1.019984109958632e-05,1.2876847643911103e-05,1.0531056257360828e-05
68,9776a73cee9eaaff6af40e971fa2bb7f8f1086c5,5.74112542577692e-05,2.1449300379211468e-05,1.1762793292291462e-05,1.3950120569664704e-05,1.2089250698669016e-05
69,37a1ad069a800f5ef98286f25fb3fb632375168d,5.7430871363197055e-05,2.1518924848834275e-05,1.2132883401699613e-05,1.3948721421319385e-05,1.2477680456057173e-05
70,1cb2230bb1bfb9b2544dab798dffeedce64ad39f,5.707706562437428e-05,2.0981582400219686e-05,1.1415102698047422e-05,1.3497110534830929e-05,1.1775894369134026e-05
71,044f5131450f38cdfbab63d6999b60e7e3bbabe5,5.67857812387937e-05,2.142055808955173e-05,1.1735543145635034e-05,1.4049357839471457e-05,1.2072714240903426e-05
