,hash,"array_like-range(0, 3)",array_like-[1],array_like-1,array_like-array([5]),array_like-5
0,03164d2d819f9b38e1c684d6d9e128f11867dc3c,6.85267797153857e-06,2.5239192979945697e-06,1.186021130340627e-06,5.591044595533286e-07,1.302520960467413e-06
1,60df9b1eb6375e3decf12ba7506404c46af0469a,7.067344207650757e-06,2.632464401812843e-06,1.1992989547569899e-06,5.587971241876246e-07,1.2675214691641946e-06
2,772c80b1ce1db7e30497fcf555ac9af56b0d7fce,7.402531133506333e-06,2.95667815505494e-06,1.2876286815851688e-06,6.195777435597865e-07,1.359857859426368e-06
3,66d357ae3aedcd324a1c607e037adc65d3ae1c02,7.050211882553826e-06,2.4407875924117862e-06,1.1903213526310876e-06,5.5589133357471e-07,1.2671139687788014e-06
4,cec39effb1739ae0a7690e56d58d3e9432569d5f,6.940731998804369e-06,2.5079236831296996e-06,1.1957002099186458e-06,6.234592243280048e-07,1.2701545814966917e-06
5,8ae543cb13769a0afa6e176898824db7fd992d27,6.8539866705737455e-06,2.4581997036109457e-06,1.3321931148961328e-06,5.79919212563444e-07,1.3172870881937662e-06
6,c890b10a8ade5df19f97b02a2b10a75f9f6075e9,6.9824264475015114e-06,2.4909908407535605e-06,1.251934612248619e-06,6.115703613078907e-07,1.3458171583656557e-06
7,c9a83043c0669fd17306843eb21abd236b675537,6.667107357552905e-06,2.3829169271354293e-06,1.259353342581642e-06,5.493202640690759e-07,1.3640086606765024e-06
8,4d87d909bab7a7dd4bb570444cf35d98d551668f,6.593375895302323e-06,2.3504382981498115e-06,1.249571430331317e-06,6.128699636722975e-07,1.282247513699659e-06
9,a280f5e5d725de732a906b67172114b263ac3bfa,6.561330336078934e-06,2.3277943493171166e-06,1.2253312236190504e-06,6.12981198546665e-07,1.2850069364861213e-06
10,c303c9b77afbc7fe6f4049683c3ccaabdebe7be3,6.712448170796184e-06,2.3500046085696493e-06,1.2258381993211906e-06,5.644624104953848e-07,1.3456655771606066e-06
11,fdfc4807cbe2de71f74053c45ae0de383332c4e1,7.1040058262121765e-06,2.516904641431702e-06,1.2961398630176226e-06,5.877429337528087e-07,1.329444967981131e-06
12,537d35c2cf49cae0a496c37564fa282ec80e3695,6.978496788651308e-06,2.5468610722745144e-06,1.2776807383535722e-06,5.484444108490545e-07,1.313255891251301e-06
13,1b6831be8dc33308e77f3d3253f5ee777e3bb178,6.8045768047695e-06,2.455745858745242e-06,1.2747183796488672e-06,6.198584147541556e-07,1.3113541638263009e-06
14,7ef145115fede2c20df2cfc51ed28fcc9742b696,6.957749836984352e-06,2.44627073657752e-06,1.285273173584323e-06,6.326527547120131e-07,1.3687413597185848e-06
15,175476fec763984573e60485a447978cbcb381c0,6.993475398747994e-06,2.5824058463652324e-06,1.3293880653208143e-06,6.166386067868441e-07,1.310385541595253e-06
16,c3c2b689cd4e1ccc24b18e764f105ed0e400ae92,6.637747742018408e-06,2.370611438783591e-06,1.2393900453144234e-06,5.539221655452802e-07,1.3144643860188317e-06
17,93240e0d8ea23644a5b7874037e658c54966ff54,6.7564640078325716e-06,2.340405964846813e-06,1.2060184249062392e-06,5.708221065836574e-07,1.3064163735511778e-06
18,e1f191c46f2eebd6cb892a4bfe14d9dd43a06c4e,6.840161131264285e-06,2.3971104391231355e-06,1.2498217923277896e-06,5.55054630695065e-07,1.4246333423774482e-06
19,8eedd3e911b7e3f5f35961871ddb8ee1559d4225,6.732979086474656e-06,2.3718079678530313e-06,1.2210501677373793e-06,5.542253370254238e-07,1.3196444798765255e-06
20,ade91ea2f28284668fbf78971538ac4827d653b8,6.786750759115863e-06,2.5482862166447096e-06,1.3157696364283223e-06,5.435587572337449e-07,1.3865371736151984e-06
21,b0a6e5583f2952a040c45d0d50f5e93372dc175b,6.914064820971492e-06,2.3950137809649284e-06,1.2204828534085447e-06,5.837026200128413e-07,1.312721048647197e-06
22,94b36b557ce7d88bbfe4091c59aa376764b7047d,6.746196613396303e-06,2.4810181710361374e-06,1.3011930506829766e-06,5.986908580645392e-07,1.3958045676546946e-06
