,hash,"array_like-range(0, 3)",array_like-[1],array_like-1,array_like-array([5]),array_like-5
0,03164d2d819f9b38e1c684d6d9e128f11867dc3c,4.4437929303670415e-05,1.9420626479772756e-05,1.1267183908672829e-05,1.3630773114849522e-05,1.1375323252335881e-05
1,60df9b1eb6375e3decf12ba7506404c46af0469a,4.429247260826533e-05,1.888020505026962e-05,1.0745688086899463e-05,1.3354049485907428e-05,1.119290765901591e-05
2,772c80b1ce1db7e30497fcf555ac9af56b0d7fce,4.5077023460479926e-05,1.8889179033276954e-05,1.097421070722782e-05,1.322388126510396e-05,1.1159383782893116e-05
3,66d357ae3aedcd324a1c607e037adc65d3ae1c02,4.537795286844758e-05,1.9184691507531247e-05,1.0977599006165575e-05,1.3464036186231425e-05,1.142653443022514e-05
4,cec39effb1739ae0a7690e56d58d3e9432569d5f,4.4529172955962364e-05,1.914041437026614e-05,1.0578193241708069e-05,1.2980838611471553e-05,1.1123513952646424e-05
5,8ae543cb13769a0afa6e176898824db7fd992d27,4.4488849693803285e-05,1.9026800469757187e-05,1.0694495027732825e-05,1.3311317370196983e-05,1.1004712636988364e-05
6,c890b10a8ade5df19f97b02a2b10a75f9f6075e9,4.5196231154432474e-05,1.8973447434100576e-05,1.0785508102868827e-05,1.3187605551056226e-05,1.111489175341019e-05
7,c9a83043c0669fd17306843eb21abd236b675537,4.549877850580415e-05,1.906240801654861e-05,1.0977592173579214e-05,1.3215384815057167e-05,1.1125679364321763e-05
8,4d87d909bab7a7dd4bb570444cf35d98d551668f,4.437440991035251e-05,1.9097469506934545e-05,1.0794961801109522e-05,1.3303659877485849e-05,1.1151707113473392e-05
9,a280f5e5d725de732a906b67172114b263ac3bfa,4.5291012308249875e-05,1.9231554508690774e-05,1.1239839074461115e-05,1.3346796558789947e-05,1.1329964497706917e-05
10,c303c9b77afbc7fe6f4049683c3ccaabdebe7be3,4.4973551734419895e-05,1.922890527756403e-05,1.0841795082814348e-05,1.3290202512525686e-05,1.1411508929913775e-05
11,fdfc4807cbe2de71f74053c45ae0de383332c4e1,4.4442112652622926e-05,1.9097541213645416e-05,1.0806879366836733e-05,1.335625511920316e-05,1.1199175839648183e-05
12,537d35c2cf49cae0a496c37564fa282ec80e3695,4.5024152952900604e-05,1.8996920457867613e-05,1.089843613823812e-05,1.3459740561057828e-05,1.1356883306715468e-05
13,1b6831be8dc33308e77f3d3253f5ee777e3bb178,4.4947389074531966e-05,1.9028186620238964e-05,1.0947893121235792e-05,1.3427980262199844e-05,1.156094064003738e-05
14,7ef145115fede2c20df2cfc51ed28fcc9742b696,4.5036191780430573e-05,1.9207693963951795e-05,1.1202236607686669e-05,1.3364800189477328e-05,1.1611921781443722e-05
15,175476fec763984573e60485a447978cbcb381c0,4.4753944593263264e-05,1.9183149144773194e-05,1.0992145227824611e-05,1.333664977869046e-05,1.1524982402405668e-05
16,c3c2b689cd4e1ccc24b18e764f105ed0e400ae92,4.531950271951083e-05,1.8917681244695206e-05,1.1062501045653057e-05,1.3279530656791728e-05,1.1656748350052272e-05
17,93240e0d8ea23644a5b7874037e658c54966ff54,4.4733555144304604e-05,1.9056319720632864e-05,1.0930558547694633e-05,1.3304582971613854e-05,1.1418733909065268e-05
18,e1f191c46f2eebd6cb892a4bfe14d9dd43a06c4e,4.513817936337242e-05,1.894986737952075e-05,1.0998762232077015e-05,1.3173113323070787e-05,1.1461459211187675e-05
19,8eedd3e911b7e3f5f35961871ddb8ee1559d4225,4.5369988462577264e-05,1.9002563732378905e-05,1.1009797676083829e-05,1.332907720426449e-05,1.1654068530903876e-05
20,ade91ea2f28284668fbf78971538ac4827d653b8,4.5237750668047356e-05,1.8979580299566784e-05,1.0894589135517376e-05,1.3153021561966579e-05,1.1340560179568818e-05
21,b0a6e5583f2952a040c45d0d50f5e93372dc175b,4.472653285711391e-05,1.8987789894388596e-05,1.1152333985918607e-05,1.3336970577718782e-05,1.1738724652386086e-05
22,94b36b557ce7d88bbfe4091c59aa376764b7047d,4.480267039389031e-05,1.907554547573235e-05,1.1401144703448634e-05,1.3393593359399926e-05,1.1455461610742706e-05
23,ce6d3ffc991c63c1a91fd806b4eb3d0008caace2,4.512051930923841e-05,1.9082931963645896e-05,1.1408710171531696e-05,1.3172550982720144e-05,1.1575897249861388e-05
24,aab7993af0f6f3b9ac0d76952933b19163d65496,4.413496959305968e-05,1.9334558058868754e-05,1.1117826566923802e-05,1.365464232769442e-05,1.1590969001512316e-05
25,b94c2b01ff7ef5b8dc44726512cfa232e9054882,4.477095984232923e-05,1.9083152582283915e-05,1.131538449914732e-05,1.3476600196817654e-05,1.1890661480879365e-05
26,f737b354e6ab2aef8b4c05bca0011de46a4b53b0,4.439031777781297e-05,1.894350953556168e-05,1.0927995283375768e-05,1.3214609403487135e-05,1.1456915155889177e-05
27,bbd5a7750fbed42a4aaf12f196282a9504a1e865,4.459563508599138e-05,1.892672890352543e-05,1.1302098328097896e-05,1.3227009927046646e-05,1.1595401073029384e-05
28,66f1b8a5411e8265ed87ff7bf97c67960af2624d,4.5233637982956034e-05,1.904650860907216e-05,1.1556970251938064e-05,1.390182382235658e-05,1.1936671178508959e-05
29,d9347181d825d9426e783cfeafee304735bd25aa,4.489275477366683e-05,1.8915449603229915e-05,1.1091700562605729e-05,1.3497644601940359e-05,1.1727909546300589e-05
30,fc159a547f091d1d6f75db470a0b8e9b2e7acea6,4.481287420882533e-05,1.873267897585244e-05,1.0812956686579319e-05,1.3132072295971044e-05,1.1372041361882756e-05
31,857125603f3cf72e2078ed2effd0f6ce40f0ca28,4.5006320555023696e-05,1.9090680706030722e-05,1.136946348769624e-05,1.3332576349829182e-05,1.1841403868268517e-05
32,847119387dedec1ce7a85c1c0f29bcf86bc0348d,4.481885164454886e-05,1.9059556874289975e-05,1.104307098266406e-05,1.3390222613295269e-05,1.1276965528357507e-05
33,deb4be85025088553d80d6637dbc17d7f8101f41,4.5932687913315206e-05,1.9123937262805134e-05,1.1395951703979962e-05,1.3507310171971227e-05,1.1670211455530544e-05
34,0c06b0b8593d947c5d63b72b6d84ecf83ae5da5b,4.519580251626888e-05,1.8888255532499382e-05,1.1045907900392355e-05,1.320228083707874e-05,1.1480799411460292e-05
35,c003e6ef6e421d23b5bf98f01df20f1350f61ea1,4.565768616915751e-05,1.8877226984794278e-05,1.1030875307935035e-05,1.3589289513711603e-05,1.1561759064731812e-05
36,a0c5f64f4f1a7f6ee80dc9b95aa813df28a87d72,4.570013569558368e-05,1.900478453149624e-05,1.096271203726442e-05,1.3468170740956642e-05,1.1558818064699952e-05
