,hash,"array_like-range(0, 3)",array_like-[1],array_like-1,array_like-array([5]),array_like-5
0,3d0c041ca162d69cc5bbb4d9d051eca7933f12bd,6.7070729117124125e-06,2.2358922096992503e-06,1.2343629187450008e-06,5.640343311538176e-07,1.3189028941090287e-06
1,ce140e8d5c28f1f057db1102cf78263e48f86d61,6.655412034866063e-06,2.3209335147154895e-06,1.2755155176715745e-06,5.41150319113441e-07,1.3830857662792631e-06
2,c18ab2c3975c8fa8b59724fe6855c528d72fef8c,6.731668612561547e-06,2.275357128480326e-06,1.2762647083901328e-06,5.533601655955144e-07,1.3078833147258327e-06
3,3d2205dfd1d28fb8106e60223cf7207a3c05dbab,6.272113119704886e-06,2.1723033303867963e-06,1.1568081672474039e-06,5.443440354965651e-07,1.2922965280755418e-06
4,c3fd79150bc183e8852f1330ea6e8cb4ca7ce7bc,6.625218166282325e-06,2.2110248028699897e-06,1.1890710143752486e-06,5.824982871239613e-07,1.2481293110054507e-06
5,71555c48be7f07833bd540dacb50deb8069b551f,6.562809738966074e-06,2.2040901573968286e-06,1.1687907962451307e-06,5.589297634301386e-07,1.320992330276475e-06
6,5324067c702a41e901354a01a5f0d05ff49b6cb4,6.500487937535833e-06,2.215454702481832e-06,1.2030950619746564e-06,5.640730692344933e-07,1.2722071547504299e-06
7,20cb312563b2e7c0b180db8dffbcd71d7dfd0bee,6.886359898536286e-06,2.41102933760966e-06,1.1392788208566443e-06,5.625017268160722e-07,1.2173045963778304e-06
8,45ee22fa2fdd2bace756ed62685a346da91c4cb2,6.7696601710954405e-06,2.3121782677479615e-06,1.174885866276124e-06,5.587744063089387e-07,1.2459798299934909e-06
9,798aee26bdb9dcc0e806ca9271f0f98297188dec,6.486418232439392e-06,2.272049762888775e-06,1.1931101420252664e-06,5.498788619732509e-07,1.3469832862669087e-06
10,1c50f244d4d1eba4f3f63e93a05a2b2f938685a4,6.6418206193842565e-06,2.2902340154769074e-06,1.2354977234136229e-06,5.469712775066622e-07,1.3111268800652562e-06
11,fca7a15f30776ebce9e6814eb927e837f567a518,6.521339655394872e-06,2.3883236422096623e-06,1.277442950374504e-06,5.644606899804812e-07,1.360575379166602e-06
12,26311ed7bf80e02c827189e80084602d72e4f284,6.399909176641157e-06,2.243718526990195e-06,1.2025833057067736e-06,5.32456487701161e-07,1.2647498811678658e-06
13,b5e01bcb668da0413170a886c258e00d2540e752,6.610263709016503e-06,2.3177218283060134e-06,1.3137398334096056e-06,6.141492987478185e-07,1.287812083319295e-06
14,ab30683fe1277a7fd471be63975a02ed8d766f94,6.678858985336398e-06,2.404239402616709e-06,1.3181427539077535e-06,6.099162902178566e-07,1.3115802936344468e-06
15,3c89e2f913406f55b6e998017c1149e3ba383bcc,6.990840790278621e-06,2.575606840035767e-06,1.3759206037409773e-06,6.539907074518559e-07,1.5228093670180455e-06
16,590f07121dc55e6d9d9ce514887c9bbc253fb266,1.0380067847813414e-05,2.491851633428834e-06,1.333835416517104e-06,5.720026146767447e-07,2.0138741073943486e-06
17,872372bd56ccb5fe98faae8be7d14e4a8c69e037,6.743812457520103e-06,2.4387112624709355e-06,1.2492666543683094e-06,5.764289371687627e-07,1.3280359158468036e-06
18,70a84c3192b4f231925e8e36f50d6a26bff3b46d,8.479049068209809e-06,3.04591832217718e-06,1.555157069517969e-06,6.953914448426254e-07,1.5953226790881719e-06
19,9d416356baf4a653b2c647a921ae24ba7d39e8df,9.370866519219652e-06,3.0896709522750544e-06,1.26952233964541e-06,6.399567558824885e-07,1.3493769949742108e-06
20,09dd75e9e2139bc9742e6009b7babe41d4c002df,6.771083727429454e-06,2.399145131287401e-06,1.5175423048332572e-06,5.525860419967537e-07,1.3774470869643378e-06
21,85d64e375f53f6028519d3aaad0b421934dcbe24,6.623710149599369e-06,2.3579881012455697e-06,1.27500956339851e-06,5.356905025046157e-07,1.3947531956884151e-06
22,09e04dcbe3d0c836437b2d4745b353b256ec6265,6.6178916524627786e-06,2.398392380903332e-06,1.2356017741844803e-06,5.355955308917979e-07,1.3358639254219267e-06
23,cdd7ab252988ff4254705e0a89874edeb5cea8eb,6.6228489516766325e-06,2.382188412848963e-06,1.206705442887695e-06,5.479218412566811e-07,1.320331835825251e-06
24,06da877ceae914a875bd1a55cd8e271332358803,6.839607185611386e-06,2.3054469073639103e-06,1.2377742909698137e-06,5.432788367754835e-07,1.2865226672903985e-06
25,8529dfaaec65248420faffe095bac03c23881735,6.680795745952423e-06,2.3361880752850255e-06,1.2446928358442715e-06,5.432035143235473e-07,1.3229184941565413e-06
26,171a3e5811e43643788c20075be9ba52efb83b81,6.69725904777209e-06,2.3375607220479445e-06,1.270222721868235e-06,5.67386528195471e-07,1.3362186443750479e-06
27,5bf9ab98edd254dee1162d6f1863053e040cf828,6.8601146699822824e-06,2.34205935465107e-06,1.2890191604473366e-06,5.609968733029646e-07,1.4004494870912356e-06
28,9776a73cee9eaaff6af40e971fa2bb7f8f1086c5,8.209636352696e-06,2.877427272674164e-06,1.5131794687341326e-06,5.486621366851321e-07,1.467389054912985e-06
29,37a1ad069a800f5ef98286f25fb3fb632375168d,8.538687245987402e-06,2.889308837786843e-06,1.4391271394150696e-06,5.437231690582495e-07,1.5858843873065126e-06
30,1cb2230bb1bfb9b2544dab798dffeedce64ad39f,8.163547043009056e-06,2.8075790807645154e-06,1.3516377795090853e-06,5.259488035604548e-07,1.4324044783999346e-06
31,044f5131450f38cdfbab63d6999b60e7e3bbabe5,8.325249235879757e-06,2.8306767579045216e-06,1.4042610606173992e-06,5.365896216537012e-07,1.477025832373884e-06
32,dc089026b4ad0d2d9ea992c7f1b9b5e716dd82cd,8.546099689952225e-06,2.9254730086391555e-06,1.3420991756402725e-06,5.39660530686082e-07,1.406208617816591e-06
33,53adf81bc503d749b13160a27e49160c5bbe48d7,8.255876970162303e-06,2.8236285140135765e-06,1.4555611004921753e-06,5.60950261565492e-07,1.4993708659329967e-06
34,49e00940a82f9590d774539cd188b634c29fc39f,8.603724403743749e-06,2.900161879202813e-06,1.5125383958804587e-06,5.666121033978757e-07,1.6014682544780032e-06
35,7b9b41a4c7dbd7b719d62f343f57f841f5809693,8.392467245388522e-06,2.7786501398027507e-06,1.4372118179922576e-06,5.37409459868896e-07,1.4649230708846528e-06
36,ae88e02a48c4744afd22c63be388870037f3c84c,8.966402891034274e-06,3.1071691913779023e-06,1.4572155394801067e-06,5.577519742578326e-07,1.5002571496003902e-06
37,0aeab48b9e914d1dc7041b7e3f3b7e575ffcbbed,7.167857099703095e-06,2.771219245532921e-06,1.4264165686687666e-06,5.761358612903399e-07,1.488090319383685e-06
38,c18b3f59b5f5752ab038224fd3bdf2dadba55ecf,6.747629217006738e-06,2.5832572397001717e-06,1.3431709369115052e-06,5.46544810524717e-07,1.3952255931340402e-06
39,a5e5e51187d4476841503ce816924ea99936dba0,7.351824351793503e-06,2.7975627705967995e-06,1.4491605708625872e-06,5.516699343249586e-07,1.44164893601693e-06
40,b69cf68a24cffea0a884a102da1797755de8f022,6.830340646116245e-06,2.60107144614432e-06,1.5442505932757617e-06,5.482999602629042e-07,1.3899784297885074e-06
41,ee3e17a7c3e3efdeafe907b394de56aed01a70e0,7.922502866599953e-06,2.9830959841196774e-06,1.6939180090994578e-06,6.196776638728266e-07,1.7085646256062862e-06
42,c71ce0e6dbd9ec67b3ac7fb5ac3eb609f8a56829,8.948623265306093e-06,3.188094528923102e-06,1.3630828724748257e-06,5.524396475765204e-07,1.4545535620066093e-06
43,0ce156413feb21a4f2a8eae3b1cd954d04240edd,9.2217509055362e-06,3.1971099842672864e-06,1.398782363070666e-06,5.464649473831238e-07,1.5153337281790294e-06
44,7e3fd81c039b0e22715c4e6eb63439bdf5a620bf,9.606781816480427e-06,3.1690407230682917e-06,1.3965906013473517e-06,5.437737082665767e-07,1.5184968253561494e-06
45,a6b4b2bdd6baf2afde27284097426e93912452e9,9.32173908619337e-06,3.305923480164108e-06,1.4624720353186433e-06,5.621620068761061e-07,1.5726605776147081e-06
46,c8a5ff07e5bda47eab870671634b107da5ab7934,1.4848678311297915e-05,4.997843697380561e-06,2.3951765718002723e-06,7.653227019801518e-07,1.559315407909409e-06
47,fafd123410f1ad5c47341c66d8ea4cf541165e77,9.151366530881026e-06,3.1602220454284124e-06,1.3930578588361552e-06,5.404922945416992e-07,1.5337256482040762e-06
48,9765987c2ade250c82bfeaba49d1f9301211d63a,4.642135851496537e-06,2.4957804491984124e-06,1.619326332350294e-06,5.538458994667533e-07,1.5106511210441004e-06
49,dbf37449935bced333a3999afa860aaf304ab1a1,7.351481404794334e-06,4.517661660885794e-06,2.606044813169897e-06,9.311358481984116e-07,2.440918121710425e-06
50,e1863f3582e3e8870205f8a9d1ed1cef1bf536b4,6.4010040964744645e-06,2.6905323869862414e-06,1.7824509951420083e-06,9.568049632023886e-07,1.9746818820332232e-06
51,70f4309a155808d3a60a9a71db2d9482c1ec3ad7,6.293006262060829e-06,3.2075093714183483e-06,1.6918238108390372e-06,8.291727353715632e-07,1.9541230399989545e-06
52,bb6b86e2afe88b371badfcefe298945002e47006,4.862485720394931e-06,2.7753942826297867e-06,1.7705368709756108e-06,5.932382455694391e-07,1.619652530141207e-06
53,5c3762157a0cd7a6a036a2144a5fbfc5278a919d,4.7655327448289654e-06,2.5960465070718026e-06,1.635810820170976e-06,5.785464288076674e-07,1.5107773364437872e-06
54,e0ffe3572b37190d9da5b1d07057e4e038bd3197,9.02284109700124e-06,4.845119934835482e-06,2.9620059909183134e-06,6.27341202579451e-07,2.899552580654725e-06
55,cfb6a4d88d88307d507a86d1d70cd7d84c611406,4.764030250022085e-06,2.373873007770513e-06,1.5807815624091415e-06,5.892481308588159e-07,1.4807468511245048e-06
56,d4f7d9e215773e979eb43a1e5a3cbb51f96bd09d,5.0993721299546e-06,2.8177997185856966e-06,1.7432213888454352e-06,6.56570727487205e-07,1.7339970281997541e-06
57,bec2b07db5c999721d2d2c10334f3afe78aaadd9,5.609419555791343e-06,3.0314001938931205e-06,1.9278930831073667e-06,6.339175703755754e-07,1.7592682450417737e-06
58,5ca0ef6272ef3eabe2feb4049b7cb05a52516495,5.416925202233682e-06,2.7187477067284686e-06,2.2267049932823135e-06,8.614647235898806e-07,2.7491557678897205e-06
59,cb557b79fa0ce467c881830f8e8e042c484ccfaa,4.8318750611302384e-06,2.428991644100186e-06,1.5276809549803114e-06,6.052881246138525e-07,1.379282692622241e-06
60,badbf70324274bdb4299d8c64d3d83a26be2d4c0,3.5376603514057727e-06,1.3987350761498232e-06,6.18526603121729e-07,3.105586275484456e-07,5.429908796936679e-07
61,4c780c2d4b35a54cf45ca7d931efcaca73d0bf24,3.4954228595648986e-06,1.358527921138308e-06,6.577165188371547e-07,2.956963465298472e-07,5.320555372660669e-07
62,3c91a3e1704c8aa7f1258aa30892040df9d952f4,4.9450554203548195e-06,1.971719926080877e-06,6.261768302798852e-07,3.074830041790903e-07,5.689953631241121e-07
63,fe3d717080e812383900507168a6bd7093c4e434,3.631763451975519e-06,1.3785869368253873e-06,6.343755060504709e-07,3.09131826807178e-07,6.074327822597315e-07
64,0cb9f7f7aa8f4255fafb5431dcc595ce183bc376,3.4837300533321443e-06,1.3245358724773417e-06,5.65341819408955e-07,2.874569179009384e-07,5.416050985294376e-07
65,e69faef03428b82f5651a5fb521610ddea2bd22a,3.608657831550861e-06,1.3187830180828216e-06,6.327997472436796e-07,3.01341544613417e-07,5.689777002960378e-07
66,092905febd53742d2a700322f88b652d6a5fd4fb,3.8026964365698323e-06,1.6179826570805745e-06,7.724308791541677e-07,3.4253501451160627e-07,6.367506402784123e-07
67,6cd4b015dfd512fb4bc9d2e06a0f0cef4503582b,3.563155421081958e-06,1.4022447565254192e-06,5.974028276964605e-07,2.996251810043375e-07,5.664949707385178e-07
68,3544fae2859d8ecac378b9ddc8f909c69455a831,4.659364795895295e-06,1.806886644006616e-06,9.029472462095973e-07,3.040676836848493e-07,6.006373282681054e-07
69,05fcb6544f72ea173011a77cee14d72979ffe293,3.837378510340037e-06,1.5919801967252045e-06,7.622567359205745e-07,3.0078519833228613e-07,6.883072031461439e-07
70,f4ef0fd5d97afc7788c46eb51889e90623f5577e,4.513172640350982e-06,1.4281021765162098e-06,8.576690452173352e-07,3.062356055021956e-07,6.315967873585956e-07
71,5cc7ef066fca7a821a2160b095578384c301ae3c,4.925053098949142e-06,1.6174675715219785e-06,9.539092647487494e-07,3.4514370217773066e-07,1.1130199504008021e-06
72,c6d2aae8a92371bc9f7ddda990176fb014adb0d7,6.403179721057275e-06,2.4793017145676114e-06,1.4664879316363335e-06,5.581113094731103e-07,1.1117754174971179e-06
73,e3b831cd85e2f4d73b0db8e8d501828b50a96c64,3.5532396255666576e-06,1.0399095693622096e-06,6.910101536709453e-07,3.012584238075432e-07,6.216547514306559e-07
74,b3a7a69a198a8385735584b88408c91a1eef5a4b,3.55521986155063e-06,9.724423634906998e-07,7.04357067954831e-07,3.0600950375794824e-07,7.689367286991558e-07
75,bc6a6084f6e49bd78c12508131395304a63cc6ca,3.6765381627415143e-06,9.784111881349859e-07,7.216890491247737e-07,2.993251444514567e-07,6.744230626068382e-07
76,c0d36c88b8b525f5869eefd893d1d77ffe41903e,3.398594206832183e-06,9.655552122573899e-07,8.221131430150662e-07,2.91404650827154e-07,6.876607588476035e-07
77,bcdfd208a9b99036cc6e379180c3242b08dedc47,3.3696750045989722e-06,9.799009439975199e-07,6.62705531888051e-07,2.873198001700821e-07,6.173235275564773e-07
