,hash,"array_like-range(0, 3)",array_like-[1],array_like-1,array_like-array([5]),array_like-5
0,03164d2d819f9b38e1c684d6d9e128f11867dc3c,4.4403421181086144e-05,1.9417457590750655e-05,1.1212020601840113e-05,1.364586706362178e-05,1.1187048444771865e-05
1,60df9b1eb6375e3decf12ba7506404c46af0469a,4.432417071339759e-05,1.8823362536664703e-05,1.0734710197250644e-05,1.3301534745008199e-05,1.1151908482410559e-05
2,772c80b1ce1db7e30497fcf555ac9af56b0d7fce,4.498707226762348e-05,1.8698559183001104e-05,1.0906205564426262e-05,1.3172356755926726e-05,1.1136687379518542e-05
3,66d357ae3aedcd324a1c607e037adc65d3ae1c02,4.560265204861385e-05,1.9276797018469648e-05,1.0936421076367477e-05,1.3508416574310373e-05,1.1462681754536015e-05
4,cec39effb1739ae0a7690e56d58d3e9432569d5f,4.464510274081191e-05,1.918302848935127e-05,1.0542476921912309e-05,1.3075516570681409e-05,1.0997745585294232e-05
5,8ae543cb13769a0afa6e176898824db7fd992d27,4.4319865160754744e-05,1.9128624043733508e-05,1.063983460196636e-05,1.32536335375053e-05,1.1015557207491743e-05
6,c890b10a8ade5df19f97b02a2b10a75f9f6075e9,4.51427157044657e-05,1.903666967188018e-05,1.0850675977193393e-05,1.3227400781783328e-05,1.1264673684756768e-05
7,c9a83043c0669fd17306843eb21abd236b675537,4.554441038939993e-05,1.9022081423685958e-05,1.0986020741608715e-05,1.3155299895928681e-05,1.1145943438310011e-05
8,4d87d909bab7a7dd4bb570444cf35d98d551668f,4.426621045672991e-05,1.9049402960579455e-05,1.0851229383767424e-05,1.3258518342952949e-05,1.1162304679315434e-05
9,a280f5e5d725de732a906b67172114b263ac3bfa,4.523041231247286e-05,1.9277554790520583e-05,1.1287950857766396e-05,1.3407657316290074e-05,1.1334795608716316e-05
10,c303c9b77afbc7fe6f4049683c3ccaabdebe7be3,4.508128593683489e-05,1.93057658566915e-05,1.0827316533355318e-05,1.3322481897341298e-05,1.1476327900193561e-05
11,fdfc4807cbe2de71f74053c45ae0de383332c4e1,4.4539087090869335e-05,1.901346884576854e-05,1.0700404242265458e-05,1.3359606275118896e-05,1.1195473618371617e-05
12,537d35c2cf49cae0a496c37564fa282ec80e3695,4.5033936233570177e-05,1.896226321049552e-05,1.0862082865695277e-05,1.3506785347657715e-05,1.1449046412525795e-05
13,1b6831be8dc33308e77f3d3253f5ee777e3bb178,4.4888704207010014e-05,1.9070628373256178e-05,1.0898555032427995e-05,1.354258244809432e-05,1.144851062526094e-05
14,7ef145115fede2c20df2cfc51ed28fcc9742b696,4.504063967153553e-05,1.9222224617133968e-05,1.1201067581059611e-05,1.3409689960510156e-05,1.1560316508673408e-05
15,175476fec763984573e60485a447978cbcb381c0,4.462254858372633e-05,1.916661736444681e-05,1.0929221381986165e-05,1.3281183711719338e-05,1.1458715634272877e-05
16,c3c2b689cd4e1ccc24b18e764f105ed0e400ae92,4.513263761337045e-05,1.8928566805540585e-05,1.1064346678456278e-05,1.3280984173278983e-05,1.163632480666009e-05
17,93240e0d8ea23644a5b7874037e658c54966ff54,4.4696692687769726e-05,1.9130878872028344e-05,1.0991056028398728e-05,1.3374134817298848e-05,1.1423127276655014e-05
18,e1f191c46f2eebd6cb892a4bfe14d9dd43a06c4e,4.4979051583343084e-05,1.8980922513045705e-05,1.0977097655831237e-05,1.3270168211333571e-05,1.1469286880039623e-05
19,8eedd3e911b7e3f5f35961871ddb8ee1559d4225,4.539814156790574e-05,1.903267173442693e-05,1.1085134479415586e-05,1.3386520848294253e-05,1.1619360947240424e-05
20,ade91ea2f28284668fbf78971538ac4827d653b8,4.5288823732808856e-05,1.8916784091604144e-05,1.0834658057475934e-05,1.3112842126571689e-05,1.1299848215196145e-05
21,b0a6e5583f2952a040c45d0d50f5e93372dc175b,4.4865938049162366e-05,1.8936014019860803e-05,1.1103159746109341e-05,1.3455554384960118e-05,1.1718229351182735e-05
22,94b36b557ce7d88bbfe4091c59aa376764b7047d,4.478818219568994e-05,1.895492805617181e-05,1.1410708554097022e-05,1.3337709121360481e-05,1.155399509764497e-05
23,ce6d3ffc991c63c1a91fd806b4eb3d0008caace2,4.5143423414941114e-05,1.903502392056196e-05,1.1477320614307024e-05,1.311069382948107e-05,1.1568932192555318e-05
24,aab7993af0f6f3b9ac0d76952933b19163d65496,4.408801754376268e-05,1.896074545316308e-05,1.1119536173186805e-05,1.3566707270082289e-05,1.1545207407655007e-05
25,b94c2b01ff7ef5b8dc44726512cfa232e9054882,4.4802414476563614e-05,1.9067371830847978e-05,1.1312950331019762e-05,1.359922585075214e-05,1.201303857872939e-05
26,f737b354e6ab2aef8b4c05bca0011de46a4b53b0,4.4507607168777555e-05,1.895219310129111e-05,1.0962921752748011e-05,1.3201635615047762e-05,1.1504430961059896e-05
27,bbd5a7750fbed42a4aaf12f196282a9504a1e865,4.463281708581703e-05,1.9112378970900182e-05,1.1319385291381203e-05,1.3245785845450497e-05,1.1570341761188867e-05
28,66f1b8a5411e8265ed87ff7bf97c67960af2624d,4.523104762027204e-05,1.904577242605614e-05,1.1664880017648883e-05,1.3868539379193233e-05,1.198587370878559e-05
29,d9347181d825d9426e783cfeafee304735bd25aa,4.495975411350816e-05,1.8854578383083285e-05,1.112160127098187e-05,1.343037030639997e-05,1.1658016741994493e-05
30,fc159a547f091d1d6f75db470a0b8e9b2e7acea6,4.4735343544743954e-05,1.8693853166236672e-05,1.0665707801744133e-05,1.317623677632011e-05,1.1267252769568035e-05
