,hash,"array_like-range(0, 3)",array_like-[1],array_like-1,array_like-array([5]),array_like-5
0,3d0c041ca162d69cc5bbb4d9d051eca7933f12bd,6.887263762805868e-06,2.5478870845463464e-06,1.7209542895993629e-06,5.675721497517415e-07,1.812585236808453e-06
1,ce140e8d5c28f1f057db1102cf78263e48f86d61,6.8927351745758045e-06,2.573816769529444e-06,1.7206518966449037e-06,5.474779219786266e-07,1.8531978649082425e-06
2,c18ab2c3975c8fa8b59724fe6855c528d72fef8c,7.023065627529316e-06,2.536727121003183e-06,1.7513533409796402e-06,5.449815486766172e-07,1.7193899651733626e-06
3,3d2205dfd1d28fb8106e60223cf7207a3c05dbab,6.6283964995304925e-06,2.4995898168938985e-06,1.674397912401578e-06,5.544824417720746e-07,1.7289250846174972e-06
4,c3fd79150bc183e8852f1330ea6e8cb4ca7ce7bc,6.806093715453438e-06,2.4869902359584562e-06,1.6395305153384176e-06,5.7909385963988e-07,1.728603553259369e-06
5,71555c48be7f07833bd540dacb50deb8069b551f,6.883653480179396e-06,2.4815809263731004e-06,1.6107928668544661e-06,5.533426078531279e-07,1.737698859246415e-06
6,5324067c702a41e901354a01a5f0d05ff49b6cb4,6.970347604915456e-06,2.584427041854349e-06,1.6523813801622742e-06,5.857346416458825e-07,1.6822879576047013e-06
7,20cb312563b2e7c0b180db8dffbcd71d7dfd0bee,7.234308029702198e-06,2.73577886484932e-06,1.5581734805812337e-06,5.756439727306598e-07,1.6567293233790495e-06
8,45ee22fa2fdd2bace756ed62685a346da91c4cb2,7.1957283704823384e-06,2.592533985381386e-06,1.651186740684474e-06,5.609904939589486e-07,1.7284501966251681e-06
9,798aee26bdb9dcc0e806ca9271f0f98297188dec,7.040393033015693e-06,2.5528538059276775e-06,1.6180597390571804e-06,5.534123368489245e-07,1.8185349262418735e-06
10,1c50f244d4d1eba4f3f63e93a05a2b2f938685a4,7.098382217833469e-06,2.676424014296446e-06,1.7007843970331375e-06,5.700061359957827e-07,1.7754843226071338e-06
11,fca7a15f30776ebce9e6814eb927e837f567a518,6.832673741040922e-06,2.652700459733137e-06,1.7283240266483442e-06,5.636362215079906e-07,1.8209545441545696e-06
12,26311ed7bf80e02c827189e80084602d72e4f284,6.786045966878163e-06,2.5815029845271467e-06,1.6495788311474066e-06,5.34607121412189e-07,1.7471227709842476e-06
13,b5e01bcb668da0413170a886c258e00d2540e752,6.813076776830565e-06,2.5671747788462464e-06,1.7377625116314183e-06,6.279928832070631e-07,1.7390273436988835e-06
14,ab30683fe1277a7fd471be63975a02ed8d766f94,7.061296616401999e-06,2.679610153455003e-06,1.7540358474692226e-06,6.166580188623417e-07,1.7265409521588566e-06
15,3c89e2f913406f55b6e998017c1149e3ba383bcc,7.2380879430851795e-06,2.7137674026980596e-06,1.6905827663952638e-06,5.573542874038251e-07,1.8080852991023341e-06
16,590f07121dc55e6d9d9ce514887c9bbc253fb266,7.3330132452623045e-06,2.663875885542154e-06,1.772252598724436e-06,5.799466488882608e-07,1.7843846192467166e-06
17,872372bd56ccb5fe98faae8be7d14e4a8c69e037,7.078651364238041e-06,2.719278413919582e-06,1.680379631566491e-06,5.76243810244179e-07,1.7654781129185895e-06
18,70a84c3192b4f231925e8e36f50d6a26bff3b46d,7.280136391682114e-06,2.7860378703720063e-06,2.0156171311993033e-06,5.889482034872707e-07,1.8094443088196494e-06
19,9d416356baf4a653b2c647a921ae24ba7d39e8df,1.2320362232054817e-05,3.48298172954167e-06,2.360577367384125e-06,6.449961195624869e-07,1.8430376672605185e-06
20,09dd75e9e2139bc9742e6009b7babe41d4c002df,7.221085652610454e-06,2.6919563484380027e-06,1.7470734968930132e-06,5.842779145052647e-07,1.8626527436222842e-06
21,85d64e375f53f6028519d3aaad0b421934dcbe24,7.015103640726584e-06,2.626829590125253e-06,1.7080791726560792e-06,5.419750492357958e-07,1.8587378831205442e-06
22,09e04dcbe3d0c836437b2d4745b353b256ec6265,6.99884268486917e-06,2.7523429265003347e-06,1.6906590076429995e-06,5.482580050297674e-07,1.8483492975570243e-06
23,cdd7ab252988ff4254705e0a89874edeb5cea8eb,6.972866786883161e-06,2.6537963592008628e-06,1.6894895607509105e-06,5.518829633488506e-07,1.7954988958264334e-06
24,06da877ceae914a875bd1a55cd8e271332358803,7.233955200193261e-06,2.6281902532370047e-06,1.7225069412146198e-06,5.45574143317831e-07,1.7599740826781726e-06
25,8529dfaaec65248420faffe095bac03c23881735,7.010124905502045e-06,2.67404850471346e-06,1.7054799726516332e-06,5.508482563999025e-07,1.7900082498303135e-06
26,171a3e5811e43643788c20075be9ba52efb83b81,7.079669154194704e-06,2.6512972034967514e-06,1.7897176974635194e-06,5.657699738919413e-07,1.8474448437324868e-06
27,5bf9ab98edd254dee1162d6f1863053e040cf828,7.193522426749204e-06,2.634759194987472e-06,1.7646621789344578e-06,5.762199322609597e-07,1.9105011739117506e-06
28,9776a73cee9eaaff6af40e971fa2bb7f8f1086c5,8.538890917216281e-06,3.1987654048303405e-06,2.023262256112559e-06,5.440264142203331e-07,1.9918831987547197e-06
29,37a1ad069a800f5ef98286f25fb3fb632375168d,8.864315697626974e-06,3.202872795287499e-06,2.004621566451136e-06,5.588550726255494e-07,2.1385303558296582e-06
30,1cb2230bb1bfb9b2544dab798dffeedce64ad39f,8.500950615946491e-06,3.0681849826625607e-06,1.8822355723541451e-06,5.347941187865391e-07,1.9379207588501367e-06
31,044f5131450f38cdfbab63d6999b60e7e3bbabe5,8.596278135384331e-06,3.117593384153291e-06,1.8826735309979066e-06,5.435231296303204e-07,1.9588624734859967e-06
