,hash,ndim-0,ndim-1,ndim-2
0,03164d2d819f9b38e1c684d6d9e128f11867dc3c,7.74864625014568e-06,9.560177727094428e-06,1.0885712717642872e-05
1,60df9b1eb6375e3decf12ba7506404c46af0469a,7.386698456515103e-06,1.076175607795525e-05,1.208845564092823e-05
2,772c80b1ce1db7e30497fcf555ac9af56b0d7fce,7.3487884762897335e-06,9.753773629199713e-06,1.1439705623846253e-05
3,66d357ae3aedcd324a1c607e037adc65d3ae1c02,7.508602534418879e-06,9.569938186111606e-06,1.1224605320181749e-05
4,cec39effb1739ae0a7690e56d58d3e9432569d5f,7.810633262876766e-06,9.940407286525111e-06,1.1825593774724004e-05
5,8ae543cb13769a0afa6e176898824db7fd992d27,7.810748220461837e-06,1.0058944905741987e-05,1.1771765638993879e-05
6,c890b10a8ade5df19f97b02a2b10a75f9f6075e9,7.557214377720373e-06,1.002329948823899e-05,1.1827444204013362e-05
7,c9a83043c0669fd17306843eb21abd236b675537,7.3681829006526374e-06,9.351868185066535e-06,1.0960667824397694e-05
8,4d87d909bab7a7dd4bb570444cf35d98d551668f,7.731321355074623e-06,9.913520916597917e-06,1.1639890432521265e-05
9,a280f5e5d725de732a906b67172114b263ac3bfa,8.972440433999406e-06,9.46593637557023e-06,1.1128174406754788e-05
10,c303c9b77afbc7fe6f4049683c3ccaabdebe7be3,8.27361571383749e-06,9.463297266682441e-06,1.1340908399845298e-05
11,fdfc4807cbe2de71f74053c45ae0de383332c4e1,7.62653977653065e-06,9.672685449583117e-06,1.1467479793366933e-05
12,537d35c2cf49cae0a496c37564fa282ec80e3695,7.595195452333669e-06,9.971385456579313e-06,1.1601885788351003e-05
13,1b6831be8dc33308e77f3d3253f5ee777e3bb178,7.732738600573023e-06,1.0108685896722532e-05,1.1716214063714255e-05
14,7ef145115fede2c20df2cfc51ed28fcc9742b696,8.832568893535429e-06,9.669872729732147e-06,1.1305315489781978e-05
15,175476fec763984573e60485a447978cbcb381c0,7.5349488710539064e-06,9.734236936978303e-06,1.1439142695449857e-05
16,c3c2b689cd4e1ccc24b18e764f105ed0e400ae92,7.13837557166765e-06,9.364086356733671e-06,1.1045875117654393e-05
17,93240e0d8ea23644a5b7874037e658c54966ff54,7.561355651206255e-06,9.76700681679755e-06,1.1498638425921455e-05
18,e1f191c46f2eebd6cb892a4bfe14d9dd43a06c4e,7.542608492506679e-06,1.0034004087422298e-05,1.1614073070314884e-05
19,8eedd3e911b7e3f5f35961871ddb8ee1559d4225,7.366561956459224e-06,9.494661816543984e-06,1.1137929745439405e-05
20,ade91ea2f28284668fbf78971538ac4827d653b8,8.49015003979531e-06,9.898024992643123e-06,1.150555422351617e-05
21,b0a6e5583f2952a040c45d0d50f5e93372dc175b,7.3511343834102135e-06,9.574880902867086e-06,1.119894878660153e-05
22,94b36b557ce7d88bbfe4091c59aa376764b7047d,7.616764889759788e-06,9.967898831074034e-06,1.1511393794995743e-05
23,ce6d3ffc991c63c1a91fd806b4eb3d0008caace2,7.227907047433523e-06,9.78796682003039e-06,1.1456032287545288e-05
24,aab7993af0f6f3b9ac0d76952933b19163d65496,7.87938837020819e-06,1.0355751883786079e-05,1.219013386231316e-05
25,b94c2b01ff7ef5b8dc44726512cfa232e9054882,7.443480023962879e-06,9.397766361044806e-06,1.1081440884477073e-05
26,f737b354e6ab2aef8b4c05bca0011de46a4b53b0,7.5202732852104235e-06,9.675193644149906e-06,1.1265162566605097e-05
27,bbd5a7750fbed42a4aaf12f196282a9504a1e865,7.874469664843061e-06,1.0377820656348476e-05,1.2169095913531996e-05
28,66f1b8a5411e8265ed87ff7bf97c67960af2624d,7.488422733551669e-06,9.754326813642612e-06,1.1457250257343693e-05
29,d9347181d825d9426e783cfeafee304735bd25aa,7.478476304054676e-06,9.751756819737653e-06,1.1431609842578827e-05
30,fc159a547f091d1d6f75db470a0b8e9b2e7acea6,7.715354996824837e-06,9.834240375938363e-06,1.1548493204985297e-05
31,857125603f3cf72e2078ed2effd0f6ce40f0ca28,7.2114920770565524e-06,9.459169549782844e-06,1.1136026816220619e-05
32,847119387dedec1ce7a85c1c0f29bcf86bc0348d,7.425037960490307e-06,9.581464090098798e-06,1.1442275520797315e-05
33,deb4be85025088553d80d6637dbc17d7f8101f41,7.3191505728528716e-06,9.728157727460547e-06,1.1375817852356675e-05
34,0c06b0b8593d947c5d63b72b6d84ecf83ae5da5b,7.4212478286306495e-06,9.788071818713267e-06,1.1396876553095747e-05
35,c003e6ef6e421d23b5bf98f01df20f1350f61ea1,7.962446826688279e-06,1.02868502768045e-05,1.2080283671490509e-05
36,a0c5f64f4f1a7f6ee80dc9b95aa813df28a87d72,1.073672606821674e-05,1.308712046328463e-05,1.5027060647977697e-05
37,c53c89f0d8572086dd13cbe1c3c98a4e73b41d09,7.579508713877473e-06,9.980832283944562e-06,1.1959450055104878e-05
38,767744c86e1e4a27bf77f90a85f17e564c9b94ea,7.89543023423649e-06,1.0119333022631445e-05,1.214666686217398e-05
39,e657629bbc2bfb880a1b2fa24a39c5921c1f965e,7.739964937541418e-06,1.0237543749713479e-05,1.2209640306310172e-05
40,3d0c041ca162d69cc5bbb4d9d051eca7933f12bd,7.824739146810793e-06,1.0355860566033898e-05,1.2247337592686946e-05
41,ce140e8d5c28f1f057db1102cf78263e48f86d61,7.71010984807307e-06,9.893453640291806e-06,1.1790547686060521e-05
42,c18ab2c3975c8fa8b59724fe6855c528d72fef8c,7.634845192615927e-06,1.0213599168551798e-05,1.2054790980455615e-05
43,3d2205dfd1d28fb8106e60223cf7207a3c05dbab,7.91294949226011e-06,9.808084088779817e-06,1.1723030957425443e-05
44,c3fd79150bc183e8852f1330ea6e8cb4ca7ce7bc,8.098697706914856e-06,1.0369275822852593e-05,1.220769209168615e-05
45,71555c48be7f07833bd540dacb50deb8069b551f,8.348071001808401e-06,1.1309928215568396e-05,1.2095652720127651e-05
46,5324067c702a41e901354a01a5f0d05ff49b6cb4,7.865512603416145e-06,1.0299866065688001e-05,1.2146555157166652e-05
47,20cb312563b2e7c0b180db8dffbcd71d7dfd0bee,7.980146349100124e-06,1.0207631371421227e-05,1.1922971972016167e-05
48,45ee22fa2fdd2bace756ed62685a346da91c4cb2,8.010653906556008e-06,1.0337644516259733e-05,1.2006888162727917e-05
49,798aee26bdb9dcc0e806ca9271f0f98297188dec,7.966107042956609e-06,1.0191440796529121e-05,1.2210356630371014e-05
50,1c50f244d4d1eba4f3f63e93a05a2b2f938685a4,7.799274620081491e-06,1.0598337016086705e-05,1.2576059932920436e-05
51,fca7a15f30776ebce9e6814eb927e837f567a518,7.966186105459056e-06,1.0165447730740756e-05,1.1821104095987031e-05
52,26311ed7bf80e02c827189e80084602d72e4f284,8.23370137201831e-06,1.072962200565848e-05,1.257058272362794e-05
53,b5e01bcb668da0413170a886c258e00d2540e752,7.969144788269432e-06,1.033148353630046e-05,1.2329949072827841e-05
