,hash,ndim-0,ndim-1,ndim-2
0,03164d2d819f9b38e1c684d6d9e128f11867dc3c,9.813815902982077e-06,1.1644771949616833e-05,1.3191204423021204e-05
1,60df9b1eb6375e3decf12ba7506404c46af0469a,9.403874027848423e-06,1.125802405303899e-05,1.2580992461153073e-05
2,772c80b1ce1db7e30497fcf555ac9af56b0d7fce,9.293140451931817e-06,1.1826697284603775e-05,1.3497118793596707e-05
3,66d357ae3aedcd324a1c607e037adc65d3ae1c02,9.739219081397591e-06,1.179020356896814e-05,1.3467191637142422e-05
4,cec39effb1739ae0a7690e56d58d3e9432569d5f,1.0107208299068886e-05,1.2314748038490973e-05,1.4154618417562328e-05
5,8ae543cb13769a0afa6e176898824db7fd992d27,9.91663455021229e-06,1.2208989992824791e-05,1.4068060734695124e-05
6,c890b10a8ade5df19f97b02a2b10a75f9f6075e9,9.824297063540653e-06,1.2350927752050577e-05,1.4239678350512793e-05
7,c9a83043c0669fd17306843eb21abd236b675537,9.540554098996588e-06,1.1479433780891149e-05,1.3119776287482718e-05
8,4d87d909bab7a7dd4bb570444cf35d98d551668f,9.750720915194094e-06,1.211175138013727e-05,1.4486794604469134e-05
9,a280f5e5d725de732a906b67172114b263ac3bfa,9.312002274038439e-06,1.1266946088732076e-05,1.2958893456102705e-05
10,c303c9b77afbc7fe6f4049683c3ccaabdebe7be3,9.66390637172894e-06,1.1813586062287686e-05,1.3498103402506838e-05
11,fdfc4807cbe2de71f74053c45ae0de383332c4e1,1.1545490045554397e-05,1.397223638429951e-05,1.5657207023210284e-05
12,537d35c2cf49cae0a496c37564fa282ec80e3695,1.1198813467421189e-05,1.3494577583985339e-05,1.505174930437631e-05
13,1b6831be8dc33308e77f3d3253f5ee777e3bb178,1.1469680022409051e-05,1.3756327260939063e-05,1.5263236046602843e-05
14,7ef145115fede2c20df2cfc51ed28fcc9742b696,1.0016126031620877e-05,1.2061402701361039e-05,1.3967600965390645e-05
15,175476fec763984573e60485a447978cbcb381c0,9.622709998935038e-06,1.1831428487588858e-05,1.3515386024878621e-05
16,c3c2b689cd4e1ccc24b18e764f105ed0e400ae92,9.23760865262641e-06,1.1552003157316257e-05,1.324040111417943e-05
17,93240e0d8ea23644a5b7874037e658c54966ff54,9.716091815128246e-06,1.179443127421503e-05,1.3620407844427974e-05
18,e1f191c46f2eebd6cb892a4bfe14d9dd43a06c4e,9.61639466845077e-06,1.2243683633754603e-05,1.3857973109282047e-05
19,8eedd3e911b7e3f5f35961871ddb8ee1559d4225,9.516576557248191e-06,1.1994545558182937e-05,1.364821409991345e-05
20,ade91ea2f28284668fbf78971538ac4827d653b8,1.1427249292238254e-05,1.2342641166756003e-05,1.4122602004027426e-05
21,b0a6e5583f2952a040c45d0d50f5e93372dc175b,9.54635720398246e-06,1.1762298503903045e-05,1.3424637718773251e-05
22,94b36b557ce7d88bbfe4091c59aa376764b7047d,9.622776362282986e-06,1.221792953484427e-05,1.3865675033205113e-05
23,ce6d3ffc991c63c1a91fd806b4eb3d0008caace2,9.5088595447702e-06,1.2052197255476136e-05,1.3801869537138469e-05
24,aab7993af0f6f3b9ac0d76952933b19163d65496,1.0205075497551514e-05,1.2694997640811522e-05,1.4693765186905161e-05
25,b94c2b01ff7ef5b8dc44726512cfa232e9054882,9.56689078695338e-06,1.1769459003488662e-05,1.3370374543945108e-05
26,f737b354e6ab2aef8b4c05bca0011de46a4b53b0,9.822568764710532e-06,1.2154567899447146e-05,1.3833309616559253e-05
27,bbd5a7750fbed42a4aaf12f196282a9504a1e865,9.980858062140664e-06,1.26922333425034e-05,1.4613950598987412e-05
28,66f1b8a5411e8265ed87ff7bf97c67960af2624d,9.743062275281938e-06,1.198488798488115e-05,1.3724241894984467e-05
29,d9347181d825d9426e783cfeafee304735bd25aa,9.791757166040635e-06,1.2059969646375592e-05,1.3819548244066398e-05
30,fc159a547f091d1d6f75db470a0b8e9b2e7acea6,9.623564284767336e-06,1.1623364976137671e-05,1.3442797174059434e-05
