,hash,ndim-0,ndim-1,ndim-2
0,3d0c041ca162d69cc5bbb4d9d051eca7933f12bd,9.099256200619688e-06,1.1825342406571554e-05,1.39834266918471e-05
1,ce140e8d5c28f1f057db1102cf78263e48f86d61,9.366311820816587e-06,1.2070741218995695e-05,1.4170759886361677e-05
2,c18ab2c3975c8fa8b59724fe6855c528d72fef8c,9.328508193985643e-06,1.250544863413214e-05,1.465620382274891e-05
3,3d2205dfd1d28fb8106e60223cf7207a3c05dbab,9.316610005705364e-06,1.1449723636024334e-05,1.323285808515114e-05
4,c3fd79150bc183e8852f1330ea6e8cb4ca7ce7bc,9.218586373291064e-06,1.1457335465479567e-05,1.3353274127058984e-05
5,71555c48be7f07833bd540dacb50deb8069b551f,9.107559090499452e-06,1.1361755701450203e-05,1.3111326437251786e-05
6,5324067c702a41e901354a01a5f0d05ff49b6cb4,9.343294527339326e-06,1.1849319290588234e-05,1.367559284979648e-05
7,20cb312563b2e7c0b180db8dffbcd71d7dfd0bee,9.406257727691396e-06,1.198866984972964e-05,1.3708060149676435e-05
8,45ee22fa2fdd2bace756ed62685a346da91c4cb2,9.396197724113749e-06,1.1959047561837107e-05,1.3676411589691102e-05
9,798aee26bdb9dcc0e806ca9271f0f98297188dec,9.636822280960835e-06,1.1830562423033473e-05,1.3614544914622756e-05
10,1c50f244d4d1eba4f3f63e93a05a2b2f938685a4,9.35119363765063e-06,1.3197908762284519e-05,1.4726833786890884e-05
11,fca7a15f30776ebce9e6814eb927e837f567a518,9.464471831134604e-06,1.1892392449517835e-05,1.3754106248301519e-05
12,26311ed7bf80e02c827189e80084602d72e4f284,9.69358669687917e-06,1.2048859428508786e-05,2.1478786755396386e-05
13,b5e01bcb668da0413170a886c258e00d2540e752,9.338348635620523e-06,1.1524252355201121e-05,1.3533280824790953e-05
14,ab30683fe1277a7fd471be63975a02ed8d766f94,9.09838759559707e-06,1.1363324768130547e-05,1.3115266157720767e-05
15,3c89e2f913406f55b6e998017c1149e3ba383bcc,9.593469383192563e-06,1.9008384082254904e-05,2.174947420154121e-05
16,590f07121dc55e6d9d9ce514887c9bbc253fb266,9.944101369230079e-06,1.799220891443667e-05,1.4931218229131202e-05
17,872372bd56ccb5fe98faae8be7d14e4a8c69e037,9.927305906206709e-06,1.2245924219676626e-05,1.6212552425947143e-05
18,70a84c3192b4f231925e8e36f50d6a26bff3b46d,1.0117680996428429e-05,1.2937751187495931e-05,1.4839087095046454e-05
19,9d416356baf4a653b2c647a921ae24ba7d39e8df,1.0388543270825937e-05,1.3039317390398751e-05,1.493476364495499e-05
20,09dd75e9e2139bc9742e6009b7babe41d4c002df,1.53516983040334e-05,1.27691851890564e-05,1.471362858345466e-05
21,85d64e375f53f6028519d3aaad0b421934dcbe24,9.999008745186821e-06,1.2317661445733556e-05,1.4174686507358851e-05
