,hash,type-int8,type-int16,type-float32,type-float64,type-complex64,type-complex128
0,03164d2d819f9b38e1c684d6d9e128f11867dc3c,1.2741963749634895e-05,2.4072024621743767e-05,4.7964461369333285e-05,8.765251934528351e-05,8.85469929837599e-05,0.0001804544512803356
1,60df9b1eb6375e3decf12ba7506404c46af0469a,1.263899066168623e-05,2.400683333281051e-05,4.788669183161028e-05,8.601109342028697e-05,8.733383566141128e-05,0.00018061803461148822
2,772c80b1ce1db7e30497fcf555ac9af56b0d7fce,1.2344886834563856e-05,2.360548568214034e-05,4.733349582969362e-05,8.686479181051254e-05,8.59430815115219e-05,0.00018057644256722118
3,66d357ae3aedcd324a1c607e037adc65d3ae1c02,1.2534421457107677e-05,2.3835714848663185e-05,4.791503102240855e-05,8.653449197489071e-05,8.717933821120882e-05,0.00018033225105368886
4,cec39effb1739ae0a7690e56d58d3e9432569d5f,1.2081649154424667e-05,2.3637898772469034e-05,4.763030386590339e-05,8.659392026149564e-05,8.635207328681403e-05,0.000177738683608671
5,8ae543cb13769a0afa6e176898824db7fd992d27,1.2270402269763662e-05,2.3502803576940842e-05,4.7590094414261873e-05,8.67254307700528e-05,8.618920331909543e-05,0.00017724450832853715
6,c890b10a8ade5df19f97b02a2b10a75f9f6075e9,1.246623368287045e-05,2.3700839230764252e-05,4.768324169245633e-05,8.730210664528092e-05,8.738544397056103e-05,0.0001784741404678738
7,c9a83043c0669fd17306843eb21abd236b675537,1.241486666028946e-05,2.3704279855315722e-05,4.756812357523462e-05,8.708954737812746e-05,8.729807335854046e-05,0.00017815756145864726
8,4d87d909bab7a7dd4bb570444cf35d98d551668f,1.218952975169945e-05,2.339848000159923e-05,4.7425480430453884e-05,8.741789497435093e-05,8.700254710581828e-05,0.00017922721703403762
9,a280f5e5d725de732a906b67172114b263ac3bfa,1.2191875438605037e-05,2.337513724341989e-05,4.7453837710079454e-05,8.611628197927455e-05,8.66991151124239e-05,0.00017823850293262084
10,c303c9b77afbc7fe6f4049683c3ccaabdebe7be3,1.2317428875235873e-05,2.3552582539601566e-05,4.772956820619679e-05,8.746395413313182e-05,8.698234517799048e-05,0.00017680231637010974
11,fdfc4807cbe2de71f74053c45ae0de383332c4e1,1.2548598812496634e-05,2.38080979697004e-05,4.7709740310973304e-05,8.647975664644036e-05,8.747009187936783e-05,0.00017992159894978006
12,537d35c2cf49cae0a496c37564fa282ec80e3695,1.2504602383290018e-05,2.377687003338497e-05,4.764722837382449e-05,8.684348144997206e-05,8.66413844512805e-05,0.00017578892099360627
13,1b6831be8dc33308e77f3d3253f5ee777e3bb178,1.2351357862863638e-05,2.3801023278368695e-05,4.758413750922315e-05,8.699980690070089e-05,8.700229044211662e-05,0.0001794628070427045
14,7ef145115fede2c20df2cfc51ed28fcc9742b696,1.1811114281206291e-05,2.333245517567117e-05,4.720539436675608e-05,8.692658198337385e-05,8.769180520527786e-05,0.00018178665062837433
15,175476fec763984573e60485a447978cbcb381c0,1.2301892568417339e-05,2.3656740808993385e-05,4.768649038548271e-05,8.689068324331726e-05,8.722810336380951e-05,0.00017758145735695445
16,c3c2b689cd4e1ccc24b18e764f105ed0e400ae92,1.2383677237373484e-05,2.365342893258289e-05,4.747762087438452e-05,8.702353303005377e-05,8.746813796460629e-05,0.00017623188195087144
17,93240e0d8ea23644a5b7874037e658c54966ff54,1.2650395905889502e-05,2.385362685954833e-05,4.803508727086915e-05,8.645182196784207e-05,8.674743255292337e-05,0.00017884795619338228
18,e1f191c46f2eebd6cb892a4bfe14d9dd43a06c4e,1.2361793250876083e-05,2.359346867168462e-05,4.786568726494647e-05,8.663566101078444e-05,8.651557072880678e-05,0.00017923193758931653
19,8eedd3e911b7e3f5f35961871ddb8ee1559d4225,1.2517201299229712e-05,2.377825960170774e-05,4.788211522221828e-05,8.627122605410148e-05,8.694928146724124e-05,0.00017581924718494218
20,ade91ea2f28284668fbf78971538ac4827d653b8,1.2208144978306194e-05,2.35748900971955e-05,4.767026805569159e-05,8.677646502970703e-05,8.706604167523364e-05,0.00017639106372371318
21,b0a6e5583f2952a040c45d0d50f5e93372dc175b,1.2338763294142804e-05,2.3514855996061446e-05,4.785865163717764e-05,8.659840132745486e-05,8.704028432331388e-05,0.00017741040016214054
22,94b36b557ce7d88bbfe4091c59aa376764b7047d,1.2358309558622506e-05,2.3652719973423568e-05,4.774316897266036e-05,8.77365086888594e-05,8.651345870607803e-05,0.0001783752613219208
