,hash,type-int8,type-int16,type-float32,type-float64,type-complex64,type-complex128
0,3d0c041ca162d69cc5bbb4d9d051eca7933f12bd,2.3111972867326383e-06,3.737878795791163e-06,6.8466346637616426e-06,1.7963321440531396e-05,1.7574822263864868e-05,3.704604545180131e-05
1,ce140e8d5c28f1f057db1102cf78263e48f86d61,2.270727900527322e-06,3.7379445591667103e-06,7.002499393217252e-06,1.8011921355994135e-05,1.794710249759349e-05,3.698277086670507e-05
2,c18ab2c3975c8fa8b59724fe6855c528d72fef8c,2.3486440361797183e-06,3.766975379787933e-06,7.006131858453315e-06,1.775128368064071e-05,1.7762026514458164e-05,3.718029657355115e-05
3,3d2205dfd1d28fb8106e60223cf7207a3c05dbab,2.2977414128524657e-06,3.734414701778635e-06,6.881971826337152e-06,1.7751749179356532e-05,1.7772135454763724e-05,3.7081770117600895e-05
4,c3fd79150bc183e8852f1330ea6e8cb4ca7ce7bc,2.2989942063543154e-06,3.675848349938911e-06,6.89085265147343e-06,1.7635905972979833e-05,1.7847858209995033e-05,3.7010903997418887e-05
5,71555c48be7f07833bd540dacb50deb8069b551f,2.2619637030843025e-06,3.6817279525652615e-06,6.875635484407724e-06,1.80277108544639e-05,1.7986915403070423e-05,3.704411405819975e-05
6,5324067c702a41e901354a01a5f0d05ff49b6cb4,2.2689747542194598e-06,3.7318111319477225e-06,7.035796393136509e-06,1.8203828727929598e-05,1.791945038052071e-05,3.700339628413108e-05
7,20cb312563b2e7c0b180db8dffbcd71d7dfd0bee,2.2338692456526732e-06,3.6323327756967413e-06,6.832410673241539e-06,1.7194678574534398e-05,1.7338772180336663e-05,3.692451349039396e-05
8,45ee22fa2fdd2bace756ed62685a346da91c4cb2,2.245696568166397e-06,3.684402824230519e-06,6.769273924617285e-06,1.8139589833984738e-05,1.782575117519329e-05,3.692335230392098e-05
9,798aee26bdb9dcc0e806ca9271f0f98297188dec,2.2679694372564923e-06,3.6859740365945182e-06,6.987623890955709e-06,1.7690780904964643e-05,1.7827207857909267e-05,3.7072860270892256e-05
10,1c50f244d4d1eba4f3f63e93a05a2b2f938685a4,2.2864751294585315e-06,3.695357656918349e-06,6.841900877153389e-06,1.793508253547794e-05,1.763559075889768e-05,3.7049018444287144e-05
11,fca7a15f30776ebce9e6814eb927e837f567a518,2.300890475295802e-06,3.7293911941161607e-06,6.7424948982228e-06,1.777461511665024e-05,1.7921041647425787e-05,3.717405764954323e-05
12,26311ed7bf80e02c827189e80084602d72e4f284,2.2643683135809337e-06,3.71970108110804e-06,6.8048997379642115e-06,1.8253140450910667e-05,1.7702323132151815e-05,3.816998254147951e-05
13,b5e01bcb668da0413170a886c258e00d2540e752,2.211385302160459e-06,3.6292282489827445e-06,6.826723822289043e-06,1.7643461430256655e-05,1.7756712100685836e-05,3.698521640211118e-05
14,ab30683fe1277a7fd471be63975a02ed8d766f94,2.2627363999005442e-06,3.6388517725819726e-06,6.789999696850887e-06,1.766444639653957e-05,1.773769420404944e-05,3.704410731939336e-05
15,3c89e2f913406f55b6e998017c1149e3ba383bcc,2.317653464693956e-06,3.7535100697520345e-06,7.3662815773411794e-06,1.8379898338297157e-05,1.839924699848112e-05,3.773619055909176e-05
16,590f07121dc55e6d9d9ce514887c9bbc253fb266,2.3896733644184365e-06,3.901065046749881e-06,7.075991650768061e-06,1.8959470113922155e-05,1.8690883825045257e-05,4.005145034059626e-05
17,872372bd56ccb5fe98faae8be7d14e4a8c69e037,3.0279475967164e-06,4.969514008351481e-06,8.972738013210252e-06,2.3463338991859928e-05,2.093136827170383e-05,4.20129530880331e-05
18,70a84c3192b4f231925e8e36f50d6a26bff3b46d,2.3887746486683846e-06,3.942799855692939e-06,7.527778872208848e-06,2.2140576813287348e-05,2.193401396174235e-05,3.9212026263316896e-05
19,9d416356baf4a653b2c647a921ae24ba7d39e8df,2.278709921770743e-06,4.13447260645326e-06,6.926847612509654e-06,1.8196960494729264e-05,1.8873730224847004e-05,3.8488566512811476e-05
20,09dd75e9e2139bc9742e6009b7babe41d4c002df,2.520589831313226e-06,4.007330380472735e-06,7.834647686030442e-06,1.8346144382493967e-05,1.951946140697443e-05,4.125621254176213e-05
21,85d64e375f53f6028519d3aaad0b421934dcbe24,2.295489418958525e-06,3.7432111241345555e-06,7.0947501494951015e-06,1.7638392102999744e-05,1.8000268937612418e-05,3.799724331260003e-05
22,09e04dcbe3d0c836437b2d4745b353b256ec6265,2.4064203374201922e-06,3.861991552316056e-06,7.351993512071316e-06,2.1219054525507137e-05,2.2510573286001153e-05,4.249595922931117e-05
23,cdd7ab252988ff4254705e0a89874edeb5cea8eb,2.2323550922243716e-06,3.677997289982917e-06,6.840324630843131e-06,1.758272201250229e-05,1.7819324599914866e-05,3.693003182833852e-05
24,06da877ceae914a875bd1a55cd8e271332358803,2.3116454687144975e-06,3.7089351161932947e-06,7.055668077370578e-06,1.7467130691057993e-05,1.784954443859818e-05,3.7245933656647275e-05
25,8529dfaaec65248420faffe095bac03c23881735,2.375627935979394e-06,3.826972281875707e-06,6.942463393119206e-06,1.8125933942208543e-05,1.799891571021708e-05,3.727139486789198e-05
26,171a3e5811e43643788c20075be9ba52efb83b81,2.2550234300488934e-06,3.6448175726615302e-06,6.8621350572932635e-06,1.7844463239752636e-05,1.7856664977506056e-05,3.714297288413144e-05
27,5bf9ab98edd254dee1162d6f1863053e040cf828,2.2847829437153653e-06,3.7113710052119487e-06,7.061562457416358e-06,1.7701812713213336e-05,1.7739072942244405e-05,3.720343559862004e-05
28,9776a73cee9eaaff6af40e971fa2bb7f8f1086c5,2.277071732558488e-06,3.771070248849833e-06,6.913584984315279e-06,1.7859840894749807e-05,1.7966099513951404e-05,3.811450525453048e-05
29,37a1ad069a800f5ef98286f25fb3fb632375168d,2.295907253249901e-06,3.718343273628649e-06,6.987900661969385e-06,1.7994906929938376e-05,1.763058402826235e-05,3.721755198765571e-05
30,1cb2230bb1bfb9b2544dab798dffeedce64ad39f,2.3033512477283964e-06,3.7224330491876043e-06,6.823976357949351e-06,1.7787442336248655e-05,1.787520747913934e-05,3.711387369254924e-05
31,044f5131450f38cdfbab63d6999b60e7e3bbabe5,2.199661232789844e-06,3.6188275533477183e-06,6.834217597967808e-06,1.7902961941745367e-05,1.7867586537773652e-05,3.686287918326526e-05
32,dc089026b4ad0d2d9ea992c7f1b9b5e716dd82cd,2.3057175997954247e-06,3.7215152263323036e-06,7.010162324662967e-06,1.7574801162269282e-05,1.7858413329567205e-05,3.715421189554036e-05
33,53adf81bc503d749b13160a27e49160c5bbe48d7,2.237840138671242e-06,3.6620633952321492e-06,6.948920715793148e-06,1.7574496763676453e-05,1.7861986946243166e-05,3.710108985769231e-05
34,49e00940a82f9590d774539cd188b634c29fc39f,2.2524766606354747e-06,3.69643034021231e-06,6.896547369394884e-06,1.7669441374489e-05,1.795938926902906e-05,3.7162570457049214e-05
35,7b9b41a4c7dbd7b719d62f343f57f841f5809693,2.251547649776784e-06,3.6375325302770462e-06,6.811612530860364e-06,1.7650656744057664e-05,1.7575848426844744e-05,3.7060657431126595e-05
36,ae88e02a48c4744afd22c63be388870037f3c84c,2.265382692681498e-06,3.7012534875083697e-06,7.004741532526927e-06,1.7990940445784055e-05,1.772083768022033e-05,3.693454868422709e-05
37,0aeab48b9e914d1dc7041b7e3f3b7e575ffcbbed,2.232809601448921e-06,3.7310319172657286e-06,7.103028743964839e-06,1.755041817074364e-05,1.7549064835100292e-05,3.6951200656957276e-05
38,c18b3f59b5f5752ab038224fd3bdf2dadba55ecf,2.211944287990558e-06,3.6279064273597228e-06,6.855195655354309e-06,1.762716586865333e-05,1.7736332236965218e-05,3.6911249174681566e-05
39,a5e5e51187d4476841503ce816924ea99936dba0,2.246106690519281e-06,3.655108170605989e-06,6.822514452403417e-06,1.7809122623673275e-05,1.7747164200968453e-05,3.693556856620203e-05
40,b69cf68a24cffea0a884a102da1797755de8f022,2.3028637608957325e-06,3.7281074564595733e-06,6.918873902545024e-06,1.7568698070321727e-05,1.7723839200500374e-05,3.717422727099541e-05
41,ee3e17a7c3e3efdeafe907b394de56aed01a70e0,3.165690831790182e-06,5.052026212336663e-06,9.797341432205315e-06,2.2446318344349052e-05,2.2451868016322423e-05,4.476882923869121e-05
42,c71ce0e6dbd9ec67b3ac7fb5ac3eb609f8a56829,2.6501931402317878e-06,3.7415539856806818e-06,7.209882367242774e-06,1.810604933990628e-05,1.7887405204803887e-05,3.945673582146558e-05
43,0ce156413feb21a4f2a8eae3b1cd954d04240edd,2.349353674484027e-06,3.7365713464584523e-06,7.140431513981998e-06,1.7746699658302302e-05,1.7712697105492325e-05,3.7072700322315615e-05
44,7e3fd81c039b0e22715c4e6eb63439bdf5a620bf,2.3592008031138733e-06,3.82918007433053e-06,6.9723666658521525e-06,1.8377347960513607e-05,1.8287774351351388e-05,3.77582881394458e-05
45,a6b4b2bdd6baf2afde27284097426e93912452e9,2.284961948111558e-06,4.776498992436751e-06,8.818365810347931e-06,2.1633233501232453e-05,2.1571561370325686e-05,4.312822573921833e-05
46,c8a5ff07e5bda47eab870671634b107da5ab7934,2.23504037039506e-06,3.6979799142560663e-06,6.9450759901850514e-06,1.774964381467122e-05,1.7637351588044893e-05,3.702223154242719e-05
47,fafd123410f1ad5c47341c66d8ea4cf541165e77,2.2434807570914857e-06,3.6727972707885685e-06,6.77833963163488e-06,1.7823845965966517e-05,1.7447292213928796e-05,3.70762390590207e-05
48,9765987c2ade250c82bfeaba49d1f9301211d63a,2.452953946704232e-06,3.90077233482845e-06,7.265341941624122e-06,1.8854991549310038e-05,1.946306057578639e-05,3.86820067206683e-05
49,dbf37449935bced333a3999afa860aaf304ab1a1,2.4334793730513485e-06,4.057423315500319e-06,6.8502718117239665e-06,1.9597745600859078e-05,1.9246419064035614e-05,3.850582029647277e-05
50,e1863f3582e3e8870205f8a9d1ed1cef1bf536b4,2.395304249810995e-06,4.634936513961961e-06,8.253295766034733e-06,1.8752139548680184e-05,1.9181010429747403e-05,4.6152120689682845e-05
51,70f4309a155808d3a60a9a71db2d9482c1ec3ad7,2.9082053895122782e-06,4.524822818358983e-06,8.972634100158952e-06,2.068977436186821e-05,2.146009911576877e-05,4.278205297476448e-05
52,bb6b86e2afe88b371badfcefe298945002e47006,2.347938843583657e-06,3.77394490435136e-06,7.017282641779201e-06,1.7886773552283766e-05,1.7836877692794843e-05,3.730743024838759e-05
53,5c3762157a0cd7a6a036a2144a5fbfc5278a919d,2.6587053565572926e-06,4.390276667886064e-06,8.136145035244388e-06,2.022597932302133e-05,2.0340131391550233e-05,4.158811879943589e-05
54,e0ffe3572b37190d9da5b1d07057e4e038bd3197,2.4708119017431503e-06,3.990359780469391e-06,7.629015285489034e-06,1.9989910744101114e-05,1.9315689442578332e-05,4.378371051444789e-05
55,cfb6a4d88d88307d507a86d1d70cd7d84c611406,2.396849733648681e-06,3.87616643847318e-06,7.1393504805812e-06,2.1597711214655088e-05,2.1467996666675896e-05,4.001900168396031e-05
56,d4f7d9e215773e979eb43a1e5a3cbb51f96bd09d,2.4157968855046845e-06,3.8823855148069955e-06,7.399200884863649e-06,2.069711630049518e-05,2.0862842381626582e-05,3.9573237518197854e-05
57,bec2b07db5c999721d2d2c10334f3afe78aaadd9,2.467275506327061e-06,3.927846409566897e-06,7.153192960642838e-06,1.8243095666798005e-05,1.8013288401823573e-05,4.427124913615006e-05
58,5ca0ef6272ef3eabe2feb4049b7cb05a52516495,2.4686809990342345e-06,3.9483208241699446e-06,7.692923962799175e-06,1.9398183465692338e-05,2.303799907263995e-05,5.0724621194769334e-05
59,cb557b79fa0ce467c881830f8e8e042c484ccfaa,3.162892895729474e-06,5.051280241574413e-06,9.603838703594184e-06,2.2727475082250376e-05,2.264388327755339e-05,4.434117781015565e-05
60,badbf70324274bdb4299d8c64d3d83a26be2d4c0,2.3421808451467528e-06,3.77129086005386e-06,6.93556226833516e-06,1.8164303849157024e-05,1.7701759188822206e-05,3.715618816894968e-05
61,4c780c2d4b35a54cf45ca7d931efcaca73d0bf24,2.3773499888765315e-06,3.819415490506131e-06,7.259907716338896e-06,1.8099406998084937e-05,1.8065797349961424e-05,3.798132592060447e-05
62,3c91a3e1704c8aa7f1258aa30892040df9d952f4,2.9673798860748657e-06,4.756126733121726e-06,8.895226969476602e-06,2.1883040161798468e-05,2.161538970861276e-05,4.384043014022823e-05
63,fe3d717080e812383900507168a6bd7093c4e434,2.394605692259459e-06,3.873033671130411e-06,7.074709860481411e-06,1.822017943153293e-05,1.846941232093313e-05,3.780118686183095e-05
64,0cb9f7f7aa8f4255fafb5431dcc595ce183bc376,2.450166098200249e-06,3.890570344868308e-06,7.281780977786768e-06,1.8184943790084622e-05,1.8140533493173208e-05,3.7496292527660496e-05
65,e69faef03428b82f5651a5fb521610ddea2bd22a,2.4631555634087987e-06,4.654668443216962e-06,9.085027641803389e-06,2.1445696267690576e-05,2.1907839972234196e-05,4.385839155046971e-05
66,092905febd53742d2a700322f88b652d6a5fd4fb,3.183886780422933e-06,6.210646706960595e-06,1.1392169020344235e-05,2.6075652016356098e-05,2.5372157224978764e-05,5.018797406283172e-05
67,6cd4b015dfd512fb4bc9d2e06a0f0cef4503582b,2.6591520769201413e-06,4.135932029984559e-06,8.081349655624542e-06,1.974972670514589e-05,1.9107241050716007e-05,4.005966842127469e-05
68,3544fae2859d8ecac378b9ddc8f909c69455a831,2.4909501017109136e-06,3.964407420112053e-06,7.351918854207421e-06,1.900636126011451e-05,2.3681691531619334e-05,4.7415162498509744e-05
69,05fcb6544f72ea173011a77cee14d72979ffe293,2.5994299494785738e-06,4.0583580747182e-06,7.432995066904511e-06,1.87500361234163e-05,1.8438192730007526e-05,3.8768959035198985e-05
70,f4ef0fd5d97afc7788c46eb51889e90623f5577e,3.3589241360040433e-06,5.300908942324486e-06,8.456528011767496e-06,2.308294525975535e-05,2.2771420790917602e-05,4.4169533988308314e-05
71,5cc7ef066fca7a821a2160b095578384c301ae3c,2.5866970738243994e-06,4.105158752002206e-06,7.791005828370695e-06,1.9485040074660896e-05,1.9233191978760522e-05,4.375119838389466e-05
72,c6d2aae8a92371bc9f7ddda990176fb014adb0d7,2.598080595637519e-06,4.554967143335757e-06,9.054874792413147e-06,2.153153571790816e-05,2.1049699044808568e-05,4.647335019679024e-05
73,e3b831cd85e2f4d73b0db8e8d501828b50a96c64,3.035209167125659e-06,4.102299300080541e-06,7.690339981713381e-06,1.9770440473451515e-05,1.935230884795286e-05,4.0089232586332743e-05
74,b3a7a69a198a8385735584b88408c91a1eef5a4b,2.5027126125391697e-06,4.011109392029854e-06,7.821055154079703e-06,1.953709440888313e-05,1.9931294846626165e-05,3.904636655517794e-05
75,bc6a6084f6e49bd78c12508131395304a63cc6ca,2.552117171217021e-06,4.056705999297977e-06,9.419051940162697e-06,2.190833511900214e-05,2.075591476653377e-05,4.335860676195115e-05
76,c0d36c88b8b525f5869eefd893d1d77ffe41903e,2.4258103179583134e-06,3.840662764685654e-06,7.335191822090449e-06,1.8142763976923265e-05,1.82397283060709e-05,3.757744372159611e-05
77,bcdfd208a9b99036cc6e379180c3242b08dedc47,2.396067877477294e-06,3.793807063064232e-06,7.1806659866479e-06,1.8720041447323726e-05,1.827778582939881e-05,3.744095420828876e-05
78,49c560c22f137907ea6a240591e49b004f28444b,2.3702378371620405e-06,3.788764471514231e-06,6.951747775647487e-06,1.7809506496612052e-05,1.818319869687252e-05,3.731259321438748e-05
79,45fb3a28100d509b695f432cf100f36f0e4c2f9f,2.449787819781609e-06,3.844608040485805e-06,7.068544733268081e-06,1.840146898958037e-05,1.817255762704214e-05,3.744747788054539e-05
80,273b7fe0a94ae3a8ac96f4b34a396a8d3584c210,2.3922582514246704e-06,3.843685412800198e-06,7.057799075214035e-06,1.800165279027306e-05,1.795572349987772e-05,3.728586732929408e-05
81,8840d950e0eedf2eadb96d9867d8f8341e51aaac,2.444112378873168e-06,3.858247581512829e-06,7.18216123086748e-06,1.857214189835751e-05,1.829048738323359e-05,3.7520532355704e-05
82,9d9cc5ca473d52eeda693a254fc0a1cbd4f4f1c4,2.443279895720162e-06,3.9292791599817155e-06,7.138345818336665e-06,1.8644994746464555e-05,1.9113415460610255e-05,3.8922432803486346e-05
