,hash,type-int8,type-int16,type-float32,type-float64,type-complex64,type-complex128
0,03164d2d819f9b38e1c684d6d9e128f11867dc3c,3.951483167412048e-05,4.146325006855257e-05,4.517203933185237e-05,4.03724261559546e-05,4.137928034111425e-05,0.00011434183259935755
1,60df9b1eb6375e3decf12ba7506404c46af0469a,3.9362003557759224e-05,4.1337187267896354e-05,4.5102599379702354e-05,4.0237365124338615e-05,4.08369114700976e-05,0.00011087873082777315
2,772c80b1ce1db7e30497fcf555ac9af56b0d7fce,3.980735740201039e-05,4.162946787316681e-05,4.5381193437303106e-05,4.164820901401665e-05,4.2098194594422826e-05,0.00011603103607500854
3,66d357ae3aedcd324a1c607e037adc65d3ae1c02,3.957745086933886e-05,4.133050070492594e-05,4.523793862716964e-05,4.013102487519835e-05,3.974385507612589e-05,0.00011871537108990279
4,cec39effb1739ae0a7690e56d58d3e9432569d5f,3.930924045245932e-05,4.109920195813449e-05,4.493610544730563e-05,3.9838858784231195e-05,4.009100900010298e-05,0.00011851101751542755
5,8ae543cb13769a0afa6e176898824db7fd992d27,3.950966967512732e-05,4.12658849766232e-05,4.520451011182355e-05,4.0753188190723626e-05,4.019186828344122e-05,0.00011955153766191668
6,c890b10a8ade5df19f97b02a2b10a75f9f6075e9,3.951629115776582e-05,4.128064466570329e-05,4.5062561791079744e-05,3.9677553427135275e-05,4.103238532236713e-05,0.00011524072885889598
7,c9a83043c0669fd17306843eb21abd236b675537,3.9442161615897605e-05,4.1354715445996227e-05,4.520106175151028e-05,4.016431014146312e-05,4.28121515311474e-05,0.00010967946758395748
8,4d87d909bab7a7dd4bb570444cf35d98d551668f,3.9248089909071115e-05,4.113116564187116e-05,4.5005647183136374e-05,4.0779925054974025e-05,4.1153631173074245e-05,0.00012273043235340578
9,a280f5e5d725de732a906b67172114b263ac3bfa,3.947013317593846e-05,4.131902747277944e-05,4.526098297598461e-05,4.0730048419424785e-05,4.094940490059315e-05,0.00011401629837399179
10,c303c9b77afbc7fe6f4049683c3ccaabdebe7be3,3.935193511849061e-05,4.120867207562656e-05,4.504359645362744e-05,3.979662147481734e-05,4.073957275051797e-05,0.00011415675345977598
11,fdfc4807cbe2de71f74053c45ae0de383332c4e1,3.955019335346532e-05,4.172580088292502e-05,4.514438033355439e-05,4.116300907399919e-05,4.1754455025538916e-05,0.0001172731425212596
12,537d35c2cf49cae0a496c37564fa282ec80e3695,3.965978132749813e-05,4.143718626547718e-05,4.5083493852811586e-05,4.06042472876386e-05,4.017113171743624e-05,0.00011780425817012152
13,1b6831be8dc33308e77f3d3253f5ee777e3bb178,3.988805013911531e-05,4.1658549401837745e-05,4.559761049070706e-05,4.144879155016194e-05,4.1881452131344646e-05,0.00011651027352385914
14,7ef145115fede2c20df2cfc51ed28fcc9742b696,3.973481606395132e-05,4.168683200903976e-05,4.548762543973598e-05,4.330456680194898e-05,4.259847725431124e-05,0.0001195552054965912
15,175476fec763984573e60485a447978cbcb381c0,3.977095274998373e-05,4.174582342620782e-05,4.566527342707929e-05,4.079949154613027e-05,3.983693826359822e-05,0.00011622587903346642
16,c3c2b689cd4e1ccc24b18e764f105ed0e400ae92,3.971451999983884e-05,4.151234754763457e-05,4.526798683510914e-05,4.02138463644194e-05,4.04686304844088e-05,0.00011580134741961956
17,93240e0d8ea23644a5b7874037e658c54966ff54,3.993547885812736e-05,4.191081499833077e-05,4.5676995658233196e-05,4.207798533170159e-05,4.2067564813033585e-05,0.00011635398676182018
18,e1f191c46f2eebd6cb892a4bfe14d9dd43a06c4e,3.971185309209806e-05,4.161596136404971e-05,4.541489467838732e-05,4.129382967948913e-05,4.123528842968791e-05,0.00012050737028143236
19,8eedd3e911b7e3f5f35961871ddb8ee1559d4225,4.000838491996936e-05,4.181842445037686e-05,4.5565646650473106e-05,4.0831445688520794e-05,4.034777915603294e-05,0.00011533134172416547
20,ade91ea2f28284668fbf78971538ac4827d653b8,3.981738105471693e-05,4.1637417430487963e-05,4.5561945751683476e-05,4.005158912729133e-05,4.222001441104232e-05,0.00011754413986558556
21,b0a6e5583f2952a040c45d0d50f5e93372dc175b,4.0029179003527935e-05,4.179044075679915e-05,4.561815048454945e-05,4.1246925498925006e-05,4.108801144490341e-05,0.00011697688864337073
22,94b36b557ce7d88bbfe4091c59aa376764b7047d,4.0014112706888805e-05,4.17896901467865e-05,4.576332270143888e-05,4.1733324919514554e-05,4.243320789129481e-05,0.00011858247110948843
23,ce6d3ffc991c63c1a91fd806b4eb3d0008caace2,3.9802750741893595e-05,4.17166156694293e-05,4.5393183245323596e-05,4.302267548388879e-05,4.01721260298568e-05,0.00012096670420410542
24,aab7993af0f6f3b9ac0d76952933b19163d65496,4.005580441173398e-05,4.169970967643361e-05,4.571267039742039e-05,4.118368580415555e-05,4.064856179580917e-05,0.0001187526949626558
25,b94c2b01ff7ef5b8dc44726512cfa232e9054882,3.988238993090588e-05,4.182808311706073e-05,4.566798743326217e-05,4.1923653960478406e-05,4.191694046872167e-05,0.0001153206158625452
26,f737b354e6ab2aef8b4c05bca0011de46a4b53b0,3.950946215216233e-05,4.1421290282442264e-05,4.5407190149234344e-05,4.08125730852286e-05,4.0729157255584025e-05,0.00011342335492372512
27,bbd5a7750fbed42a4aaf12f196282a9504a1e865,3.9555136591787804e-05,4.1397933613594254e-05,4.5373747707344594e-05,4.105371667955263e-05,4.086710492169464e-05,0.00011368799199051452
28,66f1b8a5411e8265ed87ff7bf97c67960af2624d,3.952953535928458e-05,4.1528597760659e-05,4.548740883668264e-05,3.997774745481528e-05,4.265084688954834e-05,0.00012011662272087644
29,d9347181d825d9426e783cfeafee304735bd25aa,3.9057974008492366e-05,4.1228816068420805e-05,4.469096460495114e-05,3.955749922143898e-05,4.15637973639974e-05,0.00011853449541376904
30,fc159a547f091d1d6f75db470a0b8e9b2e7acea6,3.947055037635908e-05,4.149542436144262e-05,4.540263586838184e-05,4.146678486105168e-05,4.1575946010016865e-05,0.00011705015785992145
31,857125603f3cf72e2078ed2effd0f6ce40f0ca28,3.977020479220174e-05,4.171152620730944e-05,4.5247828908765515e-05,4.1491439333185554e-05,4.1379552743764535e-05,0.00011327426901526665
32,847119387dedec1ce7a85c1c0f29bcf86bc0348d,3.991892940744206e-05,4.1744039148496563e-05,4.5722065359290876e-05,4.058367934533589e-05,4.068300779208653e-05,0.00010936754907286444
33,deb4be85025088553d80d6637dbc17d7f8101f41,3.9808992537020314e-05,4.170370885102675e-05,4.545995327761444e-05,4.2643328851844415e-05,4.2742342446689256e-05,0.00011937280705328598
34,0c06b0b8593d947c5d63b72b6d84ecf83ae5da5b,3.949983721256041e-05,4.129117009948001e-05,4.5371609393599604e-05,4.093369706442543e-05,4.028341801906074e-05,0.00011443124031243116
35,c003e6ef6e421d23b5bf98f01df20f1350f61ea1,3.917163519336165e-05,4.1003410498636046e-05,4.4973346651816855e-05,4.2232872557736214e-05,4.0834720814874506e-05,0.00011991660923082778
36,a0c5f64f4f1a7f6ee80dc9b95aa813df28a87d72,3.9466325474409934e-05,4.150085957147754e-05,4.534394807614791e-05,4.174120214609605e-05,4.027962430634282e-05,0.00011074821675945189
37,c53c89f0d8572086dd13cbe1c3c98a4e73b41d09,3.9407149465246634e-05,4.133052052051391e-05,4.4990096179660686e-05,4.004674798906495e-05,4.057126374042342e-05,0.00011413126404202262
38,767744c86e1e4a27bf77f90a85f17e564c9b94ea,3.968792289550252e-05,4.168648703136679e-05,4.5493665566929606e-05,4.0205955669722136e-05,4.147123649660776e-05,0.0001140853241700065
39,e657629bbc2bfb880a1b2fa24a39c5921c1f965e,3.914323816956811e-05,4.1003512956623765e-05,4.478333023737887e-05,3.995142988992243e-05,3.901019059255612e-05,0.00010977947276155905
40,3d0c041ca162d69cc5bbb4d9d051eca7933f12bd,3.964357903643405e-05,4.157612824605571e-05,4.53175057240111e-05,4.1433553633396514e-05,4.142697862869896e-05,0.00011838617501780391
41,ce140e8d5c28f1f057db1102cf78263e48f86d61,3.9555951134189146e-05,4.159390765170638e-05,4.5275048715175444e-05,4.1059684870695625e-05,4.1249878187146454e-05,0.00011747388387138539
42,c18ab2c3975c8fa8b59724fe6855c528d72fef8c,3.9683928374539725e-05,4.1547153765956565e-05,4.550917533996664e-05,4.0068981887229695e-05,4.063625237904489e-05,0.00011388071060898793
