,hash,"array_size-200,percent_nans-0","array_size-200,percent_nans-0.1","array_size-200,percent_nans-2.0","array_size-200,percent_nans-50.0","array_size-200,percent_nans-90.0","array_size-200000,percent_nans-0","array_size-200000,percent_nans-0.1","array_size-200000,percent_nans-2.0","array_size-200000,percent_nans-50.0","array_size-200000,percent_nans-90.0"
0,537d35c2cf49cae0a496c37564fa282ec80e3695,1.1904885726163959e-05,1.189449467191866e-05,1.1948491196285282e-05,1.2852816596769865e-05,1.2410343403605561e-05,0.001589773599698674,0.0015849849994992837,0.0017094918992370369,0.002947833335686785,0.0023333583758358145
1,1b6831be8dc33308e77f3d3253f5ee777e3bb178,1.2115276852744128e-05,1.2145098888949077e-05,1.232842168755302e-05,1.3331498763521122e-05,1.2596000004389392e-05,0.0016312091989675536,0.0016021086994442157,0.001742976599780377,0.0029625998334571095,0.0022818359993834747
2,7ef145115fede2c20df2cfc51ed28fcc9742b696,1.1589575931180846e-05,1.1611587184279797e-05,1.1708682362101912e-05,1.2699808318542964e-05,1.2091026114325763e-05,0.0015837244005524552,0.0015849102011998182,0.0017778783003450371,0.002962749165211183,0.0023984720010048477
3,175476fec763984573e60485a447978cbcb381c0,1.1689592810293216e-05,1.1747529504240126e-05,1.1824435319780834e-05,1.2892121864981246e-05,1.2376382115288004e-05,0.0016089950004243292,0.0015875665994826704,0.0017194974003359675,0.003055647500635435,0.002320773000974441
4,c3c2b689cd4e1ccc24b18e764f105ed0e400ae92,1.1661803077846062e-05,1.1587625784542118e-05,1.1711223110151443e-05,1.2607913531075396e-05,1.2048030839650892e-05,0.0016140530002303423,0.0016053731000283734,0.001688389800256118,0.0029508866646210663,0.00228089525080577
5,93240e0d8ea23644a5b7874037e658c54966ff54,1.1961006089902646e-05,1.1966455667125485e-05,1.2140435580782874e-05,1.2927809088464883e-05,1.2478532058242351e-05,0.0016059152985690162,0.0015821137989405543,0.0017144058001576923,0.00293634099944029,0.00229123799908848
6,e1f191c46f2eebd6cb892a4bfe14d9dd43a06c4e,1.1526717832493734e-05,1.1468356259077458e-05,1.1650984745405711e-05,1.2615238640798702e-05,1.2162737048866631e-05,0.0016033962005167267,0.0016193631003261543,0.001699637499405071,0.0029639056665473618,0.0023621104992344044
7,8eedd3e911b7e3f5f35961871ddb8ee1559d4225,1.1720636177144231e-05,1.1648094977313697e-05,1.1770152502015775e-05,1.2686070592334384e-05,1.2171621834014696e-05,0.0015838065999560058,0.0016028708996600471,0.00171084460162092,0.003039611833325277,0.0023219240010803333
8,ade91ea2f28284668fbf78971538ac4827d653b8,1.2014199894045043e-05,1.1999550612310222e-05,1.2206024915219838e-05,1.3094350831682609e-05,1.273108788509079e-05,0.0015949151988024822,0.0015773393999552352,0.0017057248012861236,0.002982062835750791,0.0022920437495486112
9,b0a6e5583f2952a040c45d0d50f5e93372dc175b,1.1938110567785562e-05,1.2057067620005095e-05,1.2029198143355686e-05,1.3095135175856105e-05,1.2674994776908658e-05,0.0016050362988607957,0.0015812283993000165,0.001705315100844018,0.0029510628325321404,0.0023050641266308958
10,94b36b557ce7d88bbfe4091c59aa376764b7047d,1.1781399031662528e-05,1.1666688837371806e-05,1.1838553486062481e-05,1.2777089474897026e-05,1.2213408778673261e-05,0.0015934271010337397,0.0016056851993198505,0.0017065516993170606,0.0029678540013264865,0.0023560834997624625
11,ce6d3ffc991c63c1a91fd806b4eb3d0008caace2,1.2454470521754578e-05,1.2558149193112997e-05,1.2520339118459055e-05,1.3544757096998339e-05,1.286956000566373e-05,0.0015955718001350759,0.0015935613992041908,0.0017193293999298476,0.002934591000666842,0.0023180556254374096
12,aab7993af0f6f3b9ac0d76952933b19163d65496,1.1835514920897453e-05,1.1767747878849983e-05,1.1857691236548264e-05,1.2831346331285129e-05,1.2229245587017706e-05,0.0016036348999477923,0.001608662900980562,0.001697847299510613,0.0029880636672411738,0.0023104838728613686
13,b94c2b01ff7ef5b8dc44726512cfa232e9054882,1.1349615747891866e-05,1.1484344587772659e-05,1.1517867790251338e-05,1.2450281817357544e-05,1.1874005065788855e-05,0.0016476299002533778,0.0016271285989205354,0.001714836100290995,0.0029705088333381964,0.0023376001245196676
14,f737b354e6ab2aef8b4c05bca0011de46a4b53b0,1.1810571755173365e-05,1.1814825459598955e-05,1.2007626322827778e-05,1.2777494754067498e-05,1.2405976846466882e-05,0.0016064345007180236,0.0015887590008787811,0.0017063894993043505,0.002956225999999636,0.002273896876431536
15,bbd5a7750fbed42a4aaf12f196282a9504a1e865,1.2022858091342097e-05,1.2037937974280745e-05,1.207554135371468e-05,1.2957834118909566e-05,1.266543995100378e-05,0.0015967546001775192,0.0016068632990936748,0.0017076618009014056,0.0032179496653649644,0.002328813125132001
16,66f1b8a5411e8265ed87ff7bf97c67960af2624d,1.189717907387904e-05,1.1949787361887642e-05,1.2144094071607028e-05,1.3203193440849746e-05,1.261563596706515e-05,0.0016098614010843447,0.0016341075010132045,0.0017026528003043495,0.0029862443334423006,0.0022891796252224594
17,d9347181d825d9426e783cfeafee304735bd25aa,1.212510423563295e-05,1.2134738566461378e-05,1.2130261455306289e-05,1.3121551187179562e-05,1.249675344731317e-05,0.0015886223001871256,0.0015818556988961064,0.0017136852999101394,0.002963031334123419,0.00237669962371001
18,fc159a547f091d1d6f75db470a0b8e9b2e7acea6,1.1926031837333914e-05,1.1971832053010348e-05,1.1999528895583177e-05,1.2886162921225535e-05,1.249814686265641e-05,0.0016040670016082004,0.001600464001239743,0.0017103962003602647,0.002978140835087591,0.0023421913756465074
19,857125603f3cf72e2078ed2effd0f6ce40f0ca28,1.4667778303049695e-05,1.4497031830899685e-05,1.4818437493351452e-05,1.566634025760956e-05,1.5492605071167286e-05,0.0016107278992421926,0.0016248632993665524,0.001704509201226756,0.0029905110010683225,0.0022987548745732056
20,847119387dedec1ce7a85c1c0f29bcf86bc0348d,1.2761181984790595e-05,1.2958614039575212e-05,1.2888026450854286e-05,1.3871766503623729e-05,1.349266525737119e-05,0.0015973653993569315,0.001595548097975552,0.0017111636989284307,0.002956705167889595,0.0023770677489665104
21,deb4be85025088553d80d6637dbc17d7f8101f41,1.3072237500940294e-05,1.2994552344682255e-05,1.3266330516705596e-05,1.413484954292706e-05,1.359389937064836e-05,0.0015910865986370482,0.0015923004000796938,0.0017181848001200707,0.003007634833920747,0.0023039099996822188
22,0c06b0b8593d947c5d63b72b6d84ecf83ae5da5b,1.3495905843772019e-05,1.3273067120706382e-05,1.3726097111835877e-05,1.4547664479897847e-05,1.3803864894358375e-05,0.0016003600001567974,0.0015789526005391963,0.001781996300269384,0.002960863334010355,0.0023140049997891765
23,c003e6ef6e421d23b5bf98f01df20f1350f61ea1,1.3079335135215116e-05,1.3010352399376928e-05,1.3187922796347393e-05,1.3940600378949747e-05,1.3541780476341377e-05,0.0015999360010027887,0.0016160870989551767,0.0017063646009773947,0.0029730011641125502,0.002302680999491713
24,a0c5f64f4f1a7f6ee80dc9b95aa813df28a87d72,1.2517156257537729e-05,1.249950869379114e-05,1.2700631189716271e-05,1.3507312041951145e-05,1.2990839356093115e-05,0.001590953800769057,0.0015984434008714742,0.0017152190004708246,0.0029583101689543883,0.002298198374774074
25,c53c89f0d8572086dd13cbe1c3c98a4e73b41d09,1.2623297217798981e-05,1.245917873316573e-05,1.2659453256496577e-05,1.3641035127663259e-05,1.3064457325876552e-05,0.0015935016999719664,0.0015987491016858258,0.0017124674006481655,0.0029406284981329618,0.0022878063755342737
26,767744c86e1e4a27bf77f90a85f17e564c9b94ea,1.2822917552843296e-05,1.2856417640304083e-05,1.281008481001975e-05,1.3797762156526686e-05,1.3272036276611319e-05,0.0016137250000610947,0.0016100339009426535,0.0017009034010698088,0.002951003499523116,0.0023467615010304144
27,e657629bbc2bfb880a1b2fa24a39c5921c1f965e,1.3217196752744247e-05,1.3129059567141978e-05,1.3140929612169689e-05,1.4263541278396374e-05,1.3601687110229388e-05,0.0016070441997726448,0.0015954707996570505,0.0017307293004705572,0.0029549373333187154,0.0025610807515477063
28,3d0c041ca162d69cc5bbb4d9d051eca7933f12bd,1.3441580645170473e-05,1.3308904879788936e-05,1.3456043908684856e-05,1.4132204872714933e-05,1.37864395902564e-05,0.0015930068999296053,0.001597893299185671,0.0017056301003322005,0.0031194943342901147,0.002295510876137996
29,ce140e8d5c28f1f057db1102cf78263e48f86d61,1.290367427077798e-05,1.2898740852831664e-05,1.2984741399426777e-05,1.3851804424466305e-05,1.342419292847106e-05,0.0015934137001750058,0.0015920994002954101,0.0016980850996333174,0.0029998161674787602,0.0023135997507779393
30,c18ab2c3975c8fa8b59724fe6855c528d72fef8c,1.3155207239302107e-05,1.3033239582682654e-05,1.3078367221656559e-05,1.4023595248190793e-05,1.3579530899377818e-05,0.0015899350008112378,0.0016131680997204965,0.0016977084000245669,0.002972776167249928,0.002334075374164968
31,3d2205dfd1d28fb8106e60223cf7207a3c05dbab,1.2559511093041972e-05,1.2644031369223772e-05,1.2782403278191959e-05,1.3760553297588512e-05,1.3247592070866832e-05,0.0015926011008559728,0.0016016106004826725,0.0017119786018156447,0.002979671999734516,0.002361065875447821
32,c3fd79150bc183e8852f1330ea6e8cb4ca7ce7bc,1.2898464791559803e-05,1.3053343225751192e-05,1.286021938076188e-05,1.389832663216427e-05,1.3684208752238192e-05,0.0016117487000883556,0.0015968090010574088,0.0017109026011894457,0.0029584883304778486,0.002327901998796733
33,71555c48be7f07833bd540dacb50deb8069b551f,1.3023860175081544e-05,1.3192652855278305e-05,1.3024289975943586e-05,1.4290576320107855e-05,1.349105983120652e-05,0.0015901586986728944,0.0015984678990207614,0.0017045485001290217,0.002987856831168756,0.002318076374649536
34,5324067c702a41e901354a01a5f0d05ff49b6cb4,1.3384010391150464e-05,1.3386262138939553e-05,1.3434728796338139e-05,1.4392833328247314e-05,1.3992112897501092e-05,0.0016387736017350108,0.001594623898563441,0.0017126150007243269,0.00299757783068344,0.0023518217512901174
35,20cb312563b2e7c0b180db8dffbcd71d7dfd0bee,1.2539172055056247e-05,1.273413619924642e-05,1.265894553184602e-05,1.3660981458492637e-05,1.3023247312823378e-05,0.0016089998011011631,0.0015976524999132382,0.0017500747009762563,0.0029535910022483827,0.0023057096241245745
36,45ee22fa2fdd2bace756ed62685a346da91c4cb2,1.2906956027250798e-05,1.309752720175874e-05,1.3074276742811514e-05,1.4084296470373278e-05,1.3589648024508615e-05,0.0016013315005693584,0.0016287335995002648,0.0017151683990960008,0.002952595833145703,0.0023072651238180697
37,798aee26bdb9dcc0e806ca9271f0f98297188dec,1.3306873924691102e-05,1.318305846384242e-05,1.3417852111016676e-05,1.4240625000519786e-05,1.3684482993343986e-05,0.0016352930993889458,0.0015998365997802466,0.0017018397003994324,0.0030370219998682537,0.002373622874074499
38,1c50f244d4d1eba4f3f63e93a05a2b2f938685a4,1.3440470409099853e-05,1.3544700985483216e-05,1.3591114321939094e-05,1.466387648191094e-05,1.3997189317288681e-05,0.0016005878002033568,0.0016007228012313135,0.001710457399894949,0.002926355666810802,0.00237928050046321
39,fca7a15f30776ebce9e6814eb927e837f567a518,1.3277411141043125e-05,1.325392057715997e-05,1.3303788324450924e-05,1.4483879159683801e-05,1.3924112029805321e-05,0.0015981532997102477,0.0016028366007958539,0.0017041009006788955,0.0029480228331522085,0.002320021872947109
40,26311ed7bf80e02c827189e80084602d72e4f284,1.3001175094850046e-05,1.3200824620497306e-05,1.3252882562864112e-05,1.397663249645247e-05,1.3726714577231487e-05,0.0016143622997333296,0.001645446899055969,0.0017011686999467202,0.0029642971664240276,0.0023811597493477166
41,b5e01bcb668da0413170a886c258e00d2540e752,1.3407760705414708e-05,1.347964266575196e-05,1.3345440264646161e-05,1.4464171072225182e-05,1.3825252844774708e-05,0.0015867882000748068,0.001617038001131732,0.001735823499620892,0.002970251334772911,0.002331607000087388
42,ab30683fe1277a7fd471be63975a02ed8d766f94,1.3369496257634714e-05,1.339494793434271e-05,1.3504057409765897e-05,1.4630114489683773e-05,1.3814506163638825e-05,0.0016297622991260142,0.0015952832007315012,0.0017074154005968013,0.0029556178342318162,0.002359025625992217
43,3c89e2f913406f55b6e998017c1149e3ba383bcc,1.2880479934454346e-05,1.2796862356760628e-05,1.2740567617238778e-05,1.3753102906353808e-05,1.3284453387789657e-05,0.001578986700042151,0.0016934434010181577,0.0017076763993827625,0.002938441832763298,0.0023916587488201912
44,590f07121dc55e6d9d9ce514887c9bbc253fb266,1.284500000108457e-05,1.2827534866093044e-05,1.2859851720550652e-05,1.3867417208807915e-05,1.3560099756103379e-05,0.00158688700030325,0.0015870385002926925,0.0017129746993305162,0.0029638849991897587,0.002339565749934991
