,hash,dtype-<class 'numpy.float32'>,dtype-<class 'numpy.float64'>
0,3d0c041ca162d69cc5bbb4d9d051eca7933f12bd,4.7023953489786164e-05,4.806989111885842e-05
1,ce140e8d5c28f1f057db1102cf78263e48f86d61,4.6743691914993436e-05,4.8386412787511774e-05
2,c18ab2c3975c8fa8b59724fe6855c528d72fef8c,4.625006569490247e-05,4.791823158834888e-05
3,3d2205dfd1d28fb8106e60223cf7207a3c05dbab,4.760641198707225e-05,4.836139162287396e-05
4,c3fd79150bc183e8852f1330ea6e8cb4ca7ce7bc,4.695908444571412e-05,4.790205454231579e-05
5,71555c48be7f07833bd540dacb50deb8069b551f,4.780036163408243e-05,4.839675834360109e-05
6,5324067c702a41e901354a01a5f0d05ff49b6cb4,4.687349330539912e-05,4.842307838109163e-05
7,20cb312563b2e7c0b180db8dffbcd71d7dfd0bee,4.776166068560477e-05,4.928033646842044e-05
8,45ee22fa2fdd2bace756ed62685a346da91c4cb2,4.695509018300525e-05,4.8108960193297533e-05
9,798aee26bdb9dcc0e806ca9271f0f98297188dec,4.6860085880293594e-05,4.791847961975939e-05
10,1c50f244d4d1eba4f3f63e93a05a2b2f938685a4,4.743021179812118e-05,4.84007053793383e-05
11,fca7a15f30776ebce9e6814eb927e837f567a518,4.658787833791025e-05,4.778222972999101e-05
12,26311ed7bf80e02c827189e80084602d72e4f284,5.162294801626594e-05,5.2584487566491585e-05
13,b5e01bcb668da0413170a886c258e00d2540e752,5.220787259567456e-05,5.3184445059741845e-05
14,ab30683fe1277a7fd471be63975a02ed8d766f94,7.411628714612786e-05,7.350959502218757e-05
15,3c89e2f913406f55b6e998017c1149e3ba383bcc,5.270707912800112e-05,5.3934660574764406e-05
16,590f07121dc55e6d9d9ce514887c9bbc253fb266,9.029256718566835e-05,9.161531410472514e-05
17,872372bd56ccb5fe98faae8be7d14e4a8c69e037,5.46975025292678e-05,5.522316935220881e-05
18,70a84c3192b4f231925e8e36f50d6a26bff3b46d,9.192390667674976e-05,9.329419337072463e-05
19,9d416356baf4a653b2c647a921ae24ba7d39e8df,5.4689968692400726e-05,5.457425392196265e-05
20,09dd75e9e2139bc9742e6009b7babe41d4c002df,5.327894638069164e-05,5.521514662968102e-05
21,85d64e375f53f6028519d3aaad0b421934dcbe24,5.403122791677829e-05,6.411803506072394e-05
22,09e04dcbe3d0c836437b2d4745b353b256ec6265,5.877815379830241e-05,5.941859591646705e-05
23,cdd7ab252988ff4254705e0a89874edeb5cea8eb,5.8972699965427936e-05,6.04797283192892e-05
24,06da877ceae914a875bd1a55cd8e271332358803,6.11075087089759e-05,6.164680810396149e-05
25,8529dfaaec65248420faffe095bac03c23881735,5.8389142563426084e-05,5.948524422014945e-05
26,171a3e5811e43643788c20075be9ba52efb83b81,5.953409826797514e-05,6.071939592376201e-05
27,5bf9ab98edd254dee1162d6f1863053e040cf828,6.304555980371546e-05,6.636117754459998e-05
28,9776a73cee9eaaff6af40e971fa2bb7f8f1086c5,5.801084081319749e-05,5.91798876137525e-05
29,37a1ad069a800f5ef98286f25fb3fb632375168d,5.841389041082683e-05,6.0304234512702766e-05
30,1cb2230bb1bfb9b2544dab798dffeedce64ad39f,5.97345725667023e-05,6.105894036326472e-05
31,044f5131450f38cdfbab63d6999b60e7e3bbabe5,5.96287755714994e-05,6.114034192575056e-05
32,dc089026b4ad0d2d9ea992c7f1b9b5e716dd82cd,6.0338986077113074e-05,6.116346675755962e-05
33,53adf81bc503d749b13160a27e49160c5bbe48d7,6.00782094598753e-05,6.059457468679817e-05
34,49e00940a82f9590d774539cd188b634c29fc39f,6.188789203323805e-05,6.248081254770196e-05
35,7b9b41a4c7dbd7b719d62f343f57f841f5809693,5.868515363951635e-05,5.9671599460257724e-05
36,ae88e02a48c4744afd22c63be388870037f3c84c,5.8132719829330574e-05,5.938815732232787e-05
37,0aeab48b9e914d1dc7041b7e3f3b7e575ffcbbed,5.926622063839839e-05,6.0021351130804825e-05
38,c18b3f59b5f5752ab038224fd3bdf2dadba55ecf,6.18720337064424e-05,6.199424576979804e-05
39,a5e5e51187d4476841503ce816924ea99936dba0,5.657355945299354e-05,5.754382884314154e-05
40,b69cf68a24cffea0a884a102da1797755de8f022,5.597490106832565e-05,5.743544749260844e-05
41,ee3e17a7c3e3efdeafe907b394de56aed01a70e0,5.884651673825031e-05,5.9797247145483695e-05
42,c71ce0e6dbd9ec67b3ac7fb5ac3eb609f8a56829,7.17871822663425e-05,7.277378687669357e-05
43,0ce156413feb21a4f2a8eae3b1cd954d04240edd,5.623310698379319e-05,5.7604195067792065e-05
44,7e3fd81c039b0e22715c4e6eb63439bdf5a620bf,5.870514528828481e-05,6.0394269894459285e-05
45,a6b4b2bdd6baf2afde27284097426e93912452e9,7.089568181290514e-05,5.90750867498977e-05
46,c8a5ff07e5bda47eab870671634b107da5ab7934,5.9012215830388226e-05,5.853754518577292e-05
47,fafd123410f1ad5c47341c66d8ea4cf541165e77,6.099656034741369e-05,6.139868126102391e-05
48,9765987c2ade250c82bfeaba49d1f9301211d63a,6.19948256170637e-05,6.311939938507765e-05
49,dbf37449935bced333a3999afa860aaf304ab1a1,8.308013464277162e-05,6.662159250157707e-05
50,e1863f3582e3e8870205f8a9d1ed1cef1bf536b4,7.581020213526521e-05,7.940641047916055e-05
51,70f4309a155808d3a60a9a71db2d9482c1ec3ad7,7.449702795570345e-05,7.336407570895089e-05
52,bb6b86e2afe88b371badfcefe298945002e47006,6.425249999101758e-05,6.940088397164974e-05
53,5c3762157a0cd7a6a036a2144a5fbfc5278a919d,6.419695177079032e-05,6.598260001737798e-05
54,e0ffe3572b37190d9da5b1d07057e4e038bd3197,8.774047115040071e-05,8.529317187822016e-05
55,cfb6a4d88d88307d507a86d1d70cd7d84c611406,6.584253666612008e-05,6.690112100713917e-05
56,d4f7d9e215773e979eb43a1e5a3cbb51f96bd09d,7.874938182243513e-05,7.957991925559892e-05
57,bec2b07db5c999721d2d2c10334f3afe78aaadd9,6.61650117860071e-05,6.465261977571648e-05
58,5ca0ef6272ef3eabe2feb4049b7cb05a52516495,6.47700424341372e-05,6.571198756313414e-05
59,cb557b79fa0ce467c881830f8e8e042c484ccfaa,6.470159815690063e-05,6.445252815865388e-05
60,badbf70324274bdb4299d8c64d3d83a26be2d4c0,6.100561902366324e-05,6.25841666554888e-05
61,4c780c2d4b35a54cf45ca7d931efcaca73d0bf24,6.183492484256205e-05,6.211593825034524e-05
62,3c91a3e1704c8aa7f1258aa30892040df9d952f4,6.731446390201907e-05,6.557985028139537e-05
63,fe3d717080e812383900507168a6bd7093c4e434,5.9694156430982955e-05,6.020096629930613e-05
64,0cb9f7f7aa8f4255fafb5431dcc595ce183bc376,6.087041437948761e-05,6.0783831450566285e-05
65,e69faef03428b82f5651a5fb521610ddea2bd22a,5.91061416028587e-05,6.0629008785645854e-05
66,092905febd53742d2a700322f88b652d6a5fd4fb,6.143053468872625e-05,6.194968935868224e-05
67,6cd4b015dfd512fb4bc9d2e06a0f0cef4503582b,7.78693463718196e-05,7.98556874802411e-05
68,3544fae2859d8ecac378b9ddc8f909c69455a831,6.287596553956137e-05,6.251660882245393e-05
69,05fcb6544f72ea173011a77cee14d72979ffe293,6.064595689313973e-05,6.147563294558032e-05
70,f4ef0fd5d97afc7788c46eb51889e90623f5577e,7.200839473468537e-05,7.199280071949613e-05
71,5cc7ef066fca7a821a2160b095578384c301ae3c,8.461852001346416e-05,8.801080391504893e-05
72,c6d2aae8a92371bc9f7ddda990176fb014adb0d7,7.7853881893542e-05,6.765595882076442e-05
73,e3b831cd85e2f4d73b0db8e8d501828b50a96c64,6.870318786156999e-05,6.315641176650601e-05
74,b3a7a69a198a8385735584b88408c91a1eef5a4b,6.782331687180315e-05,6.331034393762736e-05
75,bc6a6084f6e49bd78c12508131395304a63cc6ca,6.16965852874701e-05,6.36727928992336e-05
76,c0d36c88b8b525f5869eefd893d1d77ffe41903e,5.999827408231795e-05,6.073669262160815e-05
77,bcdfd208a9b99036cc6e379180c3242b08dedc47,5.917578094882179e-05,6.012722247245188e-05
78,49c560c22f137907ea6a240591e49b004f28444b,5.9140816109453e-05,6.02490344417988e-05
