,hash,dtype-<class 'numpy.float32'>,dtype-<class 'numpy.float64'>
0,b0a6e5583f2952a040c45d0d50f5e93372dc175b,3.978581503873929e-05,4.107625566450637e-05
1,94b36b557ce7d88bbfe4091c59aa376764b7047d,3.910550794048275e-05,4.006939193726901e-05
2,ce6d3ffc991c63c1a91fd806b4eb3d0008caace2,3.7724637338820236e-05,3.945185370477183e-05
3,aab7993af0f6f3b9ac0d76952933b19163d65496,3.902356428660956e-05,4.018751222748256e-05
4,b94c2b01ff7ef5b8dc44726512cfa232e9054882,3.967567117533822e-05,4.0349141114725255e-05
5,f737b354e6ab2aef8b4c05bca0011de46a4b53b0,4.06073510191209e-05,4.1489011687106315e-05
6,bbd5a7750fbed42a4aaf12f196282a9504a1e865,3.8009810984343084e-05,3.9584133573757706e-05
7,66f1b8a5411e8265ed87ff7bf97c67960af2624d,3.963173032074953e-05,4.032348920957426e-05
8,d9347181d825d9426e783cfeafee304735bd25aa,4.0879334603543616e-05,4.170465750569036e-05
9,fc159a547f091d1d6f75db470a0b8e9b2e7acea6,4.010551663882592e-05,4.14737784440684e-05
10,857125603f3cf72e2078ed2effd0f6ce40f0ca28,3.8508025388563835e-05,4.022097355633412e-05
11,847119387dedec1ce7a85c1c0f29bcf86bc0348d,3.902426288365873e-05,3.975997536748875e-05
12,deb4be85025088553d80d6637dbc17d7f8101f41,3.869859468097721e-05,3.978766528647186e-05
13,0c06b0b8593d947c5d63b72b6d84ecf83ae5da5b,3.96594877584257e-05,4.070211869122377e-05
14,c003e6ef6e421d23b5bf98f01df20f1350f61ea1,3.948616099426116e-05,4.105065162891544e-05
15,a0c5f64f4f1a7f6ee80dc9b95aa813df28a87d72,3.880723740396904e-05,4.013001594240919e-05
16,c53c89f0d8572086dd13cbe1c3c98a4e73b41d09,3.9503277050998975e-05,4.120837144840222e-05
17,767744c86e1e4a27bf77f90a85f17e564c9b94ea,3.914270442422977e-05,4.099923367986734e-05
18,e657629bbc2bfb880a1b2fa24a39c5921c1f965e,3.9056638557025616e-05,4.071861476962137e-05
19,3d0c041ca162d69cc5bbb4d9d051eca7933f12bd,4.014346643157725e-05,4.171423144697204e-05
20,ce140e8d5c28f1f057db1102cf78263e48f86d61,3.898997029120272e-05,4.077326541520515e-05
21,c18ab2c3975c8fa8b59724fe6855c528d72fef8c,3.9584889869999e-05,4.0938407464912444e-05
22,3d2205dfd1d28fb8106e60223cf7207a3c05dbab,3.8861586045183186e-05,4.026151440116797e-05
23,c3fd79150bc183e8852f1330ea6e8cb4ca7ce7bc,3.989399495449933e-05,4.138159685909088e-05
24,71555c48be7f07833bd540dacb50deb8069b551f,3.986182264929664e-05,4.112106026675468e-05
25,5324067c702a41e901354a01a5f0d05ff49b6cb4,3.968555093025221e-05,4.0925203461144395e-05
26,20cb312563b2e7c0b180db8dffbcd71d7dfd0bee,4.0125422055060984e-05,4.224326039548032e-05
27,45ee22fa2fdd2bace756ed62685a346da91c4cb2,3.8718982271367697e-05,4.011209581649917e-05
28,798aee26bdb9dcc0e806ca9271f0f98297188dec,4.012443755260285e-05,4.1412811656043214e-05
29,1c50f244d4d1eba4f3f63e93a05a2b2f938685a4,4.104365624727741e-05,4.164974929557907e-05
30,fca7a15f30776ebce9e6814eb927e837f567a518,4.028196409613648e-05,4.1341120904346684e-05
31,26311ed7bf80e02c827189e80084602d72e4f284,4.548734534380123e-05,4.64486792528381e-05
32,b5e01bcb668da0413170a886c258e00d2540e752,4.5380154586255305e-05,4.648482823308478e-05
33,ab30683fe1277a7fd471be63975a02ed8d766f94,4.458997673431381e-05,4.5589744171836885e-05
34,3c89e2f913406f55b6e998017c1149e3ba383bcc,4.5445166096538944e-05,4.6472025687916805e-05
35,590f07121dc55e6d9d9ce514887c9bbc253fb266,4.5466770911041426e-05,4.612986329879801e-05
36,872372bd56ccb5fe98faae8be7d14e4a8c69e037,4.5697341388291564e-05,4.7240832135972814e-05
37,70a84c3192b4f231925e8e36f50d6a26bff3b46d,4.424557517913561e-05,4.575731193957229e-05
38,9d416356baf4a653b2c647a921ae24ba7d39e8df,4.6286475649025263e-05,4.7071840885882725e-05
39,09dd75e9e2139bc9742e6009b7babe41d4c002df,4.571244136382968e-05,4.6630127307696224e-05
40,85d64e375f53f6028519d3aaad0b421934dcbe24,4.565198886282274e-05,4.665193471552457e-05
41,09e04dcbe3d0c836437b2d4745b353b256ec6265,5.142264395814251e-05,5.235800616690333e-05
42,cdd7ab252988ff4254705e0a89874edeb5cea8eb,5.048320495656558e-05,5.158140807978663e-05
43,06da877ceae914a875bd1a55cd8e271332358803,4.974032598419474e-05,5.060572740296985e-05
44,8529dfaaec65248420faffe095bac03c23881735,5.007655819028204e-05,5.148170367927752e-05
45,171a3e5811e43643788c20075be9ba52efb83b81,5.001199865190115e-05,5.125514899362933e-05
46,5bf9ab98edd254dee1162d6f1863053e040cf828,4.9199276852391965e-05,5.1153216442342174e-05
47,9776a73cee9eaaff6af40e971fa2bb7f8f1086c5,5.0422535943133487e-05,5.165024735563174e-05
48,37a1ad069a800f5ef98286f25fb3fb632375168d,5.02461340055213e-05,5.176001100390443e-05
49,1cb2230bb1bfb9b2544dab798dffeedce64ad39f,4.9919726465035366e-05,5.1071840220863384e-05
50,044f5131450f38cdfbab63d6999b60e7e3bbabe5,5.0794341763772e-05,5.139653939147328e-05
51,dc089026b4ad0d2d9ea992c7f1b9b5e716dd82cd,5.039538061896036e-05,5.214963822025005e-05
52,53adf81bc503d749b13160a27e49160c5bbe48d7,5.0343105296066045e-05,5.1402963504616945e-05
53,49e00940a82f9590d774539cd188b634c29fc39f,5.0517216430238956e-05,5.1992637860887454e-05
54,7b9b41a4c7dbd7b719d62f343f57f841f5809693,5.171793076583153e-05,5.296491574318636e-05
55,ae88e02a48c4744afd22c63be388870037f3c84c,5.2429733464037473e-05,5.340948032491515e-05
56,0aeab48b9e914d1dc7041b7e3f3b7e575ffcbbed,5.1206959167791305e-05,5.2075790749354795e-05
57,c18b3f59b5f5752ab038224fd3bdf2dadba55ecf,5.1234818679924625e-05,5.290540263365588e-05
58,a5e5e51187d4476841503ce816924ea99936dba0,4.697466157216882e-05,4.811292514204979e-05
59,b69cf68a24cffea0a884a102da1797755de8f022,4.8109894674835786e-05,4.957038202389543e-05
60,ee3e17a7c3e3efdeafe907b394de56aed01a70e0,4.7200798972285e-05,4.83053715600233e-05
61,c71ce0e6dbd9ec67b3ac7fb5ac3eb609f8a56829,4.6707793242401545e-05,4.8017686842669285e-05
62,0ce156413feb21a4f2a8eae3b1cd954d04240edd,4.760211966228935e-05,4.927931159599874e-05
63,7e3fd81c039b0e22715c4e6eb63439bdf5a620bf,4.80478488968621e-05,4.937771640951858e-05
64,a6b4b2bdd6baf2afde27284097426e93912452e9,4.7522479074490646e-05,4.868879500362609e-05
65,c8a5ff07e5bda47eab870671634b107da5ab7934,4.668484250895488e-05,4.8123665219624136e-05
66,fafd123410f1ad5c47341c66d8ea4cf541165e77,5.241867451780084e-05,5.406161825008252e-05
67,9765987c2ade250c82bfeaba49d1f9301211d63a,5.276443884141889e-05,5.442760837725317e-05
68,dbf37449935bced333a3999afa860aaf304ab1a1,5.2356574593520745e-05,5.3602226982169815e-05
69,e1863f3582e3e8870205f8a9d1ed1cef1bf536b4,5.422349505383393e-05,5.592439705744767e-05
70,70f4309a155808d3a60a9a71db2d9482c1ec3ad7,5.3243326215908444e-05,5.4564873346745374e-05
71,bb6b86e2afe88b371badfcefe298945002e47006,5.327593489975026e-05,5.4494987487496427e-05
72,5c3762157a0cd7a6a036a2144a5fbfc5278a919d,5.3015971420014774e-05,5.4446609681518514e-05
73,9dca4085c724b3e62d54dee33e42ebdba3bb975c,5.4822229704230414e-05,5.66655828453446e-05
74,4c83c0444c68b89b051f7ef8d8eb1a2276439d78,5.586743140973303e-05,5.7082663867428586e-05
75,d62b0ee88b20e5946fe49f0ba533b3e547e4d4f1,5.545177215884001e-05,5.6691851568757556e-05
76,8b15e57718042c75af22a25a7d604fa0f938f16e,5.4994906708033696e-05,5.6374071888414397e-05
77,f8c608cc7a8abcfaea1cd655ddaab47065c5b1e5,5.500065311266831e-05,5.625567005225579e-05
78,7f7d14a2b6e1078af25233bbdbc5d8533529fad8,5.504915201841459e-05,5.6653323950043305e-05
79,b219f69db011a89e6c514ee487dc437f607c4d94,5.65406404954653e-05,5.8086962862896225e-05
80,93d3e7c247b66ec54d1095df30e99a95b4af9c72,5.530405347470683e-05,5.676174259861e-05
81,49d62f84df0a82b10b3623024ca66b1f09958072,5.526606042649429e-05,5.683175792607169e-05
82,43f80863ba2994a186293d86d516204ef38b0043,5.486493464559317e-05,5.638826999585239e-05
83,2351cf4976b940eda199f9a17a12bd170d9b326e,5.435277442770577e-05,5.5773897717396415e-05
84,ae7f9a2cb71cccc9d49cd343e238464107397814,5.4342151241432324e-05,5.568392837467866e-05
85,4403503b501a46e4eeb9f23e010e913ac5bd7a95,5.351830166581945e-05,5.500083882829652e-05
86,5f071c67660dd3eedd6eddb39681cd2943166e68,5.4792416954620014e-05,5.647060329324959e-05
87,cfee2df31bdc127c345894aee594cbcbb8cddd0e,5.504914514283289e-05,5.6772145389584064e-05
88,e77b53a880edf16808488084c67ef090c69b3258,5.4696505191974604e-05,5.626465934209335e-05
89,a20eca25e9b492efedafea4b7c5d84692d869f7e,5.4790964818105626e-05,5.595962344140736e-05
90,cb5507025e470ddf485bdaa115ffff07ffd0076b,5.302224274344959e-05,5.421150749113726e-05
91,0ffaaf8cff4855f4127ae6025ec271bfe9c8666f,5.386091580641974e-05,5.4924618382587207e-05
92,509b5ae4a7bb3c99324fd302ead1bbf4b130c741,5.4343073342991346e-05,5.5913762331997256e-05
93,3dca0c71d1446f4730c2b72d67719467a5ce528e,5.428797308484028e-05,5.481433302088819e-05
94,4e61c8958beaac5a276cabe30f98721ec50734b8,5.517390467264135e-05,5.677534800176461e-05
