,hash,dtype-<class 'numpy.float32'>,dtype-<class 'numpy.float64'>
0,b0a6e5583f2952a040c45d0d50f5e93372dc175b,5.2271827931793946e-05,5.448061041533947e-05
1,94b36b557ce7d88bbfe4091c59aa376764b7047d,5.0208221591257175e-05,5.242230031186732e-05
2,ce6d3ffc991c63c1a91fd806b4eb3d0008caace2,5.0160363822231464e-05,5.239266536983789e-05
3,aab7993af0f6f3b9ac0d76952933b19163d65496,5.043628904539319e-05,5.287099851384049e-05
4,b94c2b01ff7ef5b8dc44726512cfa232e9054882,5.129364350042637e-05,5.41155565191399e-05
5,f737b354e6ab2aef8b4c05bca0011de46a4b53b0,5.1410896660682794e-05,5.3862885128959866e-05
6,bbd5a7750fbed42a4aaf12f196282a9504a1e865,5.0752104639455125e-05,5.317363184968046e-05
7,66f1b8a5411e8265ed87ff7bf97c67960af2624d,5.083555604592996e-05,5.294458408440862e-05
8,d9347181d825d9426e783cfeafee304735bd25aa,5.25656641955581e-05,5.556986054134129e-05
9,fc159a547f091d1d6f75db470a0b8e9b2e7acea6,5.215201613113836e-05,5.428801865919548e-05
10,857125603f3cf72e2078ed2effd0f6ce40f0ca28,5.0390501880014e-05,5.231657096945145e-05
11,847119387dedec1ce7a85c1c0f29bcf86bc0348d,5.056043974710283e-05,5.289496067296533e-05
12,deb4be85025088553d80d6637dbc17d7f8101f41,5.025909691352711e-05,5.222803008729133e-05
13,0c06b0b8593d947c5d63b72b6d84ecf83ae5da5b,5.1466787470058655e-05,5.3511629586370244e-05
14,c003e6ef6e421d23b5bf98f01df20f1350f61ea1,5.1636971480582114e-05,5.3559441301153924e-05
15,a0c5f64f4f1a7f6ee80dc9b95aa813df28a87d72,5.0231229600518245e-05,5.2960246528794125e-05
16,c53c89f0d8572086dd13cbe1c3c98a4e73b41d09,5.135912351974859e-05,5.348594904895507e-05
17,767744c86e1e4a27bf77f90a85f17e564c9b94ea,5.18730708530971e-05,5.4647938311830456e-05
18,e657629bbc2bfb880a1b2fa24a39c5921c1f965e,5.046974094408863e-05,5.277029922222856e-05
19,3d0c041ca162d69cc5bbb4d9d051eca7933f12bd,5.2283116355891475e-05,5.446434651144702e-05
20,ce140e8d5c28f1f057db1102cf78263e48f86d61,5.1429799003970054e-05,5.3494428170890344e-05
21,c18ab2c3975c8fa8b59724fe6855c528d72fef8c,5.157995060014953e-05,5.3763549441277096e-05
22,3d2205dfd1d28fb8106e60223cf7207a3c05dbab,5.048723496531012e-05,5.2865889544288316e-05
23,c3fd79150bc183e8852f1330ea6e8cb4ca7ce7bc,5.1522785621993945e-05,5.319832648704018e-05
24,71555c48be7f07833bd540dacb50deb8069b551f,5.2929919797415826e-05,5.475675041352085e-05
25,5324067c702a41e901354a01a5f0d05ff49b6cb4,5.194058815273e-05,5.4022444072615335e-05
26,20cb312563b2e7c0b180db8dffbcd71d7dfd0bee,5.237925521070414e-05,5.50277517036055e-05
27,45ee22fa2fdd2bace756ed62685a346da91c4cb2,5.130600491714365e-05,5.3553447109080994e-05
28,798aee26bdb9dcc0e806ca9271f0f98297188dec,5.259110060121332e-05,5.4490908514708284e-05
29,1c50f244d4d1eba4f3f63e93a05a2b2f938685a4,5.183908605139773e-05,5.3799536831566855e-05
30,fca7a15f30776ebce9e6814eb927e837f567a518,5.241004040553456e-05,5.4716075913458275e-05
31,26311ed7bf80e02c827189e80084602d72e4f284,5.787779933753166e-05,6.038170553498215e-05
32,b5e01bcb668da0413170a886c258e00d2540e752,5.80921171501996e-05,6.079916169659959e-05
33,ab30683fe1277a7fd471be63975a02ed8d766f94,5.750286785003386e-05,5.9865888433305775e-05
34,3c89e2f913406f55b6e998017c1149e3ba383bcc,5.818923509263612e-05,6.243963208463457e-05
35,590f07121dc55e6d9d9ce514887c9bbc253fb266,5.833845999505785e-05,6.078314553532335e-05
36,872372bd56ccb5fe98faae8be7d14e4a8c69e037,5.773254695104405e-05,6.0535281557928437e-05
37,70a84c3192b4f231925e8e36f50d6a26bff3b46d,5.7780516466924124e-05,5.985430097053064e-05
38,9d416356baf4a653b2c647a921ae24ba7d39e8df,5.918433002772785e-05,6.113035406646781e-05
