,hash,dtype-<class 'numpy.float32'>,dtype-<class 'numpy.float64'>
0,b0a6e5583f2952a040c45d0d50f5e93372dc175b,7.772156704507821e-05,9.869665161452509e-05
1,94b36b557ce7d88bbfe4091c59aa376764b7047d,7.507044757748473e-05,9.591856717386029e-05
2,ce6d3ffc991c63c1a91fd806b4eb3d0008caace2,7.445879620374054e-05,9.430234997787258e-05
3,aab7993af0f6f3b9ac0d76952933b19163d65496,7.38642355870633e-05,9.469689142986619e-05
4,b94c2b01ff7ef5b8dc44726512cfa232e9054882,7.429582440630108e-05,9.491126561029392e-05
5,f737b354e6ab2aef8b4c05bca0011de46a4b53b0,7.587274838541006e-05,9.543408893726088e-05
6,bbd5a7750fbed42a4aaf12f196282a9504a1e865,7.456351607425571e-05,9.607203643430362e-05
7,66f1b8a5411e8265ed87ff7bf97c67960af2624d,7.440349263315265e-05,9.527992118488658e-05
8,d9347181d825d9426e783cfeafee304735bd25aa,7.567530170687146e-05,9.712763130664825e-05
9,fc159a547f091d1d6f75db470a0b8e9b2e7acea6,7.64377337027263e-05,9.764336388219487e-05
10,857125603f3cf72e2078ed2effd0f6ce40f0ca28,7.346815010845261e-05,9.385296143591405e-05
11,847119387dedec1ce7a85c1c0f29bcf86bc0348d,7.407956228062913e-05,9.590131230652332e-05
12,deb4be85025088553d80d6637dbc17d7f8101f41,7.311226300045148e-05,9.374105456200514e-05
13,0c06b0b8593d947c5d63b72b6d84ecf83ae5da5b,7.491073726365963e-05,9.517850862307981e-05
14,c003e6ef6e421d23b5bf98f01df20f1350f61ea1,7.666203610855958e-05,9.731418791819702e-05
15,a0c5f64f4f1a7f6ee80dc9b95aa813df28a87d72,7.589401340939931e-05,9.625942340858701e-05
16,c53c89f0d8572086dd13cbe1c3c98a4e73b41d09,7.70285645191618e-05,9.701728651469405e-05
17,767744c86e1e4a27bf77f90a85f17e564c9b94ea,7.68479951422849e-05,9.688938950636873e-05
18,e657629bbc2bfb880a1b2fa24a39c5921c1f965e,7.666628673779879e-05,9.660435925153168e-05
19,3d0c041ca162d69cc5bbb4d9d051eca7933f12bd,7.740611289726928e-05,9.851264288631556e-05
20,ce140e8d5c28f1f057db1102cf78263e48f86d61,7.70877128638697e-05,9.72319690679962e-05
21,c18ab2c3975c8fa8b59724fe6855c528d72fef8c,7.703613516861114e-05,9.719989503975268e-05
22,3d2205dfd1d28fb8106e60223cf7207a3c05dbab,7.540343924322062e-05,9.649152528833259e-05
23,c3fd79150bc183e8852f1330ea6e8cb4ca7ce7bc,7.674519036864413e-05,9.721643291413785e-05
24,71555c48be7f07833bd540dacb50deb8069b551f,7.8241014158103e-05,9.871564840001088e-05
25,5324067c702a41e901354a01a5f0d05ff49b6cb4,7.721841507029871e-05,9.829902814494239e-05
26,20cb312563b2e7c0b180db8dffbcd71d7dfd0bee,7.835861659892228e-05,9.826092614925334e-05
27,45ee22fa2fdd2bace756ed62685a346da91c4cb2,7.712130167788559e-05,9.743062448557292e-05
28,798aee26bdb9dcc0e806ca9271f0f98297188dec,7.800384685933162e-05,9.828550897747558e-05
29,1c50f244d4d1eba4f3f63e93a05a2b2f938685a4,7.725287215797217e-05,9.829918430610137e-05
30,fca7a15f30776ebce9e6814eb927e837f567a518,7.780551817928646e-05,9.809089048455159e-05
31,26311ed7bf80e02c827189e80084602d72e4f284,8.456937939627096e-05,0.00010473171876061081
32,b5e01bcb668da0413170a886c258e00d2540e752,8.426587162322776e-05,0.0001050645144342786
33,ab30683fe1277a7fd471be63975a02ed8d766f94,8.296447105763494e-05,0.00010374988721427965
34,3c89e2f913406f55b6e998017c1149e3ba383bcc,8.460451863356866e-05,0.00010542461008887098
35,590f07121dc55e6d9d9ce514887c9bbc253fb266,8.419900774382628e-05,0.00010467399410980263
36,872372bd56ccb5fe98faae8be7d14e4a8c69e037,8.424174026116844e-05,0.00010466182297005237
37,70a84c3192b4f231925e8e36f50d6a26bff3b46d,8.360899698275787e-05,0.0001045902140949871
38,9d416356baf4a653b2c647a921ae24ba7d39e8df,8.479646567138843e-05,0.00010551154004907844
39,09dd75e9e2139bc9742e6009b7babe41d4c002df,8.50622489200375e-05,0.00010497218395755128
40,85d64e375f53f6028519d3aaad0b421934dcbe24,8.508587416145019e-05,0.0001059939533255054
41,09e04dcbe3d0c836437b2d4745b353b256ec6265,9.04832066090639e-05,0.00011105243659888706
42,cdd7ab252988ff4254705e0a89874edeb5cea8eb,8.979530173761785e-05,0.00011064806837857384
43,06da877ceae914a875bd1a55cd8e271332358803,9.010244191678103e-05,0.00011035459135303792
44,8529dfaaec65248420faffe095bac03c23881735,8.910436682948251e-05,0.00010993882938466891
45,171a3e5811e43643788c20075be9ba52efb83b81,8.98225774957997e-05,0.00010991246072631893
46,5bf9ab98edd254dee1162d6f1863053e040cf828,8.832185143014279e-05,0.00010929796656574866
47,9776a73cee9eaaff6af40e971fa2bb7f8f1086c5,9.05134784411793e-05,0.00011121615534648299
48,37a1ad069a800f5ef98286f25fb3fb632375168d,9.021956901081272e-05,0.00011077562862254204
49,1cb2230bb1bfb9b2544dab798dffeedce64ad39f,9.022253855574326e-05,0.00011094754201269919
50,044f5131450f38cdfbab63d6999b60e7e3bbabe5,9.069931577921898e-05,0.00011084429880088948
51,dc089026b4ad0d2d9ea992c7f1b9b5e716dd82cd,9.153471751646562e-05,0.00011209907913298318
52,53adf81bc503d749b13160a27e49160c5bbe48d7,9.085254528182598e-05,0.00011151088302598355
53,49e00940a82f9590d774539cd188b634c29fc39f,9.046980249118214e-05,0.00011097320698593792
54,7b9b41a4c7dbd7b719d62f343f57f841f5809693,9.049255447077356e-05,0.00011078979820013046
55,ae88e02a48c4744afd22c63be388870037f3c84c,9.276775473898107e-05,0.0001121776538991159
56,0aeab48b9e914d1dc7041b7e3f3b7e575ffcbbed,9.046812072273128e-05,0.0001111365303957975
57,c18b3f59b5f5752ab038224fd3bdf2dadba55ecf,9.188838462289583e-05,0.00011261621196019021
58,a5e5e51187d4476841503ce816924ea99936dba0,8.720095828175544e-05,0.00010806603777204074
59,b69cf68a24cffea0a884a102da1797755de8f022,8.821950107812881e-05,0.00010826061064801594
60,ee3e17a7c3e3efdeafe907b394de56aed01a70e0,8.693994209170341e-05,0.0001071660044161897
61,c71ce0e6dbd9ec67b3ac7fb5ac3eb609f8a56829,8.682799082072008e-05,0.00010758574756950434
62,0ce156413feb21a4f2a8eae3b1cd954d04240edd,8.856123919046023e-05,0.00010744323295475256
63,7e3fd81c039b0e22715c4e6eb63439bdf5a620bf,8.832070976495743e-05,0.00011143233431013008
64,a6b4b2bdd6baf2afde27284097426e93912452e9,8.734433352947235e-05,0.0001073015954199375
65,c8a5ff07e5bda47eab870671634b107da5ab7934,8.714934735889397e-05,0.00010726094898796574
66,fafd123410f1ad5c47341c66d8ea4cf541165e77,9.033716599310725e-05,9.855809966447177e-05
67,9765987c2ade250c82bfeaba49d1f9301211d63a,9.252959015694531e-05,0.00010086608338443672
68,dbf37449935bced333a3999afa860aaf304ab1a1,9.072204466816807e-05,9.941240890069052e-05
69,e1863f3582e3e8870205f8a9d1ed1cef1bf536b4,9.33133720783359e-05,0.00010209307678181817
70,70f4309a155808d3a60a9a71db2d9482c1ec3ad7,9.213513040468713e-05,0.00010018716889000175
71,bb6b86e2afe88b371badfcefe298945002e47006,9.313560175624761e-05,0.00010155640148486082
72,5c3762157a0cd7a6a036a2144a5fbfc5278a919d,9.296998634176739e-05,0.00010082093732697624
73,9dca4085c724b3e62d54dee33e42ebdba3bb975c,9.479611392386935e-05,0.00010336267940464964
74,4c83c0444c68b89b051f7ef8d8eb1a2276439d78,9.708764318256053e-05,0.00010540887014940382
75,d62b0ee88b20e5946fe49f0ba533b3e547e4d4f1,9.52716048976237e-05,0.00010376703825646212
76,8b15e57718042c75af22a25a7d604fa0f938f16e,9.409662717106668e-05,0.00010259552943228068
77,f8c608cc7a8abcfaea1cd655ddaab47065c5b1e5,9.489232272079045e-05,0.0001031910392022369
78,7f7d14a2b6e1078af25233bbdbc5d8533529fad8,9.679662050782806e-05,0.00010436698129134519
79,b219f69db011a89e6c514ee487dc437f607c4d94,9.67429821482963e-05,0.00010469114252676566
80,93d3e7c247b66ec54d1095df30e99a95b4af9c72,9.518747683614492e-05,0.0001032686299526865
81,49d62f84df0a82b10b3623024ca66b1f09958072,9.498100897127932e-05,0.00010311825550161301
82,43f80863ba2994a186293d86d516204ef38b0043,9.545658566904339e-05,0.00010359987713359665
83,2351cf4976b940eda199f9a17a12bd170d9b326e,9.809754891858365e-05,0.0001054694432016347
84,ae7f9a2cb71cccc9d49cd343e238464107397814,9.493425453978557e-05,0.00010364709362643314
85,4403503b501a46e4eeb9f23e010e913ac5bd7a95,9.356434033675628e-05,0.00010125553890954234
86,5f071c67660dd3eedd6eddb39681cd2943166e68,9.57027022761978e-05,0.00010343993712654884
87,cfee2df31bdc127c345894aee594cbcbb8cddd0e,9.549196665915094e-05,0.00010354557718314668
88,e77b53a880edf16808488084c67ef090c69b3258,9.433203703227723e-05,0.00010318241253929231
89,a20eca25e9b492efedafea4b7c5d84692d869f7e,9.54655951566317e-05,0.00010339672535694405
90,cb5507025e470ddf485bdaa115ffff07ffd0076b,9.348631559485761e-05,0.00010148413331570246
91,0ffaaf8cff4855f4127ae6025ec271bfe9c8666f,9.32191816073927e-05,0.00010107916694743416
92,509b5ae4a7bb3c99324fd302ead1bbf4b130c741,9.497038554400205e-05,0.00010295113609783878
93,3dca0c71d1446f4730c2b72d67719467a5ce528e,9.396052284335547e-05,0.00010222832455290752
94,4e61c8958beaac5a276cabe30f98721ec50734b8,9.489137022190283e-05,0.00010322675556309667
95,08edcad74d32d89f6b60cab43d61e58773e2e761,9.48444093492898e-05,0.00010299186368345046
96,4a4ca3946510a5f6d888d48d185d3b5d3532d03c,0.00010115842910875616,0.00010490845021444794
97,0dfbc057a58f4992843b78847115225019e9d573,9.399308526719159e-05,0.000102486414834857
98,c2313555d7d202e732872e9a55d717d368004aa1,9.516744070093739e-05,0.00010308994130943627
99,a64510672cfe7a6cc67a04b8f3bf1d47a938c353,9.542334591969848e-05,0.00010351673815178105
100,5d24993c2def9e3a368e29ee64a0d29f110d1657,9.449559838345674e-05,0.00010251014249488001
101,360ba0572483457837992d711a0a00580741fc88,9.455650473352183e-05,0.00010268214538476421
102,5da4a8e1835a11d5a03b715e9c0afe3bb96c883b,9.353560903532939e-05,0.00010180583634035716
103,2884e617b2d93010707525071c4308c3356fb8cc,9.387106719342145e-05,0.00010241476951965264
104,8fee756d8c9d2f5fe211fd9feb999c0da8a89821,9.7091979930334e-05,0.00010495097145880804
105,b88b2c0c19851810d4ee07f03a7734b6e19dbdaa,9.432205591689458e-05,0.0001025824926282261
106,ab24dc6130d834fda0744c193f002b3a5f671a90,9.444795078902601e-05,0.00010223683113088974
107,e0ffe3572b37190d9da5b1d07057e4e038bd3197,9.371343238109892e-05,0.00010191231701230886
108,950c6340164ef502c032d11f50130e4bd270c875,9.51567075454292e-05,0.00010306784175694562
109,097888c917d75fa85788ce7b4edaa98b2bdc6ad1,9.367781564254652e-05,0.00010220320949044365
