,hash,dtype-<class 'numpy.float32'>,dtype-<class 'numpy.float64'>
0,b0a6e5583f2952a040c45d0d50f5e93372dc175b,7.156242837051028e-05,8.124739828485031e-05
1,94b36b557ce7d88bbfe4091c59aa376764b7047d,6.896991036691756e-05,7.841589394956827e-05
2,ce6d3ffc991c63c1a91fd806b4eb3d0008caace2,6.82827055969703e-05,7.808500412085379e-05
3,aab7993af0f6f3b9ac0d76952933b19163d65496,6.848305124063163e-05,7.827191147953273e-05
4,b94c2b01ff7ef5b8dc44726512cfa232e9054882,6.858751876279712e-05,7.820402138999531e-05
5,f737b354e6ab2aef8b4c05bca0011de46a4b53b0,6.865841860417276e-05,7.84044361693396e-05
6,bbd5a7750fbed42a4aaf12f196282a9504a1e865,6.89667001177993e-05,7.898063673604308e-05
7,66f1b8a5411e8265ed87ff7bf97c67960af2624d,6.893035790682593e-05,7.874491975467274e-05
8,d9347181d825d9426e783cfeafee304735bd25aa,7.144438173129874e-05,8.147798708059649e-05
9,fc159a547f091d1d6f75db470a0b8e9b2e7acea6,6.978640545018112e-05,8.092552720420602e-05
10,857125603f3cf72e2078ed2effd0f6ce40f0ca28,6.787669068823257e-05,7.766552069889647e-05
11,847119387dedec1ce7a85c1c0f29bcf86bc0348d,6.836765115299532e-05,7.790092231451179e-05
12,deb4be85025088553d80d6637dbc17d7f8101f41,6.785735313314944e-05,7.734731407770028e-05
13,0c06b0b8593d947c5d63b72b6d84ecf83ae5da5b,6.899172084251786e-05,7.833737089372367e-05
14,c003e6ef6e421d23b5bf98f01df20f1350f61ea1,7.077693552165837e-05,8.089192280614818e-05
15,a0c5f64f4f1a7f6ee80dc9b95aa813df28a87d72,7.033249743184761e-05,8.008063099730541e-05
16,c53c89f0d8572086dd13cbe1c3c98a4e73b41d09,7.142908074647973e-05,8.041320575608147e-05
17,767744c86e1e4a27bf77f90a85f17e564c9b94ea,7.104135075250998e-05,8.044138153576676e-05
18,e657629bbc2bfb880a1b2fa24a39c5921c1f965e,7.074409849102923e-05,8.006541541329137e-05
19,3d0c041ca162d69cc5bbb4d9d051eca7933f12bd,7.167888494829337e-05,8.21192944912534e-05
20,ce140e8d5c28f1f057db1102cf78263e48f86d61,7.116644606961833e-05,8.069300265223892e-05
21,c18ab2c3975c8fa8b59724fe6855c528d72fef8c,7.110881606901163e-05,8.104051014891378e-05
22,3d2205dfd1d28fb8106e60223cf7207a3c05dbab,7.001005149887582e-05,7.964239236624802e-05
23,c3fd79150bc183e8852f1330ea6e8cb4ca7ce7bc,7.12532429925857e-05,8.037121048854555e-05
24,71555c48be7f07833bd540dacb50deb8069b551f,7.30359101755507e-05,8.245234734805904e-05
25,5324067c702a41e901354a01a5f0d05ff49b6cb4,7.134925138640713e-05,8.144392289549989e-05
26,20cb312563b2e7c0b180db8dffbcd71d7dfd0bee,7.192440343236454e-05,8.141113221085161e-05
27,45ee22fa2fdd2bace756ed62685a346da91c4cb2,7.091315561219265e-05,8.047550088829465e-05
28,798aee26bdb9dcc0e806ca9271f0f98297188dec,7.243165125449499e-05,8.162798068083044e-05
29,1c50f244d4d1eba4f3f63e93a05a2b2f938685a4,7.200879841356685e-05,8.164774066299425e-05
30,fca7a15f30776ebce9e6814eb927e837f567a518,7.267059758305549e-05,8.219422480619665e-05
31,26311ed7bf80e02c827189e80084602d72e4f284,7.876183203273061e-05,8.812833261946515e-05
32,b5e01bcb668da0413170a886c258e00d2540e752,7.954375124978323e-05,8.947135157082692e-05
33,ab30683fe1277a7fd471be63975a02ed8d766f94,7.772022898463036e-05,8.688353002071382e-05
34,3c89e2f913406f55b6e998017c1149e3ba383bcc,7.961567599272382e-05,8.85765391502006e-05
35,590f07121dc55e6d9d9ce514887c9bbc253fb266,7.883839619656403e-05,8.851933346046665e-05
36,872372bd56ccb5fe98faae8be7d14e4a8c69e037,7.849457957174468e-05,8.85790251801169e-05
37,70a84c3192b4f231925e8e36f50d6a26bff3b46d,7.803471359823431e-05,8.780797943472863e-05
38,9d416356baf4a653b2c647a921ae24ba7d39e8df,7.969746023745221e-05,8.853015346013434e-05
39,09dd75e9e2139bc9742e6009b7babe41d4c002df,7.863311941246333e-05,8.910441876298958e-05
40,85d64e375f53f6028519d3aaad0b421934dcbe24,7.931775112143333e-05,8.890398482723933e-05
41,09e04dcbe3d0c836437b2d4745b353b256ec6265,8.508463676168224e-05,9.474881332028996e-05
42,cdd7ab252988ff4254705e0a89874edeb5cea8eb,8.462140943075335e-05,9.42072534764355e-05
43,06da877ceae914a875bd1a55cd8e271332358803,8.437997668750527e-05,9.366172281178561e-05
44,8529dfaaec65248420faffe095bac03c23881735,8.340046455071668e-05,9.292151186276566e-05
45,171a3e5811e43643788c20075be9ba52efb83b81,8.405664170435233e-05,9.347470900551839e-05
46,5bf9ab98edd254dee1162d6f1863053e040cf828,8.326160714478421e-05,9.268884631720455e-05
47,9776a73cee9eaaff6af40e971fa2bb7f8f1086c5,8.503649223712273e-05,9.482168059191134e-05
48,37a1ad069a800f5ef98286f25fb3fb632375168d,8.462429261551454e-05,9.405560452829708e-05
49,1cb2230bb1bfb9b2544dab798dffeedce64ad39f,8.43131056744752e-05,9.402178058570081e-05
50,044f5131450f38cdfbab63d6999b60e7e3bbabe5,8.540853741578758e-05,9.467232554593932e-05
51,dc089026b4ad0d2d9ea992c7f1b9b5e716dd82cd,8.541731691853268e-05,9.488917594016702e-05
52,53adf81bc503d749b13160a27e49160c5bbe48d7,8.501935735694133e-05,9.414824130742446e-05
53,49e00940a82f9590d774539cd188b634c29fc39f,8.492714187013917e-05,9.436870028299314e-05
54,7b9b41a4c7dbd7b719d62f343f57f841f5809693,8.53670499054715e-05,9.49041282927448e-05
55,ae88e02a48c4744afd22c63be388870037f3c84c,8.61638839105292e-05,9.553418071432547e-05
56,0aeab48b9e914d1dc7041b7e3f3b7e575ffcbbed,8.512430247806368e-05,9.512778540903872e-05
57,c18b3f59b5f5752ab038224fd3bdf2dadba55ecf,8.618440001438826e-05,9.578161056985896e-05
58,a5e5e51187d4476841503ce816924ea99936dba0,8.176263295730255e-05,9.160867915296357e-05
59,b69cf68a24cffea0a884a102da1797755de8f022,8.277562235228041e-05,9.202138299785429e-05
60,ee3e17a7c3e3efdeafe907b394de56aed01a70e0,8.131219144154312e-05,9.129336873485037e-05
61,c71ce0e6dbd9ec67b3ac7fb5ac3eb609f8a56829,8.124276589518203e-05,9.214195242824674e-05
62,0ce156413feb21a4f2a8eae3b1cd954d04240edd,8.144130916299677e-05,9.110115068264244e-05
63,7e3fd81c039b0e22715c4e6eb63439bdf5a620bf,8.28540320994694e-05,9.329422677228273e-05
64,a6b4b2bdd6baf2afde27284097426e93912452e9,8.15596991687789e-05,9.08999850065255e-05
65,c8a5ff07e5bda47eab870671634b107da5ab7934,8.138443722769066e-05,9.106194277193921e-05
66,fafd123410f1ad5c47341c66d8ea4cf541165e77,8.564860391335225e-05,8.971066992790973e-05
67,9765987c2ade250c82bfeaba49d1f9301211d63a,8.754704520106316e-05,9.139903063364959e-05
68,dbf37449935bced333a3999afa860aaf304ab1a1,8.572328205066403e-05,9.026586032304608e-05
69,e1863f3582e3e8870205f8a9d1ed1cef1bf536b4,8.773498777900972e-05,9.247980338810872e-05
70,70f4309a155808d3a60a9a71db2d9482c1ec3ad7,8.735019713640213e-05,9.363083982793222e-05
71,bb6b86e2afe88b371badfcefe298945002e47006,8.676095580261562e-05,9.193240995865223e-05
72,5c3762157a0cd7a6a036a2144a5fbfc5278a919d,8.778803936776615e-05,9.184470400214195e-05
73,9dca4085c724b3e62d54dee33e42ebdba3bb975c,8.952132374674205e-05,9.384699567983097e-05
74,4c83c0444c68b89b051f7ef8d8eb1a2276439d78,9.139788467898841e-05,9.559939529648736e-05
75,d62b0ee88b20e5946fe49f0ba533b3e547e4d4f1,8.994840039325154e-05,9.425400004891509e-05
76,8b15e57718042c75af22a25a7d604fa0f938f16e,8.884540709810771e-05,9.340820812482248e-05
77,f8c608cc7a8abcfaea1cd655ddaab47065c5b1e5,8.934715163481772e-05,9.418852330947465e-05
78,7f7d14a2b6e1078af25233bbdbc5d8533529fad8,9.092356523741847e-05,9.49908706523409e-05
79,b219f69db011a89e6c514ee487dc437f607c4d94,9.081441733970746e-05,9.560981426922672e-05
80,93d3e7c247b66ec54d1095df30e99a95b4af9c72,8.943310717395584e-05,9.397532346404412e-05
81,49d62f84df0a82b10b3623024ca66b1f09958072,8.942261071051242e-05,9.36950863847001e-05
82,43f80863ba2994a186293d86d516204ef38b0043,9.011684393998786e-05,9.422354103828019e-05
83,2351cf4976b940eda199f9a17a12bd170d9b326e,9.092185279802867e-05,9.555996370476646e-05
84,ae7f9a2cb71cccc9d49cd343e238464107397814,8.974654970263116e-05,9.419565956870263e-05
85,4403503b501a46e4eeb9f23e010e913ac5bd7a95,8.770149959731967e-05,9.212293979627166e-05
86,5f071c67660dd3eedd6eddb39681cd2943166e68,8.979640912634037e-05,9.452554842700129e-05
87,cfee2df31bdc127c345894aee594cbcbb8cddd0e,9.028731425839268e-05,9.408975918695592e-05
88,e77b53a880edf16808488084c67ef090c69b3258,8.84373411081913e-05,9.339769074523991e-05
89,a20eca25e9b492efedafea4b7c5d84692d869f7e,8.962891345520404e-05,9.44508209163062e-05
90,cb5507025e470ddf485bdaa115ffff07ffd0076b,8.761462090807336e-05,9.25608677789569e-05
91,0ffaaf8cff4855f4127ae6025ec271bfe9c8666f,8.733372669667006e-05,9.221717877060932e-05
92,509b5ae4a7bb3c99324fd302ead1bbf4b130c741,8.912183645898934e-05,9.358244080265814e-05
93,3dca0c71d1446f4730c2b72d67719467a5ce528e,8.836610058713103e-05,9.287151359868321e-05
94,4e61c8958beaac5a276cabe30f98721ec50734b8,8.8943272428818e-05,9.335258987565071e-05
95,08edcad74d32d89f6b60cab43d61e58773e2e761,8.833269993240227e-05,9.297367756847631e-05
96,4a4ca3946510a5f6d888d48d185d3b5d3532d03c,9.020120636675475e-05,9.436616462401368e-05
97,0dfbc057a58f4992843b78847115225019e9d573,8.88080813172387e-05,9.291060903871601e-05
98,c2313555d7d202e732872e9a55d717d368004aa1,8.95825166972812e-05,9.371598596395603e-05
99,a64510672cfe7a6cc67a04b8f3bf1d47a938c353,8.979636775560617e-05,9.373689112676816e-05
100,5d24993c2def9e3a368e29ee64a0d29f110d1657,8.878120427309978e-05,9.360097200525078e-05
101,360ba0572483457837992d711a0a00580741fc88,8.889012193928161e-05,9.352615974233325e-05
102,5da4a8e1835a11d5a03b715e9c0afe3bb96c883b,8.783507732507901e-05,9.266949068246917e-05
103,2884e617b2d93010707525071c4308c3356fb8cc,8.851629530450678e-05,9.29430296475237e-05
104,8fee756d8c9d2f5fe211fd9feb999c0da8a89821,9.023316246880726e-05,9.496594059535049e-05
105,b88b2c0c19851810d4ee07f03a7734b6e19dbdaa,8.843454043762605e-05,9.317531419748609e-05
106,ab24dc6130d834fda0744c193f002b3a5f671a90,8.888232338501783e-05,9.318219751796939e-05
107,e0ffe3572b37190d9da5b1d07057e4e038bd3197,8.819706745566876e-05,9.27161467684941e-05
108,950c6340164ef502c032d11f50130e4bd270c875,9.042469299713936e-05,9.484242182224988e-05
109,097888c917d75fa85788ce7b4edaa98b2bdc6ad1,8.931412911889229e-05,9.271977892653509e-05
110,1713503b4117550152ca47feee651e67275f3557,9.102500351684646e-05,9.494554251432419e-05
111,269f2f2d30a2c6ef3c435386aa392b5b1715c662,8.780262320332469e-05,9.283739226785572e-05
112,a0f9f503f2dbc9492e7cc20b52623993ced6214a,8.811438607612276e-05,9.245655541731553e-05
113,f09166e85cea7c1639fbb1054171699394ecb62d,8.832194039794972e-05,9.318821513178674e-05
114,94b347e867759325d8586ad3d1c3e01c590d83c1,8.913107811793929e-05,9.421010671014135e-05
115,c0628451db9c87ff0b11f07e68e3d30a954f1ada,8.842956683621173e-05,9.270919826260563e-05
