,hash,dtype-<class 'numpy.float32'>,dtype-<class 'numpy.float64'>
0,b0a6e5583f2952a040c45d0d50f5e93372dc175b,7.172764009354929e-05,8.147405805411162e-05
1,94b36b557ce7d88bbfe4091c59aa376764b7047d,6.886948860666287e-05,7.902644574642181e-05
2,ce6d3ffc991c63c1a91fd806b4eb3d0008caace2,6.870596553198993e-05,7.830393567149128e-05
3,aab7993af0f6f3b9ac0d76952933b19163d65496,6.825801101513207e-05,7.835692459983485e-05
4,b94c2b01ff7ef5b8dc44726512cfa232e9054882,6.813828030940872e-05,7.77697613370334e-05
5,f737b354e6ab2aef8b4c05bca0011de46a4b53b0,6.877180421724916e-05,7.802576957536596e-05
6,bbd5a7750fbed42a4aaf12f196282a9504a1e865,6.867311312817038e-05,8.015062687170767e-05
7,66f1b8a5411e8265ed87ff7bf97c67960af2624d,6.853741060637828e-05,7.84562451751541e-05
8,d9347181d825d9426e783cfeafee304735bd25aa,7.13895449895154e-05,8.3167122784948e-05
9,fc159a547f091d1d6f75db470a0b8e9b2e7acea6,7.115988225876531e-05,8.107797641839301e-05
10,857125603f3cf72e2078ed2effd0f6ce40f0ca28,6.782862726809844e-05,7.70944633012545e-05
11,847119387dedec1ce7a85c1c0f29bcf86bc0348d,6.868444371280398e-05,7.766811507390746e-05
12,deb4be85025088553d80d6637dbc17d7f8101f41,6.773453496862204e-05,7.684619648131073e-05
13,0c06b0b8593d947c5d63b72b6d84ecf83ae5da5b,6.937745758155478e-05,7.830204093734996e-05
14,c003e6ef6e421d23b5bf98f01df20f1350f61ea1,7.123686970235445e-05,8.092111804419094e-05
15,a0c5f64f4f1a7f6ee80dc9b95aa813df28a87d72,7.013042832349802e-05,7.945637437788879e-05
16,c53c89f0d8572086dd13cbe1c3c98a4e73b41d09,7.131497841328382e-05,8.053580919901529e-05
17,767744c86e1e4a27bf77f90a85f17e564c9b94ea,7.097195213039717e-05,8.109559798065354e-05
