,hash,dtype-<class 'numpy.float32'>,dtype-<class 'numpy.float64'>
0,3d0c041ca162d69cc5bbb4d9d051eca7933f12bd,2.4625139176103865e-05,2.5999887836963683e-05
1,ce140e8d5c28f1f057db1102cf78263e48f86d61,2.4738750585182562e-05,2.599963758883855e-05
2,c18ab2c3975c8fa8b59724fe6855c528d72fef8c,2.5076412105653895e-05,2.6259259677915002e-05
3,3d2205dfd1d28fb8106e60223cf7207a3c05dbab,2.449132610369235e-05,2.5719710225582283e-05
4,c3fd79150bc183e8852f1330ea6e8cb4ca7ce7bc,2.4672791375271775e-05,2.5677864700007965e-05
5,71555c48be7f07833bd540dacb50deb8069b551f,2.5361375679037687e-05,2.6952550883058925e-05
6,5324067c702a41e901354a01a5f0d05ff49b6cb4,2.496480617677954e-05,2.619678796975907e-05
7,20cb312563b2e7c0b180db8dffbcd71d7dfd0bee,2.4804286019412004e-05,2.570492856431797e-05
8,45ee22fa2fdd2bace756ed62685a346da91c4cb2,2.5493050508465298e-05,2.628789625305217e-05
9,798aee26bdb9dcc0e806ca9271f0f98297188dec,2.4884592950536264e-05,2.653895578683521e-05
10,1c50f244d4d1eba4f3f63e93a05a2b2f938685a4,2.4957277901194175e-05,2.6094766851131753e-05
11,fca7a15f30776ebce9e6814eb927e837f567a518,2.5358242464895746e-05,2.6771473325054313e-05
12,26311ed7bf80e02c827189e80084602d72e4f284,2.5030719681090976e-05,2.644325434762289e-05
13,b5e01bcb668da0413170a886c258e00d2540e752,2.4914992021685933e-05,2.6500294406483642e-05
14,ab30683fe1277a7fd471be63975a02ed8d766f94,2.6223100961103155e-05,2.807500906990735e-05
15,3c89e2f913406f55b6e998017c1149e3ba383bcc,2.545306585561869e-05,2.678721022168962e-05
16,590f07121dc55e6d9d9ce514887c9bbc253fb266,2.9696652913637992e-05,3.0251157983042462e-05
17,872372bd56ccb5fe98faae8be7d14e4a8c69e037,2.586778442625281e-05,2.8507200945800137e-05
18,70a84c3192b4f231925e8e36f50d6a26bff3b46d,4.652267501417858e-05,4.77575427856551e-05
19,9d416356baf4a653b2c647a921ae24ba7d39e8df,4.6789942994987464e-05,4.8151736484362266e-05
20,09dd75e9e2139bc9742e6009b7babe41d4c002df,2.8802990579246193e-05,3.0124108595162104e-05
