,hash,dtype-<class 'numpy.float32'>,dtype-<class 'numpy.float64'>
0,3d0c041ca162d69cc5bbb4d9d051eca7933f12bd,2.476717120373322e-05,2.6075381550317745e-05
1,ce140e8d5c28f1f057db1102cf78263e48f86d61,2.4570199784900195e-05,2.6224419874535722e-05
2,c18ab2c3975c8fa8b59724fe6855c528d72fef8c,2.4855287673034745e-05,2.629105108148571e-05
3,3d2205dfd1d28fb8106e60223cf7207a3c05dbab,2.4794944193820623e-05,2.5820071425100433e-05
4,c3fd79150bc183e8852f1330ea6e8cb4ca7ce7bc,2.449255013778258e-05,2.5646925438738196e-05
5,71555c48be7f07833bd540dacb50deb8069b551f,2.5124561326042307e-05,2.6693436593994203e-05
6,5324067c702a41e901354a01a5f0d05ff49b6cb4,2.4872379567982122e-05,2.6209329007542692e-05
7,20cb312563b2e7c0b180db8dffbcd71d7dfd0bee,2.4610041160918603e-05,2.5987940951228054e-05
8,45ee22fa2fdd2bace756ed62685a346da91c4cb2,2.4847399969264097e-05,2.639161041249449e-05
9,798aee26bdb9dcc0e806ca9271f0f98297188dec,2.498589977804434e-05,2.6300936743873112e-05
10,1c50f244d4d1eba4f3f63e93a05a2b2f938685a4,2.4888119377145494e-05,2.636331647141453e-05
11,fca7a15f30776ebce9e6814eb927e837f567a518,2.545953864031046e-05,2.6719367684846182e-05
12,26311ed7bf80e02c827189e80084602d72e4f284,2.501312849711178e-05,2.636345578304661e-05
13,b5e01bcb668da0413170a886c258e00d2540e752,2.5037858130269532e-05,2.6133306127288665e-05
14,ab30683fe1277a7fd471be63975a02ed8d766f94,2.6388563653129567e-05,3.423818032485921e-05
15,3c89e2f913406f55b6e998017c1149e3ba383bcc,3.621542754654701e-05,2.676612848170699e-05
16,590f07121dc55e6d9d9ce514887c9bbc253fb266,2.8188652827844228e-05,2.8769112956858834e-05
17,872372bd56ccb5fe98faae8be7d14e4a8c69e037,2.6178983815539173e-05,2.744301263757885e-05
18,70a84c3192b4f231925e8e36f50d6a26bff3b46d,5.354154306356951e-05,5.527658340368219e-05
19,9d416356baf4a653b2c647a921ae24ba7d39e8df,5.397286367216947e-05,5.574740619825509e-05
20,09dd75e9e2139bc9742e6009b7babe41d4c002df,2.8240517809682513e-05,2.7562680074203788e-05
21,85d64e375f53f6028519d3aaad0b421934dcbe24,2.4663983270199553e-05,2.6416734127872966e-05
22,09e04dcbe3d0c836437b2d4745b353b256ec6265,2.4812995394606186e-05,2.61543870272782e-05
23,cdd7ab252988ff4254705e0a89874edeb5cea8eb,2.480276181425355e-05,2.5989106859604774e-05
24,06da877ceae914a875bd1a55cd8e271332358803,2.5378734883202543e-05,2.6821515003528138e-05
25,8529dfaaec65248420faffe095bac03c23881735,2.467896457475538e-05,2.652193988909197e-05
26,171a3e5811e43643788c20075be9ba52efb83b81,2.4747612605842568e-05,2.6262744111865584e-05
27,5bf9ab98edd254dee1162d6f1863053e040cf828,2.6813385864863027e-05,2.7675154342432506e-05
28,9776a73cee9eaaff6af40e971fa2bb7f8f1086c5,2.521518548797121e-05,2.691971033433879e-05
29,37a1ad069a800f5ef98286f25fb3fb632375168d,3.794786792944783e-05,3.9346193079836664e-05
30,1cb2230bb1bfb9b2544dab798dffeedce64ad39f,2.5380669781650292e-05,2.6801943787246085e-05
31,044f5131450f38cdfbab63d6999b60e7e3bbabe5,2.625413240653509e-05,2.74563341862427e-05
32,dc089026b4ad0d2d9ea992c7f1b9b5e716dd82cd,2.568667088033025e-05,2.7133897245968962e-05
33,53adf81bc503d749b13160a27e49160c5bbe48d7,2.5313355995667115e-05,2.6972152323333927e-05
34,49e00940a82f9590d774539cd188b634c29fc39f,2.477483037765023e-05,2.681652124010725e-05
