,hash,type-int16,type-float16,type-int32,type-float32,type-int64,type-float64,type-complex64,type-longfloat,type-complex128,type-complex256
0,9ec27a3f5b81e6a7e808836410c9b6a73204c27e,9.237435985017907e-06,8.972808213609109e-06,8.916919006005748e-06,9.59905626421625e-06,8.936910104359128e-06,8.95337042592392e-06,9.806759613142771e-06,8.879696561282948e-06,9.760893951017684e-06,9.516518637608983e-06
1,489de42a9585615ca9962a83882896069357ab97,9.561654137955471e-06,9.490124542604793e-06,9.502863553775982e-06,9.837427036198851e-06,9.307300841266459e-06,9.579989551143213e-06,1.0220816583695872e-05,9.344554471020754e-06,1.0252938420643814e-05,1.0026748445825595e-05
2,924cbe4dadcabd337a6d8b0ef6efa3091a3ed5fc,5.686929201410582e-06,5.504156815815189e-06,5.535534540996509e-06,5.588928461455933e-06,5.54583592199125e-06,5.7777527493663074e-06,6.088250129374379e-06,5.630814591782281e-06,6.357692359037468e-06,6.2631722775143105e-06
3,821a18e55916d0d40227c58ea75f589ea3d9f078,5.492225447627228e-06,5.374756415910793e-06,5.361351672249999e-06,5.4835384418516595e-06,5.459771079331697e-06,5.5548140425975534e-06,5.89745566208533e-06,5.641417752749106e-06,6.025956745920235e-06,6.222386429176024e-06
4,abce2a0604a4db5d8072a0b1478c7af439882ed7,5.316326026747256e-06,5.2209614311771205e-06,5.183781947393271e-06,5.3703424296941525e-06,5.2448881599163765e-06,5.3943378320780416e-06,5.8680842704951955e-06,5.399010981623311e-06,6.062045670968297e-06,6.019146999734875e-06
5,a5d021a1b6f439a19812926bc4d796ef5f346c44,5.3287595203651705e-06,5.249191190052258e-06,5.348205188084738e-06,5.353529779914832e-06,5.334079613718913e-06,5.612927147546164e-06,5.799694359302521e-06,5.621994293875137e-06,6.336474514143817e-06,6.2241767890537705e-06
6,f1671076c80bd972421751f2d48186ee9ac808aa,5.420670442452485e-06,5.450863037494164e-06,5.4824728974294e-06,5.673640890172417e-06,5.4768467137834675e-06,5.7278386806665626e-06,6.067553013153784e-06,5.628966791198438e-06,6.349772826931811e-06,6.310264444721844e-06
7,9439b56f8762b8c9b48d2f9e54dfb467aaa2b3f9,5.727693737536226e-06,5.721722051060458e-06,5.70351144464655e-06,5.824517980257522e-06,5.698924782070727e-06,5.911747603872281e-06,6.376720700519177e-06,5.7585937803087775e-06,6.698485468392392e-06,6.575519777114321e-06
8,4abd2a845d0723732f26dd9bbba34d076cb7321d,5.2488204682534955e-06,5.330234084265753e-06,5.273859769235863e-06,5.3742272661155045e-06,5.325089307743215e-06,5.603345545318701e-06,5.83699863287187e-06,5.560326203097814e-06,6.249379718481095e-06,6.1299705736949495e-06
9,c8a5ff07e5bda47eab870671634b107da5ab7934,5.554321944286131e-06,5.611967217719082e-06,5.545164835507329e-06,5.812521407289384e-06,5.573032742214142e-06,5.932679552171874e-06,6.0903261958275285e-06,5.680655774015646e-06,6.319087855971904e-06,6.370605509669803e-06
