,hash,type-int16,type-float16,type-int32,type-float32,type-int64,type-float64,type-complex64,type-longfloat,type-complex128,type-complex256
0,3d0c041ca162d69cc5bbb4d9d051eca7933f12bd,8.112371559875178e-07,9.372649550310928e-07,7.995940860794502e-07,7.839887117559658e-07,7.860009674772243e-07,8.25754306735923e-07,8.144380752668606e-07,9.397991816513241e-07,8.126160653288703e-07,8.817931449801811e-07
1,ce140e8d5c28f1f057db1102cf78263e48f86d61,7.611067433442389e-07,9.470540905815804e-07,8.08376953200251e-07,7.619996127706371e-07,7.899521372102378e-07,8.128212598686408e-07,7.814715039871988e-07,9.491055904866451e-07,7.759018673713301e-07,8.834387426093134e-07
2,c18ab2c3975c8fa8b59724fe6855c528d72fef8c,7.997569461643096e-07,1.02754883956603e-06,7.795568122299609e-07,7.919650185449921e-07,7.773757847305913e-07,8.08373267214282e-07,7.920717905994647e-07,9.297125004443594e-07,8.075747969926722e-07,8.810886799927347e-07
3,3d2205dfd1d28fb8106e60223cf7207a3c05dbab,7.923350197220393e-07,9.291986070614415e-07,7.905747146832197e-07,7.701121614455603e-07,7.921768347368092e-07,8.161023617007975e-07,7.750532797908628e-07,9.080377380885663e-07,7.761628673557538e-07,8.918730840718986e-07
4,c3fd79150bc183e8852f1330ea6e8cb4ca7ce7bc,8.16952730832906e-07,9.538672285006297e-07,8.235741321465333e-07,7.950786906483089e-07,8.603423972938719e-07,1.1643618490779772e-06,1.0150745610998194e-06,9.79764044261157e-07,8.336164401643113e-07,9.367764088727364e-07
5,71555c48be7f07833bd540dacb50deb8069b551f,8.193165231221282e-07,9.501061815006489e-07,7.996507312108291e-07,7.830432652093599e-07,8.161672988148079e-07,8.332179519847202e-07,8.151426040509207e-07,9.148849997224964e-07,8.055081493630008e-07,9.260782338578284e-07
6,5324067c702a41e901354a01a5f0d05ff49b6cb4,7.838577688160949e-07,9.410917264176532e-07,7.929906280045485e-07,7.673060954539589e-07,7.845191648229291e-07,8.15912325151995e-07,7.725509490986879e-07,9.307593189243396e-07,7.779609706769152e-07,8.858266185212739e-07
7,20cb312563b2e7c0b180db8dffbcd71d7dfd0bee,7.794149773444825e-07,9.368747732051734e-07,7.809110802376005e-07,7.526814552765355e-07,7.928609291173229e-07,8.244883902402307e-07,9.697605173429357e-07,1.0946450366394819e-06,7.799675403524557e-07,9.147990128779644e-07
8,45ee22fa2fdd2bace756ed62685a346da91c4cb2,8.435469261732879e-07,9.47845726676116e-07,8.04955011053436e-07,7.87615491375527e-07,8.418003146877352e-07,8.323536169860959e-07,8.167771332475809e-07,9.504932983704208e-07,8.170761076311844e-07,8.873885660856563e-07
9,798aee26bdb9dcc0e806ca9271f0f98297188dec,8.294887050186123e-07,9.835309531560844e-07,8.260601245004692e-07,8.444597191500792e-07,8.361840554321734e-07,8.607639044084206e-07,8.619484754924862e-07,9.363585453353483e-07,8.631267439391359e-07,9.154792734823952e-07
10,1c50f244d4d1eba4f3f63e93a05a2b2f938685a4,8.222181598557081e-07,9.751460965488635e-07,8.221258496556698e-07,8.206601809553884e-07,8.206056115929695e-07,8.434097581361548e-07,8.379180352413152e-07,9.476323638492348e-07,8.399545762931536e-07,9.164546817456457e-07
11,fca7a15f30776ebce9e6814eb927e837f567a518,7.775405739261123e-07,9.245687278135764e-07,7.79028656294762e-07,7.8419707001355e-07,7.779429717349956e-07,8.032935547124749e-07,7.836620573160046e-07,9.336707258956845e-07,1.1686243583128346e-06,8.723825877886384e-07
12,26311ed7bf80e02c827189e80084602d72e4f284,7.801434698052443e-07,9.164472721749917e-07,7.889377637145708e-07,7.912468247883335e-07,7.817146830875304e-07,8.079808954399185e-07,7.989646064164303e-07,9.036166107566827e-07,8.015670199484624e-07,8.581183621743674e-07
13,b5e01bcb668da0413170a886c258e00d2540e752,7.575605243996576e-07,9.054524382895767e-07,7.785057665887211e-07,7.625635623265813e-07,7.916755515820295e-07,8.041548738920596e-07,7.598983598589458e-07,9.245341365881772e-07,7.868284062113643e-07,9.793361390658136e-07
14,ab30683fe1277a7fd471be63975a02ed8d766f94,7.840050245765857e-07,9.340049171231472e-07,8.045454973986208e-07,7.955811057217267e-07,8.205967023628971e-07,8.21097983023012e-07,8.114502631004889e-07,9.521960455458612e-07,8.16501557583602e-07,9.165479545269423e-07
15,3c89e2f913406f55b6e998017c1149e3ba383bcc,8.488092264947376e-07,1.0233401404016274e-06,9.0258557869945e-07,8.141080570651714e-07,1.1869968363932285e-06,8.055631742914579e-07,7.99189375196384e-07,9.760606348705055e-07,8.021197312897954e-07,9.22245453693904e-07
16,590f07121dc55e6d9d9ce514887c9bbc253fb266,8.196495036227569e-07,1.1518724584278245e-06,8.3154872793941e-07,8.393430202617937e-07,8.549070551954174e-07,8.81008604351363e-07,8.480496460281e-07,1.1145621366569106e-06,8.238740150717961e-07,9.524335406104658e-07
17,872372bd56ccb5fe98faae8be7d14e4a8c69e037,9.174048820135267e-07,1.2193571906425944e-06,1.0392292683569236e-06,1.0134405509012586e-06,8.267139858089297e-07,1.3633576028861012e-06,1.3786836441445167e-06,1.541430559977525e-06,1.3563382545463018e-06,1.4958018648692152e-06
18,70a84c3192b4f231925e8e36f50d6a26bff3b46d,9.706798421399366e-07,1.1626123108351527e-06,9.939465169901274e-07,9.899267045587918e-07,1.0004965498689409e-06,1.0003510828917292e-06,9.876469696767125e-07,1.1509653191957025e-06,8.949122497760973e-07,1.0092067911151802e-06
19,9d416356baf4a653b2c647a921ae24ba7d39e8df,8.830624212789834e-07,1.0878366480984853e-06,8.851916490165712e-07,8.941424288143811e-07,9.002655999328831e-07,8.935981005822762e-07,8.883818595339198e-07,1.2029720074795993e-06,8.874869532446774e-07,1.0219169683506742e-06
20,09dd75e9e2139bc9742e6009b7babe41d4c002df,8.771135806495844e-07,1.0638996222300745e-06,8.654605788656325e-07,8.888647371104122e-07,8.752048705617486e-07,8.875122540057117e-07,8.663677085135438e-07,1.0463363280321476e-06,9.064306893518233e-07,1.0023400200609589e-06
21,85d64e375f53f6028519d3aaad0b421934dcbe24,8.853113832807656e-07,1.0242545538591812e-06,8.831155010447143e-07,8.639276245568796e-07,8.71837003521594e-07,8.644839639936784e-07,8.783782114775977e-07,1.0084945441147821e-06,8.526563276062693e-07,9.62487499981018e-07
22,09e04dcbe3d0c836437b2d4745b353b256ec6265,8.600518743937292e-07,1.0222402398819723e-06,8.600015388939864e-07,8.336234530605838e-07,8.963484274982556e-07,8.534518990498005e-07,8.72169236649039e-07,1.0241745633095597e-06,8.4141817918101e-07,9.872795000608841e-07
23,cdd7ab252988ff4254705e0a89874edeb5cea8eb,8.539393808267743e-07,1.000253997877221e-06,8.628250021858865e-07,8.236339879759463e-07,8.448366390075535e-07,8.417534595946674e-07,8.285846375429927e-07,9.981428632851352e-07,8.291100041419632e-07,9.943362128444063e-07
24,06da877ceae914a875bd1a55cd8e271332358803,8.777469831464951e-07,1.0131516165507096e-06,8.837497591655726e-07,8.527459725562917e-07,8.639941474620793e-07,8.442529993241619e-07,8.585168126063061e-07,1.0066620138009238e-06,8.529489081416829e-07,9.57361499207433e-07
25,8529dfaaec65248420faffe095bac03c23881735,8.583148646578111e-07,1.0050102534823248e-06,8.642163062901976e-07,8.470013473029845e-07,8.479746702582531e-07,8.276275645298335e-07,8.42247349312745e-07,9.981283629630608e-07,8.549291108348717e-07,9.532564078902149e-07
26,171a3e5811e43643788c20075be9ba52efb83b81,8.717741072433318e-07,1.0192095848011646e-06,8.376312402010745e-07,8.573694429415533e-07,8.795906542915666e-07,8.393187505223578e-07,8.683278723389768e-07,9.97109202130343e-07,8.80490745047598e-07,9.490301824619317e-07
27,5bf9ab98edd254dee1162d6f1863053e040cf828,1.151432376979494e-06,1.3144113323574895e-06,1.139107231303292e-06,1.2535207255969868e-06,9.007107436152806e-07,9.019219124547297e-07,8.861779346908173e-07,1.2078085671232458e-06,1.1230024234351175e-06,1.0195074997186153e-06
28,9776a73cee9eaaff6af40e971fa2bb7f8f1086c5,1.271906996938211e-06,1.4644524193543215e-06,1.2401215579607555e-06,1.2761761422084025e-06,1.2343323393297646e-06,1.2425414849383864e-06,1.2724611020770214e-06,1.3956639450193132e-06,1.2418472936170619e-06,1.3584742204666646e-06
29,37a1ad069a800f5ef98286f25fb3fb632375168d,1.241103469185099e-06,1.420321328127364e-06,1.2413156294641824e-06,1.281453322288776e-06,1.2494563665098808e-06,1.2688144065076607e-06,1.2751724381511016e-06,1.4388579805089202e-06,1.2959130322639685e-06,1.7735305543348712e-06
30,1cb2230bb1bfb9b2544dab798dffeedce64ad39f,1.3566892671881792e-06,1.5074590811655158e-06,1.331177367447367e-06,1.3107734011088477e-06,1.33885812424676e-06,1.3297523603520675e-06,1.3174693765744793e-06,1.4628486977658988e-06,1.3356223426993154e-06,1.3783708338525852e-06
31,044f5131450f38cdfbab63d6999b60e7e3bbabe5,1.3153866545864096e-06,1.4682068434670761e-06,1.3198154317796462e-06,1.3023244734077421e-06,1.2903467647959416e-06,1.3079303818566944e-06,1.288271359128769e-06,1.4446182156590459e-06,1.3222434587306228e-06,1.4074882882030956e-06
32,dc089026b4ad0d2d9ea992c7f1b9b5e716dd82cd,1.2688131628430529e-06,1.4046373540376572e-06,1.290458652308416e-06,1.307285406208614e-06,1.3144528447796694e-06,1.6144797492439523e-06,1.6632566234881096e-06,1.4467443197829214e-06,1.3043351342966751e-06,1.399573074053902e-06
33,53adf81bc503d749b13160a27e49160c5bbe48d7,1.3010931155563031e-06,1.495194666496507e-06,1.2907144355691368e-06,1.2758238209471668e-06,1.2870741291085562e-06,1.2631211498060581e-06,1.2665042409862847e-06,1.4381382326787652e-06,1.2858728241136734e-06,1.4541560611856156e-06
34,49e00940a82f9590d774539cd188b634c29fc39f,1.2998877744403237e-06,1.4561841377322207e-06,1.3313008405694284e-06,1.3561631467956741e-06,1.3225285093389525e-06,1.3097079028157486e-06,1.3118522035621383e-06,1.4676226957363048e-06,1.3165410662327017e-06,1.4509488988350702e-06
