,hash,type-int16,type-float16,type-int32,type-float32,type-int64,type-float64,type-complex64,type-longfloat,type-complex128,type-complex256
0,9ec27a3f5b81e6a7e808836410c9b6a73204c27e,4.638575861214573e-05,5.429856402357829e-05,4.6214117652649045e-05,5.459655708067082e-05,1.8851930657640484e-05,2.534212782252969e-05,5.705666856612174e-05,2.4958837639567108e-05,2.5591957775584184e-05,2.5756837903127933e-05
1,489de42a9585615ca9962a83882896069357ab97,4.617505647400592e-05,5.415696463542967e-05,4.641993806693431e-05,5.449075602818674e-05,1.90851833750875e-05,2.508711782010163e-05,5.467053517274597e-05,2.50110272275008e-05,2.6037084920756003e-05,2.6091577877339566e-05
2,924cbe4dadcabd337a6d8b0ef6efa3091a3ed5fc,4.0112244759631506e-05,4.577698379407747e-05,4.0246385011684014e-05,4.568489017982443e-05,1.2349834081125761e-05,1.5500906797848186e-05,4.635368080424338e-05,1.65143651579778e-05,1.6710098617140303e-05,1.6750085331101452e-05
3,821a18e55916d0d40227c58ea75f589ea3d9f078,3.982665385682504e-05,4.5433775892005806e-05,4.004886136751113e-05,4.585161078171136e-05,1.2233173442331867e-05,1.576966338616759e-05,4.59991025332457e-05,1.6620004770122584e-05,1.6464128265124454e-05,1.692312881350517e-05
4,abce2a0604a4db5d8072a0b1478c7af439882ed7,3.967492077022027e-05,4.580565903600788e-05,3.9981854044728806e-05,4.588410027419068e-05,1.2121725810971935e-05,1.5662490085129746e-05,4.6240802893930293e-05,1.6311205973502025e-05,1.6315946049313025e-05,1.6881173795149397e-05
5,a5d021a1b6f439a19812926bc4d796ef5f346c44,3.976302390748804e-05,4.568198077505877e-05,3.9853009141304277e-05,4.567586945980286e-05,1.2326870806688487e-05,1.607880346600833e-05,4.60467519278222e-05,1.693195559747742e-05,1.6460713222967273e-05,1.7133171273491314e-05
6,f1671076c80bd972421751f2d48186ee9ac808aa,3.9918151580625106e-05,4.5773080051071034e-05,4.017976699052034e-05,4.58194015602648e-05,1.2387292253849812e-05,1.625631931705632e-05,4.616057789274331e-05,1.7217836087637215e-05,1.674701568641419e-05,1.7586491114179486e-05
7,9439b56f8762b8c9b48d2f9e54dfb467aaa2b3f9,3.9917450736869463e-05,4.581238745766528e-05,3.992260676836047e-05,4.57002521109055e-05,1.2630623633245304e-05,1.6222161551316576e-05,4.578468155970563e-05,1.74058138662459e-05,1.6590669894447696e-05,1.7442742720933333e-05
8,4abd2a845d0723732f26dd9bbba34d076cb7321d,3.997813876131516e-05,4.566435129323265e-05,4.016519955324906e-05,4.569246827246754e-05,1.232024373734273e-05,1.589407214416083e-05,4.587818749566027e-05,1.705532125235087e-05,1.6655188235931862e-05,1.7235512740425944e-05
9,c8a5ff07e5bda47eab870671634b107da5ab7934,3.973800180987878e-05,4.560063363181497e-05,3.9837868106397956e-05,4.5898399917008e-05,1.2433173134922981e-05,1.6665630731046016e-05,4.6194503926832614e-05,1.7619792009214528e-05,1.6977698836517873e-05,1.7642045784140786e-05
10,267621f07a902eceffc179fa01f984f3e2d4bdcd,3.941681669749293e-05,4.531095328275114e-05,3.9673821233651216e-05,4.544490048301821e-05,1.2363117561163329e-05,1.6113839370607423e-05,4.528375624232933e-05,1.671032891885331e-05,1.6323412334873476e-05,1.7039584539209805e-05
