,hash,type-int16,type-float16,type-int32,type-float32,type-int64,type-float64,type-complex64,type-longfloat,type-complex128,type-complex256
0,9ec27a3f5b81e6a7e808836410c9b6a73204c27e,8.30856312945382e-06,9.010495962236974e-06,8.67716817727943e-06,8.506611605190625e-06,8.403382289055664e-06,8.489691960700862e-06,8.587572342840027e-06,8.362468776287386e-06,8.304987818379802e-06,8.553853855775824e-06
1,489de42a9585615ca9962a83882896069357ab97,8.542168933641294e-06,9.339085670668808e-06,8.847374432188168e-06,8.656286421380821e-06,8.587211194252297e-06,8.39375262775956e-06,8.632066240270676e-06,8.415713507149902e-06,8.591260087794852e-06,8.753072770853197e-06
2,924cbe4dadcabd337a6d8b0ef6efa3091a3ed5fc,4.702564126447491e-06,5.080713028954919e-06,4.694730834552058e-06,4.614175633620044e-06,4.725666881759824e-06,4.593175304115598e-06,4.784258681653104e-06,4.792705268824196e-06,4.76993748010016e-06,5.10973111439535e-06
3,821a18e55916d0d40227c58ea75f589ea3d9f078,4.626101093887525e-06,5.057901398770556e-06,4.601244742266475e-06,4.54849375107747e-06,4.625213604077181e-06,4.577634298963843e-06,4.598283342177378e-06,4.8282816053373835e-06,4.733740651014158e-06,5.273434521958035e-06
4,abce2a0604a4db5d8072a0b1478c7af439882ed7,4.674798363405623e-06,5.1919298061121126e-06,4.661750301895056e-06,4.7146504190056884e-06,4.721119963080715e-06,4.7056577817701805e-06,4.6958722996445495e-06,4.800983350276104e-06,4.727494698367989e-06,5.2496424253621275e-06
5,a5d021a1b6f439a19812926bc4d796ef5f346c44,4.655953400828949e-06,5.1224736363822145e-06,4.702401535160597e-06,4.650119485126601e-06,4.71336209483029e-06,4.733695799477832e-06,4.685364179662826e-06,4.741484515888747e-06,4.747782791253664e-06,5.325899124290038e-06
6,f1671076c80bd972421751f2d48186ee9ac808aa,4.57990133831454e-06,5.089252691959282e-06,4.576634673139172e-06,4.611747938296611e-06,4.616145948092944e-06,4.601415546732092e-06,4.658575218510688e-06,4.78562728720576e-06,4.6816155141491646e-06,5.344665288310317e-06
7,9439b56f8762b8c9b48d2f9e54dfb467aaa2b3f9,4.710961590802765e-06,5.138152005041347e-06,4.764709235187034e-06,4.650636820701861e-06,4.757962653061501e-06,4.607676650315674e-06,4.779922010981699e-06,4.794932901859284e-06,4.783003974486799e-06,5.427819843152249e-06
8,4abd2a845d0723732f26dd9bbba34d076cb7321d,4.729262557376497e-06,5.266134625315548e-06,4.9320189418059395e-06,4.94730668223571e-06,4.804722777809896e-06,4.59792743829978e-06,4.708559486255827e-06,4.841068238333725e-06,4.821732990234081e-06,5.430921007798296e-06
9,c8a5ff07e5bda47eab870671634b107da5ab7934,4.621217875440783e-06,5.19460636758478e-06,4.6778734060513785e-06,4.68508850569558e-06,4.693754641129941e-06,4.674698147987173e-06,4.699080659038723e-06,4.77740768407791e-06,4.711122531775856e-06,5.247798644035019e-06
10,267621f07a902eceffc179fa01f984f3e2d4bdcd,4.6544397223408365e-06,5.206742511426124e-06,4.7124591499554355e-06,4.746462661183746e-06,4.716829391240718e-06,4.711355495503934e-06,4.7445494727923264e-06,4.7826753963410266e-06,4.751595958495009e-06,5.458813016110764e-06
11,581eab37b5d558ba9b8035f3fa82cfa617e70e26,4.730816069490799e-06,5.228562233660012e-06,4.756450774764661e-06,4.724175279191172e-06,4.745179057245399e-06,4.676753763618088e-06,4.8203996556016794e-06,4.842156095328529e-06,4.760750723908299e-06,5.443720634010031e-06
12,6f822d20fe5d0596e2b284d3e246e38cb7cea7fc,4.541447351148084e-06,5.0413333414924675e-06,4.55973474145731e-06,4.535626913130744e-06,4.575370694510638e-06,4.580161121845944e-06,4.556293631529202e-06,4.7047212737317065e-06,4.569191555931883e-06,5.332644797685295e-06
13,a60d5e8d7652641b861587f1fc8efa3cf2081bb5,4.517115607566011e-06,5.014431142613237e-06,4.561508408823441e-06,4.535121570902261e-06,4.580724861483806e-06,4.568938814585482e-06,4.571667965738927e-06,4.646742361399391e-06,4.599374738490462e-06,5.216176447437237e-06
14,9e2d66a110090ee7416f4686593fdf9142ce6cbc,4.611309576208895e-06,5.148152277676228e-06,4.677566531805778e-06,4.65007010382264e-06,4.676589802182185e-06,4.668065391088454e-06,4.663793505101964e-06,4.904008220006345e-06,4.84131266123582e-06,5.2496911787386685e-06
15,d3ec3cb274fdb1a7d25cf7ee4bf2c94a8aeab281,4.661858493849953e-06,5.32150412734333e-06,4.820245964255441e-06,4.789011237390273e-06,4.767998932727288e-06,4.730058115733377e-06,4.743529953510905e-06,4.806204131703675e-06,4.771960771138579e-06,5.205143599561528e-06
