,hash,type-int16,type-float16,type-int32,type-float32,type-int64,type-float64,type-complex64,type-longfloat,type-complex128,type-complex256
0,03164d2d819f9b38e1c684d6d9e128f11867dc3c,2.555662597311723e-05,3.033724298711096e-05,2.4807351331440477e-05,2.959559208285669e-05,1.7163005058560609e-06,2.6050142466136888e-06,3.0990355956568095e-05,3.0270696380512467e-06,2.630451325951084e-06,2.9038702787157295e-06
1,60df9b1eb6375e3decf12ba7506404c46af0469a,2.5098959851525128e-05,3.0385841217286325e-05,2.4591599546564632e-05,2.9435549298148246e-05,1.801382134980585e-06,2.7283782473368396e-06,3.070763766496139e-05,3.0283092849010034e-06,2.6475130293183868e-06,2.856797069328938e-06
2,772c80b1ce1db7e30497fcf555ac9af56b0d7fce,2.2908658540976096e-05,2.957000814038455e-05,2.3494310906100716e-05,2.8172417299266066e-05,1.807008918684705e-06,2.322025574217606e-06,2.8724951315732476e-05,2.7467310610070666e-06,2.283555768090366e-06,2.714261893359283e-06
3,66d357ae3aedcd324a1c607e037adc65d3ae1c02,2.3265113262256733e-05,2.8492695044272663e-05,2.2536881374202838e-05,2.876161479410816e-05,1.8101052791423882e-06,2.487328187809398e-06,2.926227672898365e-05,3.042729362357713e-06,2.44523657880727e-06,2.877182178135341e-06
4,cec39effb1739ae0a7690e56d58d3e9432569d5f,2.4140180202110814e-05,2.980033834477502e-05,2.3825026724232415e-05,2.8601125951519043e-05,1.8392150639413808e-06,2.6538443678990463e-06,3.010131731171386e-05,2.957859321147638e-06,2.585273402815698e-06,2.9672154085968365e-06
5,8ae543cb13769a0afa6e176898824db7fd992d27,2.3602917018970757e-05,3.0269566591216616e-05,2.4027317175305286e-05,2.9980283069635753e-05,1.8020882621240917e-06,2.4392321046114204e-06,3.00619740400443e-05,2.7716307147849485e-06,2.372185696470752e-06,2.756741173203168e-06
6,c890b10a8ade5df19f97b02a2b10a75f9f6075e9,2.530916935516837e-05,3.090000003871416e-05,2.4503089398792543e-05,2.998785162068218e-05,1.8293567732492695e-06,2.4949232349545704e-06,3.0472620527087154e-05,2.821485467302008e-06,2.4383225767108514e-06,2.780954521457324e-06
7,c9a83043c0669fd17306843eb21abd236b675537,2.3096281895166302e-05,2.8981168380644367e-05,2.3065108664919335e-05,2.8394820471108452e-05,1.7238181266328097e-06,2.48781681042641e-06,2.9302543768441846e-05,2.774993898797847e-06,2.4622138700825608e-06,2.7743613244174928e-06
8,4d87d909bab7a7dd4bb570444cf35d98d551668f,2.4221590593805168e-05,2.98038029949599e-05,2.4291223170944803e-05,2.9481265121101208e-05,1.7987301895981297e-06,2.563446714266963e-06,3.0275413882918657e-05,2.807789019927551e-06,2.345034363111343e-06,2.7828971768740745e-06
9,a280f5e5d725de732a906b67172114b263ac3bfa,2.408369467619485e-05,2.96847513050245e-05,2.3513465156232885e-05,2.793265929750095e-05,1.764553410751646e-06,2.461113094806284e-06,2.887521845159905e-05,2.836576354665007e-06,2.3912042541580517e-06,2.782324556659711e-06
10,c303c9b77afbc7fe6f4049683c3ccaabdebe7be3,2.2899649895321802e-05,2.8412501368088944e-05,2.244153450546147e-05,2.82702823701843e-05,1.89908508297568e-06,2.387260626945127e-06,2.9361518889865173e-05,2.8230767620359967e-06,2.3868203825756607e-06,2.766982688076238e-06
11,fdfc4807cbe2de71f74053c45ae0de383332c4e1,2.4441546457613597e-05,3.0548424991947185e-05,2.446045011448201e-05,3.0082005473995607e-05,1.995954098598343e-06,2.4258140722707007e-06,3.146403977635518e-05,2.888348166122594e-06,2.399938836878116e-06,2.96412801733011e-06
12,537d35c2cf49cae0a496c37564fa282ec80e3695,2.2672479436153273e-05,2.9288872915636175e-05,2.243248152367778e-05,2.8006760585990307e-05,1.9320049263101222e-06,2.5819349515784787e-06,2.9794572239754618e-05,2.8923113393358646e-06,2.4532668946875217e-06,2.8234628414868457e-06
13,1b6831be8dc33308e77f3d3253f5ee777e3bb178,2.3260491240246903e-05,2.9005678175537393e-05,2.300817666129594e-05,2.8862868708500326e-05,1.8630263025384878e-06,2.524501146402084e-06,2.945648914290992e-05,2.865540961265343e-06,2.456557757496056e-06,2.904105346362452e-06
14,7ef145115fede2c20df2cfc51ed28fcc9742b696,2.3559807188639492e-05,2.966090189930615e-05,2.2719634830681784e-05,2.925554243322778e-05,1.8180283946092698e-06,2.4073112208388e-06,2.9779991642818435e-05,2.8409092912368966e-06,2.3417392199814846e-06,2.688528680249935e-06
15,175476fec763984573e60485a447978cbcb381c0,2.1364031430912043e-05,2.719087095927706e-05,2.148050689571592e-05,2.630784597619571e-05,1.7757029660507158e-06,2.3205560938782374e-06,2.781877040489439e-05,2.713277150982215e-06,2.345434898935098e-06,2.653158569287939e-06
16,c3c2b689cd4e1ccc24b18e764f105ed0e400ae92,2.3370454828279912e-05,2.8937774875989983e-05,2.242867255107442e-05,2.7486759595527693e-05,1.7711996085033954e-06,2.335595795365104e-06,2.919529682706604e-05,2.687163233527672e-06,2.3007306007395177e-06,2.6832617953857234e-06
17,93240e0d8ea23644a5b7874037e658c54966ff54,2.2635515588660012e-05,2.9790856957032203e-05,2.3522420936690953e-05,2.8916743453848054e-05,1.7866411356378224e-06,2.505313844402213e-06,3.0650387630435596e-05,2.867529115766691e-06,2.4394295048143178e-06,2.999162299980801e-06
18,e1f191c46f2eebd6cb892a4bfe14d9dd43a06c4e,2.2001259210691253e-05,2.879967513748813e-05,2.2040027481918233e-05,2.7982302577957177e-05,1.7531434739484548e-06,2.3815581331703297e-06,2.9175894811980274e-05,2.7136539889269805e-06,2.6154422232632103e-06,3.1593213253463583e-06
19,8eedd3e911b7e3f5f35961871ddb8ee1559d4225,2.3807930901647634e-05,2.9622789987061314e-05,2.3326889831033693e-05,2.80765940710667e-05,1.6778073275754317e-06,2.749705649594726e-06,3.001157543296775e-05,2.7101065235867776e-06,2.692515953245149e-06,2.7585744363145526e-06
20,ade91ea2f28284668fbf78971538ac4827d653b8,2.3431532674120063e-05,2.8959601897203477e-05,2.3524529965967338e-05,2.8938217910957887e-05,1.714941658367419e-06,2.326645946941557e-06,3.022198749628539e-05,2.750617483454957e-06,2.631010260058698e-06,2.69519242057123e-06
21,b0a6e5583f2952a040c45d0d50f5e93372dc175b,2.3168271379998056e-05,2.9774295731580683e-05,2.2018604213371872e-05,2.791262174245209e-05,1.7379141550095993e-06,2.420709572522186e-06,3.080342556519978e-05,2.984074498613154e-06,2.381309316678078e-06,2.7851803820716677e-06
22,94b36b557ce7d88bbfe4091c59aa376764b7047d,2.306201914758818e-05,3.019726664206246e-05,2.238426211988553e-05,2.9130089116849975e-05,1.8755532284609096e-06,2.583900828895396e-06,3.132396696678004e-05,3.254848087859632e-06,2.401394611679512e-06,2.8753154256740233e-06
23,ce6d3ffc991c63c1a91fd806b4eb3d0008caace2,2.489079417472276e-05,3.1311011497010265e-05,2.3440648921836248e-05,2.9256678557931323e-05,1.6405202635264015e-06,2.3734291152538065e-06,3.00496905029355e-05,2.731192297586757e-06,2.348574286792629e-06,2.7286387340873555e-06
24,aab7993af0f6f3b9ac0d76952933b19163d65496,2.4218844698069183e-05,2.9174177030359422e-05,2.4185008929375075e-05,2.82557460752801e-05,1.6840399603454675e-06,2.3821403819185758e-06,2.9842609584280484e-05,2.8074751223537777e-06,2.385138447720378e-06,2.758947832057123e-06
25,b94c2b01ff7ef5b8dc44726512cfa232e9054882,2.3383042908622384e-05,2.8617528605982866e-05,2.2851635048468356e-05,2.7654145928932976e-05,1.7064472793666392e-06,2.325468485279685e-06,2.9398260996638603e-05,2.7719149733633124e-06,2.335189845048172e-06,2.7174458148611292e-06
26,f737b354e6ab2aef8b4c05bca0011de46a4b53b0,2.41889722781832e-05,3.060611747804866e-05,2.3376053995221496e-05,2.9515899991629722e-05,1.7081351624729782e-06,2.472417440067557e-06,3.118190580752908e-05,2.7992517336487253e-06,2.417444126048276e-06,2.766478171694414e-06
27,bbd5a7750fbed42a4aaf12f196282a9504a1e865,2.497156542217867e-05,3.152128048407953e-05,2.4060751197144524e-05,2.9530904979318412e-05,1.772097077993574e-06,2.3610497967756333e-06,3.134962723255653e-05,2.77301820850819e-06,2.4291382277514898e-06,2.8272622882725214e-06
28,66f1b8a5411e8265ed87ff7bf97c67960af2624d,2.4453859025169253e-05,3.068907079331516e-05,2.3583835995239513e-05,2.972033600478123e-05,1.5678221170123806e-06,2.340528929952052e-06,3.0145868120118872e-05,2.657605656243661e-06,2.2927623894287682e-06,2.6306374827224086e-06
