,hash,size-1,size-10,size-100
0,857125603f3cf72e2078ed2effd0f6ce40f0ca28,5.393503417604064e-05,5.667738405838801e-05,0.00019179984251662204
1,847119387dedec1ce7a85c1c0f29bcf86bc0348d,5.2779297580056615e-05,5.533332656267127e-05,0.0001872883421080922
2,deb4be85025088553d80d6637dbc17d7f8101f41,5.427788616570709e-05,5.700809847463376e-05,0.00018889589486398588
3,0c06b0b8593d947c5d63b72b6d84ecf83ae5da5b,5.391697028460497e-05,5.716507674334078e-05,0.000188932684403354
4,c003e6ef6e421d23b5bf98f01df20f1350f61ea1,5.475497925822946e-05,5.761245334969708e-05,0.00019460850001594638
5,a0c5f64f4f1a7f6ee80dc9b95aa813df28a87d72,5.4101402958477406e-05,5.6380390319367395e-05,0.00018712589448305632
6,c53c89f0d8572086dd13cbe1c3c98a4e73b41d09,5.298944901351736e-05,5.5524948738121355e-05,0.00018726252624458683
7,767744c86e1e4a27bf77f90a85f17e564c9b94ea,5.3984774883070974e-05,5.692461658742067e-05,0.00018964352631500284
8,e657629bbc2bfb880a1b2fa24a39c5921c1f965e,5.33840298813082e-05,5.6412728176488035e-05,0.00018768089457329263
9,3d0c041ca162d69cc5bbb4d9d051eca7933f12bd,5.3272177538019606e-05,5.7151742121756174e-05,0.00018852836122581113
10,ce140e8d5c28f1f057db1102cf78263e48f86d61,1.9714360362586547e-05,2.191739226740134e-05,0.0001509616253315471
11,c18ab2c3975c8fa8b59724fe6855c528d72fef8c,2.063104624912238e-05,2.2868045252875298e-05,0.00015110727508726995
12,3d2205dfd1d28fb8106e60223cf7207a3c05dbab,2.026904093421139e-05,2.2946296421612537e-05,0.00015187774988589808
13,c3fd79150bc183e8852f1330ea6e8cb4ca7ce7bc,2.0086893146428483e-05,2.2266783764687042e-05,0.0001523765498859575
14,71555c48be7f07833bd540dacb50deb8069b551f,2.0857716200956272e-05,2.3188254703492478e-05,0.00015370299988717309
15,5324067c702a41e901354a01a5f0d05ff49b6cb4,2.0574433216630744e-05,2.2938865979235697e-05,0.00015326920001825786
16,20cb312563b2e7c0b180db8dffbcd71d7dfd0bee,2.04443305356721e-05,2.278922197282118e-05,0.00015101747485459782
17,45ee22fa2fdd2bace756ed62685a346da91c4cb2,2.0829624216955774e-05,2.3114453784621542e-05,0.0001511494498117827
18,798aee26bdb9dcc0e806ca9271f0f98297188dec,2.0322631815998252e-05,2.2494131951237614e-05,0.00015095025009941309
