,hash,"arg_kwarg-(array(1.), array(2.))","arg_kwarg-(array(1.), array(2.), array(3.))","arg_kwarg-(array(1.), array(2.), out=array(3.))","arg_kwarg-(array(1.), array(2.), out=(array(3.),))","arg_kwarg-(array(1.), array(2.), out=array(3.), subok=True, where=True)","arg_kwarg-(array(1.), array(2.), subok=True)","arg_kwarg-(array(1.), array(2.), subok=True, where=True)","arg_kwarg-(array(1.), array(2.), array(3.), subok=True, where=True)"
0,03164d2d819f9b38e1c684d6d9e128f11867dc3c,1.0636863561781134e-06,7.098310501903202e-07,8.48181744542293e-07,1.3560562615645693e-06,2.5296989697048687e-06,1.2020863340069983e-06,2.726086123777587e-06,2.4081392107865353e-06
1,60df9b1eb6375e3decf12ba7506404c46af0469a,1.0298127765132558e-06,7.020888837300323e-07,8.058603333365251e-07,1.2830049963231813e-06,2.5547510609791464e-06,1.172954709594369e-06,2.7877129029499907e-06,2.4362523756439183e-06
2,772c80b1ce1db7e30497fcf555ac9af56b0d7fce,1.020443356866886e-06,6.995838653202736e-07,8.37829531421082e-07,1.2880296404775033e-06,2.506125181551195e-06,1.122098592757539e-06,2.6913384578568814e-06,2.4331610814474863e-06
3,66d357ae3aedcd324a1c607e037adc65d3ae1c02,1.0058384170903235e-06,7.253547204691311e-07,8.526432351605668e-07,1.2947296124273422e-06,2.5003384913681595e-06,1.1827789482959967e-06,2.6584852283333424e-06,2.3476393116110167e-06
4,cec39effb1739ae0a7690e56d58d3e9432569d5f,1.220268374749864e-06,8.838957819039184e-07,1.0812874146137182e-06,1.5702917362327804e-06,2.9067670131894588e-06,1.3509953957269165e-06,2.989129371065139e-06,2.739512565312907e-06
5,8ae543cb13769a0afa6e176898824db7fd992d27,1.249236759077942e-06,9.079469574702532e-07,1.137627707872839e-06,1.6032001041614022e-06,2.9116153052390748e-06,1.4601949843088702e-06,3.1758496392158726e-06,2.742592998382989e-06
6,c890b10a8ade5df19f97b02a2b10a75f9f6075e9,1.2152710883529919e-06,8.725237597123746e-07,1.107254677415809e-06,1.4871160771527816e-06,2.940176424364808e-06,1.4422082904346174e-06,2.993391058485572e-06,2.708324200205621e-06
7,c9a83043c0669fd17306843eb21abd236b675537,1.1763203045475746e-06,8.397654403512726e-07,1.082426335577309e-06,1.511794671568876e-06,2.8952530793198775e-06,1.3051053610607218e-06,3.039815624170173e-06,2.7085004906259343e-06
8,4d87d909bab7a7dd4bb570444cf35d98d551668f,1.185543180061214e-06,8.648830012162071e-07,1.0178788209050135e-06,1.4835959234343032e-06,2.7269223546515742e-06,1.3146406248656186e-06,2.9561089765166443e-06,2.5882981317956337e-06
9,a280f5e5d725de732a906b67172114b263ac3bfa,9.605227268449116e-07,7.714878555450796e-07,8.543321132770606e-07,1.272686562074972e-06,2.3365796493641204e-06,1.0778348888109212e-06,2.549355645326736e-06,2.2092239739684593e-06
10,c303c9b77afbc7fe6f4049683c3ccaabdebe7be3,1.0446874276143443e-06,7.111333724792462e-07,8.433684531911083e-07,1.2836965459836815e-06,2.500098808330267e-06,1.149916204683547e-06,2.7381393953736546e-06,2.3821955272690077e-06
11,fdfc4807cbe2de71f74053c45ae0de383332c4e1,1.0210872579692982e-06,7.121905491823547e-07,8.123305729198855e-07,1.3556761088913588e-06,2.5224393545526695e-06,1.1882996492110703e-06,2.8449582304634034e-06,2.4221708384334515e-06
12,537d35c2cf49cae0a496c37564fa282ec80e3695,9.62014999293553e-07,6.982201481844312e-07,8.32414472604901e-07,1.433691786796316e-06,2.448480002538095e-06,1.096209759636497e-06,2.659854256945723e-06,2.2961024814388206e-06
13,1b6831be8dc33308e77f3d3253f5ee777e3bb178,1.0273408113396672e-06,7.562064506084938e-07,9.706923182503405e-07,1.4704869314608063e-06,2.4934984512150374e-06,1.1927453915373328e-06,2.778682424746143e-06,2.3857046499877244e-06
14,7ef145115fede2c20df2cfc51ed28fcc9742b696,1.1251089486847597e-06,7.992696094345568e-07,9.393363639405421e-07,1.4256203438034173e-06,2.5429109748329773e-06,1.2514360582940188e-06,2.946589043599545e-06,2.5074694815303276e-06
15,175476fec763984573e60485a447978cbcb381c0,9.645303183457475e-07,7.014484165146965e-07,7.921121676300796e-07,1.3121743072056062e-06,2.43068565446725e-06,1.0800306639598342e-06,2.5770166906003205e-06,2.302430381450371e-06
16,c3c2b689cd4e1ccc24b18e764f105ed0e400ae92,1.054565442127524e-06,7.668121048217499e-07,8.725915703064308e-07,1.3319854011527454e-06,2.574869284475046e-06,1.1735235018569905e-06,2.785083292205997e-06,2.429451820494146e-06
17,93240e0d8ea23644a5b7874037e658c54966ff54,1.0599526299130863e-06,7.374991002606469e-07,8.509223419330985e-07,1.3509302662242767e-06,2.517204031668505e-06,1.2335467679868913e-06,2.6929726814936345e-06,2.34138315058576e-06
18,e1f191c46f2eebd6cb892a4bfe14d9dd43a06c4e,9.723038138366515e-07,7.147178240334884e-07,8.296307782478339e-07,1.3034394622190951e-06,2.5104034805589897e-06,1.1329725834940343e-06,2.754814879502214e-06,2.427516517397876e-06
19,8eedd3e911b7e3f5f35961871ddb8ee1559d4225,1.0088054004881998e-06,7.371588064964664e-07,8.456818254686263e-07,1.2311648786757659e-06,2.464090058547156e-06,1.1327383350369628e-06,2.613777726200914e-06,2.3867120022336105e-06
20,ade91ea2f28284668fbf78971538ac4827d653b8,1.006470296879319e-06,6.628881410442258e-07,8.135567325740897e-07,1.2601392314560046e-06,2.5494353460899826e-06,1.1893162156870638e-06,2.7575179610523666e-06,2.413011286992975e-06
21,b0a6e5583f2952a040c45d0d50f5e93372dc175b,9.582554804620343e-07,7.162948843801445e-07,8.559722952036301e-07,1.3974148456422008e-06,2.4082760327115333e-06,1.115724128637375e-06,2.524200113083953e-06,2.255619019151953e-06
22,94b36b557ce7d88bbfe4091c59aa376764b7047d,9.719703776077324e-07,7.27168523715669e-07,8.477605172117724e-07,1.3031704895686315e-06,2.3088947306338663e-06,1.1292924937806486e-06,2.5674019259978936e-06,2.2037871858152145e-06
23,ce6d3ffc991c63c1a91fd806b4eb3d0008caace2,1.0105497802838846e-06,7.593049493894202e-07,9.034471662335476e-07,1.3457100047708059e-06,2.49995076991443e-06,1.16197957159312e-06,2.697966744975398e-06,2.4081445523600344e-06
24,aab7993af0f6f3b9ac0d76952933b19163d65496,1.0461094526378724e-06,7.608743085798019e-07,9.203046280794492e-07,1.458200027133299e-06,2.5669592436868266e-06,1.2313314721542373e-06,2.7249467583775e-06,2.451493304504804e-06
25,b94c2b01ff7ef5b8dc44726512cfa232e9054882,1.006783423730512e-06,7.377812246946724e-07,8.711048795094486e-07,1.3067017609785902e-06,2.437969153394428e-06,1.1778466657101683e-06,2.6114827265161003e-06,2.3355323754082908e-06
26,f737b354e6ab2aef8b4c05bca0011de46a4b53b0,9.6918509172445e-07,7.182773953379666e-07,8.345591393608366e-07,1.3464969345295873e-06,2.603106778613957e-06,1.1268428889192324e-06,2.8155022500868657e-06,2.4595181055948253e-06
27,bbd5a7750fbed42a4aaf12f196282a9504a1e865,1.1060886611228345e-06,7.419057344363338e-07,8.970214658080098e-07,1.3568291260261266e-06,2.46836638222424e-06,1.2763420222826237e-06,2.716824424637422e-06,2.3178288278403165e-06
28,66f1b8a5411e8265ed87ff7bf97c67960af2624d,9.732115907933223e-07,7.6615976013081e-07,8.969335768138917e-07,1.3439477237603482e-06,2.705832025690264e-06,1.0846406462901808e-06,,2.5650010322972937e-06
29,d9347181d825d9426e783cfeafee304735bd25aa,9.384610450731337e-07,7.302771444923838e-07,8.417662835548709e-07,1.3503828451279004e-06,2.6513647418562754e-06,1.0667939647449242e-06,,2.5392454567323014e-06
30,fc159a547f091d1d6f75db470a0b8e9b2e7acea6,9.991625331864578e-07,7.664637717247361e-07,9.201368583324771e-07,1.4102800764456096e-06,2.574080343970937e-06,1.1377031074383123e-06,,2.46790762504113e-06
31,857125603f3cf72e2078ed2effd0f6ce40f0ca28,1.233675948171679e-06,9.85514712049715e-07,1.131205303618172e-06,1.627077947108029e-06,1.331798670582345e-06,1.378543058916575e-06,1.4553419854180006e-06,1.2038886661531903e-06
32,847119387dedec1ce7a85c1c0f29bcf86bc0348d,1.2705111524480245e-06,8.945493382345962e-07,1.0256403952459024e-06,1.48183554347611e-06,1.2179089581257436e-06,1.3782724491915454e-06,1.4645541738866597e-06,1.1091246700194432e-06
33,deb4be85025088553d80d6637dbc17d7f8101f41,1.2443240235638873e-06,9.826855555798702e-07,1.1756998155272832e-06,1.6169795238715237e-06,1.3459137498825595e-06,1.4315473172908213e-06,1.5542997155964908e-06,1.2875466645531236e-06
34,0c06b0b8593d947c5d63b72b6d84ecf83ae5da5b,1.2560908668048488e-06,9.56842052988966e-07,1.1527283329405658e-06,1.6274893465261775e-06,1.3167258832662115e-06,1.4767130007404113e-06,1.5573428452967275e-06,1.2289996542500583e-06
35,c003e6ef6e421d23b5bf98f01df20f1350f61ea1,1.2680250153323238e-06,9.874649924750859e-07,1.2236282078387616e-06,1.6972075866173712e-06,1.4092983419194174e-06,1.4086568919247471e-06,1.5315812909693195e-06,1.2750414629454193e-06
36,a0c5f64f4f1a7f6ee80dc9b95aa813df28a87d72,1.1883916500214178e-06,9.842404549338177e-07,1.1874417678773926e-06,1.6046918802630845e-06,1.3686578061833091e-06,1.381779892548395e-06,1.4644645205522369e-06,1.2448073345324886e-06
37,c53c89f0d8572086dd13cbe1c3c98a4e73b41d09,1.2844317903724574e-06,1.0403234111428315e-06,1.2379909243102647e-06,1.656410914722801e-06,1.4135681883749314e-06,1.4327270492018306e-06,1.5038010505329484e-06,1.2900868392635365e-06
38,767744c86e1e4a27bf77f90a85f17e564c9b94ea,1.2962448948146157e-06,1.0356891638785473e-06,1.224537121929637e-06,1.7260453383433366e-06,1.3986610661730703e-06,1.4730934279272464e-06,1.5438797181182581e-06,1.2735166677376278e-06
39,e657629bbc2bfb880a1b2fa24a39c5921c1f965e,1.2589108736480603e-06,1.006129045706516e-06,1.124401127764596e-06,1.6616888998436547e-06,1.3076032982075945e-06,1.389429300872304e-06,1.5023062510417307e-06,1.2091256713784264e-06
40,3d0c041ca162d69cc5bbb4d9d051eca7933f12bd,1.3653946163359464e-06,1.0449412005775377e-06,1.1779318928408126e-06,1.6854287246944552e-06,1.3873167524863668e-06,1.565144359221506e-06,1.6466619159247144e-06,1.3434704273473868e-06
41,ce140e8d5c28f1f057db1102cf78263e48f86d61,1.222744516102197e-06,9.988984999257478e-07,1.1821827025386789e-06,1.7916530394826059e-06,1.3748677351276785e-06,1.5231863904368084e-06,1.6467433677234683e-06,1.2944352543811367e-06
42,c18ab2c3975c8fa8b59724fe6855c528d72fef8c,1.2794419200452222e-06,9.716302731910468e-07,1.1516488441522718e-06,1.671140831725419e-06,1.2894997620832238e-06,1.4524344021991685e-06,1.5313312807637044e-06,1.216392092754668e-06
43,3d2205dfd1d28fb8106e60223cf7207a3c05dbab,1.5081842841858716e-06,1.1577719636326212e-06,1.3371853324482353e-06,1.8577340327528027e-06,1.5484586662068665e-06,1.6150973893573257e-06,1.7224747532883883e-06,1.455623237495936e-06
44,c3fd79150bc183e8852f1330ea6e8cb4ca7ce7bc,1.3900471155920072e-06,1.0286317294359208e-06,1.2086939150641117e-06,1.8263663366772453e-06,1.4021448248300235e-06,1.572046387155683e-06,1.6000114529621813e-06,1.25791466873444e-06
45,71555c48be7f07833bd540dacb50deb8069b551f,1.3794885784505239e-06,1.1346056873907372e-06,1.2489650920468348e-06,1.7691666400349715e-06,1.4509409072403484e-06,1.5343410174503756e-06,1.5995509825966913e-06,1.3456237728441854e-06
46,5324067c702a41e901354a01a5f0d05ff49b6cb4,1.4190559378748769e-06,1.0626214930486203e-06,1.274502276933332e-06,1.83574326538173e-06,1.4491777182650445e-06,1.578450538950366e-06,1.6672860303110733e-06,1.2903733207499174e-06
47,20cb312563b2e7c0b180db8dffbcd71d7dfd0bee,1.5183926513156806e-06,1.1484112705386836e-06,1.279208438501095e-06,1.794211651987272e-06,1.472645819371803e-06,1.6137916424736859e-06,1.6985126688711451e-06,1.3394142804441578e-06
48,45ee22fa2fdd2bace756ed62685a346da91c4cb2,1.4141905099260295e-06,1.137282728170127e-06,1.2967959251959055e-06,1.859554297110421e-06,1.4902567161279774e-06,1.5723283739481192e-06,1.6729755831571915e-06,1.392875298861146e-06
49,798aee26bdb9dcc0e806ca9271f0f98297188dec,1.6084502751492913e-06,1.3298881134601114e-06,1.3895801208243372e-06,1.3054404161742064e-06,1.5897785467070162e-06,1.767313047656049e-06,1.8494570701133247e-06,1.5307586722298092e-06
50,1c50f244d4d1eba4f3f63e93a05a2b2f938685a4,1.7170605700816935e-06,1.3870056127230708e-06,1.4827307689999203e-06,1.3867825184875112e-06,1.6890493377100097e-06,1.8720233747966325e-06,1.958889157948071e-06,1.6832321167715067e-06
51,fca7a15f30776ebce9e6814eb927e837f567a518,1.5269434867023747e-06,1.3589149328204526e-06,1.474955909918166e-06,1.3561882725175613e-06,1.6744430708574262e-06,1.684074891446551e-06,1.7926071679005352e-06,1.618984753961252e-06
52,26311ed7bf80e02c827189e80084602d72e4f284,1.4336923637383773e-06,1.3779465777971125e-06,1.3991167923615484e-06,1.3084069321668155e-06,1.4410440275075925e-06,1.4960428443259905e-06,1.514796106478137e-06,1.4330741423843648e-06
