,hash,"arg_kwarg-(array([0., 1.]))","arg_kwarg-(array([0., 1.]), 0)","arg_kwarg-(array([0., 1.]), axis=0)","arg_kwarg-(array([0., 1.]), 0, None)","arg_kwarg-(array([0., 1.]), axis=0, dtype=None)","arg_kwarg-(array([0., 1.]), 0, None, array(0.))","arg_kwarg-(array([0., 1.]), axis=0, dtype=None, out=array(0.))","arg_kwarg-(array([0., 1.]), out=array(0.))"
0,03164d2d819f9b38e1c684d6d9e128f11867dc3c,2.106754182885758e-05,2.1738291369053072e-05,2.3164128142190144e-05,2.1841118826423334e-05,2.4130218662321568e-05,1.9996011633169274e-05,2.275639498192403e-05,2.217606625958415e-05
1,60df9b1eb6375e3decf12ba7506404c46af0469a,2.1031601891781274e-05,2.1634756187238847e-05,2.3111831883784212e-05,2.174477780551383e-05,2.3877109811866362e-05,2.006128769964803e-05,2.2696869045620945e-05,2.21552838366933e-05
2,772c80b1ce1db7e30497fcf555ac9af56b0d7fce,2.0952449579324044e-05,2.176346976147403e-05,2.333131476900992e-05,2.1847945074745997e-05,2.4061606541930975e-05,2.001754678581115e-05,2.2859560129673857e-05,2.214852846092332e-05
3,66d357ae3aedcd324a1c607e037adc65d3ae1c02,2.1125266335860164e-05,2.1775699609583882e-05,2.357804455869468e-05,2.200159348966367e-05,2.4302679982580495e-05,2.021394668303894e-05,2.289555126876592e-05,2.2472088992381926e-05
4,cec39effb1739ae0a7690e56d58d3e9432569d5f,2.2590449367909086e-05,2.3442910064775977e-05,2.4345247725209403e-05,2.3639835357314272e-05,2.491750841050647e-05,2.183789151731834e-05,2.3674068738095806e-05,2.315144924091961e-05
5,8ae543cb13769a0afa6e176898824db7fd992d27,2.2389484687754123e-05,2.321360071980825e-05,2.4041952463639618e-05,2.391595315628981e-05,2.6372880709054707e-05,2.1530267800770555e-05,2.4313395740566675e-05,2.306676827944242e-05
6,c890b10a8ade5df19f97b02a2b10a75f9f6075e9,2.2639422510094925e-05,2.3437685351140747e-05,2.40837338436271e-05,2.3575206737845176e-05,2.4831799462062543e-05,2.176724152109969e-05,2.3451803779033453e-05,2.2836375575961573e-05
7,c9a83043c0669fd17306843eb21abd236b675537,2.2233397300754276e-05,2.3144828797928217e-05,2.3820368952049324e-05,2.3275642214637054e-05,2.4486028459258715e-05,2.1850591209280956e-05,2.341568989623258e-05,2.295992940728245e-05
8,4d87d909bab7a7dd4bb570444cf35d98d551668f,2.255557133748974e-05,2.323363004781013e-05,2.4101900377731145e-05,2.3524007559114813e-05,2.4889361388473348e-05,2.1521155731696967e-05,2.3501669004858202e-05,2.308901473161878e-05
9,a280f5e5d725de732a906b67172114b263ac3bfa,2.048011181125445e-05,2.110295485697987e-05,2.2747944656413854e-05,2.131199728169603e-05,2.359108170635242e-05,1.9637053110846526e-05,2.2715511192195916e-05,2.215347377602587e-05
