,hash,dtype-<class 'numpy.float32'>,dtype-<class 'numpy.float64'>
0,3d0c041ca162d69cc5bbb4d9d051eca7933f12bd,7.363973957793951e-06,1.2868439452803233e-05
1,ce140e8d5c28f1f057db1102cf78263e48f86d61,7.095467008367569e-06,1.2960689597225775e-05
2,c18ab2c3975c8fa8b59724fe6855c528d72fef8c,7.293752996095767e-06,1.2827099615301426e-05
3,3d2205dfd1d28fb8106e60223cf7207a3c05dbab,6.756073993854154e-06,1.2461089273904172e-05
4,c3fd79150bc183e8852f1330ea6e8cb4ca7ce7bc,7.391998980555559e-06,1.2809068647944028e-05
5,71555c48be7f07833bd540dacb50deb8069b551f,7.2295975322730726e-06,1.2746935805472578e-05
6,5324067c702a41e901354a01a5f0d05ff49b6cb4,7.0907136301526585e-06,1.283130343588048e-05
7,20cb312563b2e7c0b180db8dffbcd71d7dfd0bee,7.0491089523264925e-06,1.2621033215304828e-05
8,45ee22fa2fdd2bace756ed62685a346da91c4cb2,7.083004304709343e-06,1.2867112303672306e-05
9,798aee26bdb9dcc0e806ca9271f0f98297188dec,7.348757666102516e-06,1.345086026382842e-05
10,1c50f244d4d1eba4f3f63e93a05a2b2f938685a4,7.710740769427296e-06,1.3225247264038522e-05
11,fca7a15f30776ebce9e6814eb927e837f567a518,8.074589765125595e-06,1.3225681952110702e-05
12,26311ed7bf80e02c827189e80084602d72e4f284,7.519798173715729e-06,1.3114967708625092e-05
13,b5e01bcb668da0413170a886c258e00d2540e752,7.525218157528275e-06,1.3297084771572664e-05
14,ab30683fe1277a7fd471be63975a02ed8d766f94,7.606955873872652e-06,1.3187067506566707e-05
15,3c89e2f913406f55b6e998017c1149e3ba383bcc,7.1455036427284525e-06,1.2787681232234389e-05
16,590f07121dc55e6d9d9ce514887c9bbc253fb266,9.0543648162478e-06,1.6404190253785464e-05
17,872372bd56ccb5fe98faae8be7d14e4a8c69e037,7.107508333097111e-06,1.3400697141870272e-05
18,70a84c3192b4f231925e8e36f50d6a26bff3b46d,9.807070220439851e-06,1.6636041928334334e-05
19,9d416356baf4a653b2c647a921ae24ba7d39e8df,7.973747638670184e-06,1.3753507060512354e-05
20,09dd75e9e2139bc9742e6009b7babe41d4c002df,7.5312158711807006e-06,1.3609682500828058e-05
21,85d64e375f53f6028519d3aaad0b421934dcbe24,6.990895308447803e-06,1.2687096845642832e-05
22,09e04dcbe3d0c836437b2d4745b353b256ec6265,7.638034068042655e-06,1.3461065925605624e-05
23,cdd7ab252988ff4254705e0a89874edeb5cea8eb,6.964903207441157e-06,1.2934835875601613e-05
24,06da877ceae914a875bd1a55cd8e271332358803,7.384290767274548e-06,1.298288781805582e-05
25,8529dfaaec65248420faffe095bac03c23881735,7.523929269503526e-06,1.3073224995640063e-05
26,171a3e5811e43643788c20075be9ba52efb83b81,7.3321111500896335e-06,1.3131892577196899e-05
27,5bf9ab98edd254dee1162d6f1863053e040cf828,9.443097132944086e-06,1.6090921078164383e-05
28,9776a73cee9eaaff6af40e971fa2bb7f8f1086c5,8.01298165569926e-06,1.3900588369737802e-05
29,37a1ad069a800f5ef98286f25fb3fb632375168d,7.872508027358793e-06,1.4023715432555081e-05
30,1cb2230bb1bfb9b2544dab798dffeedce64ad39f,7.767052342056889e-06,1.3176813428880951e-05
31,044f5131450f38cdfbab63d6999b60e7e3bbabe5,8.12805405616559e-06,1.4099445819296188e-05
32,dc089026b4ad0d2d9ea992c7f1b9b5e716dd82cd,7.752921753664217e-06,1.3442815263540699e-05
33,53adf81bc503d749b13160a27e49160c5bbe48d7,7.364826016404694e-06,1.3362493526296926e-05
34,49e00940a82f9590d774539cd188b634c29fc39f,7.876142182133414e-06,1.8723600006953705e-05
35,7b9b41a4c7dbd7b719d62f343f57f841f5809693,8.00095018922388e-06,1.3913082227492428e-05
36,ae88e02a48c4744afd22c63be388870037f3c84c,8.243157168288365e-06,1.3801080545892978e-05
37,0aeab48b9e914d1dc7041b7e3f3b7e575ffcbbed,7.937236693492748e-06,1.4135461042918706e-05
38,c18b3f59b5f5752ab038224fd3bdf2dadba55ecf,7.499714329149002e-06,1.3262522908908386e-05
39,a5e5e51187d4476841503ce816924ea99936dba0,8.284863702923408e-06,1.3709445067186966e-05
40,b69cf68a24cffea0a884a102da1797755de8f022,7.579785291236997e-06,1.3398041886142203e-05
41,ee3e17a7c3e3efdeafe907b394de56aed01a70e0,7.596005507278867e-06,1.7075847446829184e-05
42,c71ce0e6dbd9ec67b3ac7fb5ac3eb609f8a56829,7.775383397392084e-06,1.3780534047733823e-05
43,0ce156413feb21a4f2a8eae3b1cd954d04240edd,8.042040750035255e-06,1.363140570170826e-05
44,7e3fd81c039b0e22715c4e6eb63439bdf5a620bf,8.811326665131168e-06,1.4576445925301282e-05
45,a6b4b2bdd6baf2afde27284097426e93912452e9,7.872055887651708e-06,1.4221124994643713e-05
46,c8a5ff07e5bda47eab870671634b107da5ab7934,7.519103078951434e-06,1.3653174950840591e-05
47,fafd123410f1ad5c47341c66d8ea4cf541165e77,7.80204464193303e-06,1.3300668504285275e-05
48,9765987c2ade250c82bfeaba49d1f9301211d63a,8.50242769117288e-06,1.4316014664170021e-05
49,dbf37449935bced333a3999afa860aaf304ab1a1,7.856324149221725e-06,1.9077990405387355e-05
50,e1863f3582e3e8870205f8a9d1ed1cef1bf536b4,8.681852499042483e-06,1.5231368639937202e-05
51,70f4309a155808d3a60a9a71db2d9482c1ec3ad7,8.157358972980584e-06,1.3960247032840759e-05
52,bb6b86e2afe88b371badfcefe298945002e47006,1.1331707665328e-05,1.8319239786462918e-05
53,5c3762157a0cd7a6a036a2144a5fbfc5278a919d,8.234576387307535e-06,1.4372176740688129e-05
54,e0ffe3572b37190d9da5b1d07057e4e038bd3197,1.0747802715663719e-05,1.5191420129962968e-05
55,cfb6a4d88d88307d507a86d1d70cd7d84c611406,1.0601625561967599e-05,1.5001306676788738e-05
56,d4f7d9e215773e979eb43a1e5a3cbb51f96bd09d,8.765040304886515e-06,1.5053085501053225e-05
57,bec2b07db5c999721d2d2c10334f3afe78aaadd9,8.266589540391187e-06,1.4807259144331705e-05
58,5ca0ef6272ef3eabe2feb4049b7cb05a52516495,1.090393754283788e-05,1.7863839667244726e-05
59,cb557b79fa0ce467c881830f8e8e042c484ccfaa,8.302255098435773e-06,1.610313547300695e-05
60,badbf70324274bdb4299d8c64d3d83a26be2d4c0,8.129926785034133e-06,1.4093450679226677e-05
61,4c780c2d4b35a54cf45ca7d931efcaca73d0bf24,7.4051176502603355e-06,1.3868272197086306e-05
62,3c91a3e1704c8aa7f1258aa30892040df9d952f4,7.935447730136807e-06,1.4197009627966435e-05
63,fe3d717080e812383900507168a6bd7093c4e434,8.050186080677304e-06,1.407088831391385e-05
64,0cb9f7f7aa8f4255fafb5431dcc595ce183bc376,7.986022570874477e-06,1.4013323199815384e-05
65,e69faef03428b82f5651a5fb521610ddea2bd22a,8.80405007885634e-06,1.4613644055895168e-05
66,092905febd53742d2a700322f88b652d6a5fd4fb,8.338199470928438e-06,1.4740889706775885e-05
67,6cd4b015dfd512fb4bc9d2e06a0f0cef4503582b,8.778941315848012e-06,1.8705012728721944e-05
68,3544fae2859d8ecac378b9ddc8f909c69455a831,8.51074861569179e-06,1.5237412768612608e-05
69,05fcb6544f72ea173011a77cee14d72979ffe293,1.3808306104794802e-05,2.1834547864713047e-05
70,f4ef0fd5d97afc7788c46eb51889e90623f5577e,8.890334502211772e-06,1.6200225936299415e-05
71,5cc7ef066fca7a821a2160b095578384c301ae3c,1.1209576362241271e-05,1.837918951080044e-05
72,c6d2aae8a92371bc9f7ddda990176fb014adb0d7,9.784606391309917e-06,1.658827272707377e-05
73,e3b831cd85e2f4d73b0db8e8d501828b50a96c64,9.889582275222479e-06,1.5610525492427372e-05
74,b3a7a69a198a8385735584b88408c91a1eef5a4b,1.9077286738122057e-05,2.7708853320625484e-05
75,bc6a6084f6e49bd78c12508131395304a63cc6ca,1.156258103126316e-05,1.6126175755330636e-05
76,c0d36c88b8b525f5869eefd893d1d77ffe41903e,8.895581604272545e-06,1.5159835215642143e-05
77,bcdfd208a9b99036cc6e379180c3242b08dedc47,9.41188318062235e-06,1.570022848509524e-05
